plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;latitude;longitude;accuracy;date;soil;soil.comment;alliance;alliance.author;association;location;location.comment;observer;rock.type;soil.depth;dung.rupi;dung.ibex
hw01;20;0;0;0;20;2;0;0;0;0,3;0;5;5;SE;40;50;30;0;47.83536N;16.05698E;10;2008-05-13;Rendzina;Felshang, Rendzina;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Gasthof Almfrieden;bei WH Almfrieden, unterhalb kl. Ueberhang;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw02;25;0;0;0;25;8;0;0;0;0,4;0;3;6;S;55;60;15;0;47.83517N;16.05674E;10;2008-05-13;Rendzina;Felshang, Rendzina;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Gasthof Almfrieden;;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw03;30;0;0;5;25;2;0;0;2,5;0,5;0;0;0;SE;90;65;5;0;47.83525N;16.05557E;10;2008-05-13;Rendzina;;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Gasthof Almfrieden;;R. Kaiser & T. Eberl;bank;deep;no;no
hw04;30;0;0;0;30;3;0;0;0;0,5;0;10;15;S;40;50;20;0;47.83538N;16.05600E;10;2008-05-13;Rendzina;Felshang, Rendzina, Substrateinschwemmungen und -taschen;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Gasthof Almfrieden;Überbrücklsteig;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw05;20;0;0;2;20;2;0;0;2;0,5;0;4;5;S;35;50;30;0;47.83472N;16.05737E;10;2008-05-14;Skeletthumusboden;Felshang, Schutt-überlagert, feinsubstratreich;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Gasthof Almfrieden;Überbrücklsteig, Wandfuß;R. Kaiser & T. Eberl;headwall;shallow;yes;yes
hw06;80;0;0;2;80;2;0;0;2,5;0,5;0;6;4;SE;20;15;5;0;47.83578N;16.05856E;10;2008-05-14;Rendzina;Rendzina;Geranion sanguinei;;;Hohewand, Kehre Hohewand Strasse;Mittelhang, Verebnung oberhalb Felswand;R. Kaiser & T. Eberl;topwall;shallow;yes;yes
hw07;35;0;0;1;35;1;0;0;1,5;1;0;10;10;SE;55;25;40;0;47.83570N;16.05846E;10;2008-05-14;Rendzina;Felshang, plattig, Feinsubstrateinschwemmungen;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Kehre Hohewand Strasse;;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw08;20;0;0;1;20;1;0;0;1,5;0,3;0;4;7;S;50;40;40;0;47.83615N;16.05879E;10;2008-05-14;Rendzina;Felsrücken, Fels, Rendzina;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Kehre Hohewand Strasse;Oberkante Felswand;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw09;85;0;0;1;85;5;0;0;1,5;0,3;0;5;6;SE;20;5;10;0;47.83619N;16.05865E;10;2008-05-14;Rendzina;Rücken;Geranion sanguinei;;;Hohewand, Kehre Hohewand Strasse;;R. Kaiser & T. Eberl;topwall;shallow;yes;yes
hw10;25;0;0;0;25;12;0;0;0;0,5;0;7;5;SE;40;55;20;0;47.82990N;16.04716E;20;2008-05-14;Rendzina;Felshang, Feinsubstratreich, Bodenerrosion;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;unterhalb Klettergarten beim Skywalk, Lage unsicher;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw11;45;0;0;0;45;2;0;0;0;0,5;1;8;6;SE;30;5;10;40;47.82973N;16.04888E;10;2008-06-09;Skeletthumusboden;erdreiche Schuttflur;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;Postl Steig, 20m unterhalb Wandfuß, bei Lägerflur;R. Kaiser & T. Eberl;scree;shallow;yes;yes
hw12;35;0;0;0;35;5;0;0;0;0,3;0;6;6;S;45;40;10;15;47.82983N;16.04928E;10;2008-06-09;Skeletthumusboden;Felshang mit Geröll, Protorendzina;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;precipice;shallow;yes;no
hw13;45;0;0;0;45;0;0;0;0;0,2;0;10;1,5;SE;5;5;50;0;47.83009N;16.04888E;10;2008-06-09;Felshumusboden;Balme unter Ueberhang;Sisymbrion officinalis;;;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;balme;shallow;yes;yes
hw14;60;0;0;7;60;3;0;0;2,5;0,4;0;8;6;SE;30;0;5;35;47.82944N;16.04881E;10;2008-06-09;Skeletthumusboden;;Stipion calamagrostis;;Rumicetum scutati;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;scree;shallow;yes;yes
hw15;50;0;0;3;45;3;0;0;2;1;0;7;4;E;80;45;5;0;47.82918N;16.04838E;10;2008-06-09;Rendzina;Felshang, humös;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;direkt E HTL-Steig, oberhalb ÖTK-Klettergarten;R. Kaiser & T. Eberl;precipice;deep;no;no
hw16;10;0;0;0;10;0;0;0;0;0;0;2;6;SE;30;25;5;60;47.82903N;16.04858E;10;2008-06-09;Skeletthumusboden;Geröll, feinerdearm;Sisymbrion officinalis;;;Hohewand, Ortler Hütte;Balme;R. Kaiser & T. Eberl;balme;shallow;yes;yes
hw17;50;0;0;0;50;2;0;0;0;0,8;0;3;6;SE;60;20;30;0;47.83548N;16.05879E;10;2008-06-10;Rendzina;unterhalb Steinschlagnetz;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Kehre Hohewand Strasse;Strassenkehre;R. Kaiser & T. Eberl;precipice;precipice;deep;no
hw18;40;0;0;3;40;2;0;0;2;0,5;0;6;3;SE;40;30;25;5;47.83095N;16.05043E;10;2008-06-10;Rendzina;Substraterrosion, Bodenverwundung;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;gestufte Hangleiste;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw19;25;0;0;3;25;0;0;0;2;0,7;0;6;5;SW;80;75;0;0;47.83103N;16.05068E;10;2008-06-10;Rendzina;Felsbank, sehr humös;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;bank;deep;no;no
hw20;40;0;0;0;40;5;0;0;0;0,5;0,7;7;7;SE;40;20;40;0;47.82977N;16.04795E;10;2008-06-10;Rendzina;Felshang, humös, Humuserrosion;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;HTL-Steig, direkt unterhalb Querung im oberen Bereich;R. Kaiser & T. Eberl;precipice;deep;yes;yes
hw21;75;0;0;3;75;2;0;0;0;0,7;0;4;2;E;85;15;10;0;47.82947N;16.04811E;10;2008-06-10;Rendzina;Felsband, humös;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;Felsabsatz in Wand, neben großer Linde;R. Kaiser & T. Eberl;bank;deep;no;no
hw22;30;0;0;0;30;10;0;0;0;0,1;0,7;2;5;S;40;20;40;10;47.82931N;16.04769E;10;2008-06-10;Rendzina;Felshang, humös, Humuseinschwemmung;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;kurz W des HTL-Steigs;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw23;40;0;0;0;40;2;0;0;0;0,2;0,6;6;5;SE;35;10;45;5;47.83412N;16.05559E;10;2008-06-11;Rendzina;Felshang, humös, Humuserrosion;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Gasthof Almfrieden;W Stollhofer Steilanstieg, unterhalb Überhang, oberhalb Felswand;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw24;60;0;0;10;60;3;0;0;3;0,5;1;4;6;SE;35;5;35;0;47.83400N;16.05573E;10;2008-06-11;Rendzina;Felshang, humös, Humuserrosion;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Gasthof Almfrieden;direkt W hw23;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw25;50;0;0;5;50;2;0;0;1,5;0,7;0;4;5;SE;80;45;5;0;47.83401N;16.05598E;10;2008-06-11;Rendzina;2-3 fast verbundene Rasenbaender in Felswand;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Gasthof Almfrieden;liegt unerhalb 23 und 24, 10m unterhalb im kronenschatten der Bäume deutlich mehr Bewuchs von Sesleria;R. Kaiser & T. Eberl;bank;deep;no;no
hw26;45;0;0;0;45;20;0;0;0;0,3;0,5;4;3;SE;30;0;0;55;47.82800N;16.04755E;10;2008-06-12;Skeletthumusboden;Ruhschutt;Stipion calamagrostis;;Rumicetum scutati;Hohewand, Ortler Hütte;oberhalb Parkplatz Landeplatz, E Völlerin Steig, Umfeld Gebüsch;R. Kaiser & T. Eberl;scree;shallow;no;no
hw27;70;0;0;25;50;35;0;0;3;0,4;0;10;5;SE;35;0;0;30;47.82759N;16.04704E;10;2008-06-12;Skeletthumusboden;Ruhschutt, feinstubtratreich;Stipion calamagrostis;;Rumicetum scutati;Hohewand, Ortler Hütte;oberhalb Landewiese bei Völlerin Steig, Waldbestand;R. Kaiser & T. Eberl;scree;shallow;yes;no
hw28;45;0;0;5;40;10;0;0;3;0,2;0,8;8;6;SE;40;0;10;45;47.82737N;16.04668E;10;2008-06-12;Skeletthumusboden;Ruhschutt, wo Schutt fehlt ist lehmige Erde, verbraunte Rendzina;Stipion calamagrostis;;Rumicetum scutati;Hohewand, Ortler Hütte;50m W hw27;R. Kaiser & T. Eberl;scree;shallow;yes;no
hw29;55;0;0;5;40;10;0;0;3;0,3;0,6;8;4;SE;40;10;10;25;47.82702N;16.04638E;10;2008-06-12;Skeletthumusboden;Schutt, viel lehmige Anteile;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;wenig W hw27;R. Kaiser & T. Eberl;precipice;shallow;no;no
