"year";"plot";"cell";"abbr";"height";"comment"
2010;"htl-k2";1;"teuc cham";8;
2010;"htl-k2";2;"sedu albu";9;
2010;"htl-k2";3;"sedu albu";7;
2010;"htl-k2";4;"empt cell";0;
2010;"htl-k2";5;"empt cell";0;
2010;"htl-k2";6;"sedu albu";3;
2010;"htl-k2";7;"teuc cham";4;
2010;"htl-k2";8;"teuc cham";5;
2010;"htl-k2";9;"teuc cham";6;
2010;"htl-k2";10;"sedu albu";7;
2010;"htl-k2";11;"sedu albu";12;
2010;"htl-k2";12;"erys sylv";9;
2010;"htl-k2";13;"teuc cham";7;
2010;"htl-k2";14;"sedu albu";5;
2010;"htl-k2";15;"sedu albu";10;
2010;"htl-k2";16;"sedu albu";12;
2010;"htl-k2";17;"alli lusi";11;
2010;"htl-k2";18;"alli lusi";6;
2010;"htl-k2";19;"erys sylv";7;
2010;"htl-k2";20;"erys sylv";10;
2010;"htl-k2";21;"vinc hiru";7;
2010;"htl-k2";22;"sedu albu";8;
2010;"htl-k2";23;"sedu albu";13;
2010;"htl-k2";24;"sedu albu";5;
2010;"htl-k2";25;"sedu albu";10;
2010;"htl-k4";1;"anth ramo";9;
2010;"htl-k4";2;"sedu albu";5;
2010;"htl-k4";3;"sedu albu";5;
2010;"htl-k4";4;"pelt alli";8;
2010;"htl-k4";5;"erys sylv";4;
2010;"htl-k4";6;"sedu albu";10;
2010;"htl-k4";7;"teuc mont";13;
2010;"htl-k4";8;"erys sylv";10;
2010;"htl-k4";9;"sedu albu";9;
2010;"htl-k4";10;"jovi glob hirt";1;
2010;"htl-k4";11;"sedu albu";1;
2010;"htl-k4";12;"anth ramo";7;
2010;"htl-k4";13;"sedu albu";4;
2010;"htl-k4";14;"sedu albu";5;
2010;"htl-k4";15;"sedu albu";12;
2010;"htl-k4";16;"empt cell";0;
2010;"htl-k4";17;"teuc mont";4;
2010;"htl-k4";18;"jovi glob hirt";1;
2010;"htl-k4";19;"empt cell";0;
2010;"htl-k4";20;"jovi glob hirt";1;
2010;"htl-k4";21;"empt cell";0;
2010;"htl-k4";22;"empt cell";0;
2010;"htl-k4";23;"jovi glob hirt";1;
2010;"htl-k4";24;"sedu albu";5;
2010;"htl-k4";25;"sedu albu";1;
2010;"htl-k6";1;"secu vari";12;
2010;"htl-k6";2;"anth ramo";11;
2010;"htl-k6";3;"vinc hiru";37;
2010;"htl-k6";4;"vinc hiru";49;
2010;"htl-k6";5;"vinc hiru";51;
2010;"htl-k6";6;"anth vuln slat";18;
2010;"htl-k6";7;"aren serp";19;
2010;"htl-k6";8;"rese lute";23;
2010;"htl-k6";9;"anth ramo";16;
2010;"htl-k6";10;"echi vulg";12;
2010;"htl-k6";11;"vinc hiru";44;
2010;"htl-k6";12;"anth vuln slat";20;
2010;"htl-k6";13;"rese lute";22;
2010;"htl-k6";14;"anth vuln slat";20;
2010;"htl-k6";15;"vinc hiru";40;
2010;"htl-k6";16;"teuc cham";19;
2010;"htl-k6";17;"vinc hiru";42;
2010;"htl-k6";18;"vinc hiru";38;
2010;"htl-k6";19;"vinc hiru";56;
2010;"htl-k6";20;"vinc hiru";39;
2010;"htl-k6";21;"vinc hiru";40;
2010;"htl-k6";22;"vinc hiru";59;
2010;"htl-k6";23;"vinc hiru";45;
2010;"htl-k6";24;"vinc hiru";50;
2010;"htl-k6";25;"teuc cham";19;
2010;"htl-k8";1;"sedu albu";17;
2010;"htl-k8";2;"vinc hiru";57;
2010;"htl-k8";3;"vinc hiru";54;
2010;"htl-k8";4;"vinc hiru";47;
2010;"htl-k8";5;"aren serp";7;
2010;"htl-k8";6;"vinc hiru";28;
2010;"htl-k8";7;"aren serp";15;
2010;"htl-k8";8;"vinc hiru";48;
2010;"htl-k8";9;"vinc hiru";46;
2010;"htl-k8";10;"sedu albu";17;
2010;"htl-k8";11;"anth vuln slat";12;
2010;"htl-k8";12;"viol tric saxa";13;
2010;"htl-k8";13;"vinc hiru";48;
2010;"htl-k8";14;"vinc hiru";45;
2010;"htl-k8";15;"empt cell";0;
2010;"htl-k8";16;"empt cell";0;
2010;"htl-k8";17;"vinc hiru";42;
2010;"htl-k8";18;"vinc hiru";39;
2010;"htl-k8";19;"card nuta nuta";17;
2010;"htl-k8";20;"card nuta nuta";20;
2010;"htl-k8";21;"card nuta nuta";22;
2010;"htl-k8";22;"orig vulg";8;
2010;"htl-k8";23;"erys sylv";33;
2010;"htl-k8";24;"vinc hiru";43;
2010;"htl-k8";25;"jovi glob hirt";1;
2010;"htl-z1";1;"pelt alli";27;
2010;"htl-z1";2;"pelt alli";28;
2010;"htl-z1";3;"aren serp";13;
2010;"htl-z1";4;"sedu albu";13;
2010;"htl-z1";5;"sedu albu";11;
2010;"htl-z1";6;"erys sylv";7;
2010;"htl-z1";7;"pelt alli";24;
2010;"htl-z1";8;"aren serp";2;
2010;"htl-z1";9;"sedu albu";8;
2010;"htl-z1";10;"sedu albu";11;
2010;"htl-z1";11;"sedu albu";10;
2010;"htl-z1";12;"sedu albu";10;
2010;"htl-z1";13;"sedu albu";9;
2010;"htl-z1";14;"sedu albu";2;
2010;"htl-z1";15;"pelt alli";28;
2010;"htl-z1";16;"pelt alli";38;
2010;"htl-z1";17;"pelt alli";20;
2010;"htl-z1";18;"sedu albu";8;
2010;"htl-z1";19;"sedu albu";8;
2010;"htl-z1";20;"anth ramo";30;
2010;"htl-z1";21;"anth ramo";12;
2010;"htl-z1";22;"sedu albu";9;
2010;"htl-z1";23;"sedu albu";10;
2010;"htl-z1";24;"pelt alli";16;
2010;"htl-z1";25;"sedu albu";11;
2010;"htl-z2";1;"sedu albu";10;
2010;"htl-z2";2;"sedu albu";5;
2010;"htl-z2";3;"sedu albu";8;
2010;"htl-z2";4;"sedu albu";5;
2010;"htl-z2";5;"sedu albu";10;
2010;"htl-z2";6;"sedu albu";3;
2010;"htl-z2";7;"erys sylv";5;
2010;"htl-z2";8;"sedu albu";2;
2010;"htl-z2";9;"sedu albu";3;
2010;"htl-z2";10;"erys sylv";8;
2010;"htl-z2";11;"sedu albu";8;
2010;"htl-z2";12;"empt cell";0;
2010;"htl-z2";13;"sedu albu";3;
2010;"htl-z2";14;"sedu albu";5;
2010;"htl-z2";15;"sedu albu";9;
2010;"htl-z2";16;"sedu albu";6;
2010;"htl-z2";17;"erys sylv";25;
2010;"htl-z2";18;"sedu albu";5;
2010;"htl-z2";19;"aren serp";13;
2010;"htl-z2";20;"aren serp";8;
2010;"htl-z2";21;"aren serp";7;
2010;"htl-z2";22;"erys sylv";1;
2010;"htl-z2";23;"sese aust";7;
2010;"htl-z2";24;"anth ramo";18;
2010;"htl-z2";25;"erys sylv";10;
2010;"htl-z3";1;"sedu albu";13;
2010;"htl-z3";2;"sedu albu";10;
2010;"htl-z3";3;"sedu albu";12;
2010;"htl-z3";4;"sedu albu";10;
2010;"htl-z3";5;"poa prat";50;
2010;"htl-z3";6;"poa prat";45;
2010;"htl-z3";7;"poa prat";34;
2010;"htl-z3";8;"sedu albu";17;
2010;"htl-z3";9;"poa prat";28;
2010;"htl-z3";10;"pelt alli";30;
2010;"htl-z3";11;"poa prat";33;
2010;"htl-z3";12;"aren serp";14;
2010;"htl-z3";13;"sedu albu";7;
2010;"htl-z3";14;"poa prat";47;
2010;"htl-z3";15;"poa prat";44;
2010;"htl-z3";16;"hype perf";14;
2010;"htl-z3";17;"hype perf";31;
2010;"htl-z3";18;"sedu albu";12;
2010;"htl-z3";19;"poa prat";26;
2010;"htl-z3";20;"poa prat";12;
2010;"htl-z3";21;"poa prat";29;
2010;"htl-z3";22;"poa prat";31;
2010;"htl-z3";23;"poa prat";47;
2010;"htl-z3";24;"poa prat";41;
2010;"htl-z3";25;"sedu albu";13;
2010;"htl-z4";1;"teuc cham";7;
2010;"htl-z4";2;"vinc hiru";59;
2010;"htl-z4";3;"aren serp";20;
2010;"htl-z4";4;"aren serp";15;
2010;"htl-z4";5;"sedu albu";7;
2010;"htl-z4";6;"heli numm obsc";17;
2010;"htl-z4";7;"teuc cham";13;
2010;"htl-z4";8;"anth ramo";28;
2010;"htl-z4";9;"vinc hiru";53;
2010;"htl-z4";10;"vinc hiru";61;
2010;"htl-z4";11;"acon anth";35;
2010;"htl-z4";12;"meli cili";25;
2010;"htl-z4";13;"meli cili";72;
2010;"htl-z4";14;"heli numm obsc";20;
2010;"htl-z4";15;"sedu albu";15;
2010;"htl-z4";16;"heli numm obsc";20;
2010;"htl-z4";17;"heli numm obsc";15;
2010;"htl-z4";18;"meli cili";68;
2010;"htl-z4";19;"vinc hiru";37;
2010;"htl-z4";20;"acon anth";27;
2010;"htl-z4";21;"aren serp";17;
2010;"htl-z4";22;"aren serp";14;
2010;"htl-z4";23;"heli numm obsc";24;
2010;"htl-z4";24;"orig vulg";12;
2010;"htl-z4";25;"sedu albu";13;
2010;"krr-k5";1;"sedu albu";1;
2010;"krr-k5";2;"gali luci";4;
2010;"krr-k5";3;"jovi glob hirt";1;
2010;"krr-k5";4;"jovi glob hirt";1;
2010;"krr-k5";5;"empt cell";0;
2010;"krr-k5";6;"aren serp";3;
2010;"krr-k5";7;"aren serp";2;
2010;"krr-k5";8;"jovi glob hirt";1;
2010;"krr-k5";9;"sedu albu";2;
2010;"krr-k5";10;"sedu albu";4;
2010;"krr-k5";11;"empt cell";0;
2010;"krr-k5";12;"sedu albu";1;
2010;"krr-k5";13;"aren serp";4;
2010;"krr-k5";14;"sedu albu";6;
2010;"krr-k5";15;"sedu albu";2;
2010;"krr-k5";16;"sedu albu";3;
2010;"krr-k5";17;"empt cell";0;
2010;"krr-k5";18;"empt cell";0;
2010;"krr-k5";19;"empt cell";0;
2010;"krr-k5";20;"teuc mont";6;
2010;"krr-k5";21;"empt cell";0;
2010;"krr-k5";22;"sedu albu";4;
2010;"krr-k5";23;"sedu albu";5;
2010;"krr-k5";24;"euph cypa";12;
2010;"krr-k5";25;"empt cell";0;
2010;"krr-k6";1;"ajug gene";4;
2010;"krr-k6";2;"teuc mont";5;
2010;"krr-k6";3;"sedu albu";5;
2010;"krr-k6";4;"leon inca";7;
2010;"krr-k6";5;"sedu albu";3;
2010;"krr-k6";6;"sedu albu";5;
2010;"krr-k6";7;"sedu albu";4;
2010;"krr-k6";8;"bupl falc falc";7;
2010;"krr-k6";9;"sedu albu";3;
2010;"krr-k6";10;"sedu albu";2;
2010;"krr-k6";11;"sedu albu";7;
2010;"krr-k6";12;"sedu albu";3;
2010;"krr-k6";13;"sedu albu";3;
2010;"krr-k6";14;"teuc mont";4;
2010;"krr-k6";15;"sedu albu";8;
2010;"krr-k6";16;"sedu albu";4;
2010;"krr-k6";17;"rese lute";11;
2010;"krr-k6";18;"sedu albu";4;
2010;"krr-k6";19;"sedu albu";8;
2010;"krr-k6";20;"sedu albu";6;
2010;"krr-k6";21;"sedu albu";3;
2010;"krr-k6";22;"sedu albu";7;
2010;"krr-k6";23;"jovi glob hirt";1;
2010;"krr-k6";24;"rese lute";8;
2010;"krr-k6";25;"empt cell";0;
2010;"krr-k7";1;"sedu albu";2;
2010;"krr-k7";2;"sedu albu";3;
2010;"krr-k7";3;"clin acin";7;
2010;"krr-k7";4;"erys sylv";6;
2010;"krr-k7";5;"erys sylv";9;
2010;"krr-k7";6;"erys sylv";11;
2010;"krr-k7";7;"alli lusi";7;
2010;"krr-k7";8;"jovi glob hirt";1;
2010;"krr-k7";9;"jovi glob hirt";1;
2010;"krr-k7";10;"aren serp";4;
2010;"krr-k7";11;"sedu albu";5;
2010;"krr-k7";12;"jovi glob hirt";1;
2010;"krr-k7";13;"jovi glob hirt";1;
2010;"krr-k7";14;"alli lusi";3;
2010;"krr-k7";15;"erys sylv";16;
2010;"krr-k7";16;"jovi glob hirt";1;
2010;"krr-k7";17;"aren serp";3;
2010;"krr-k7";18;"jovi glob hirt";1;
2010;"krr-k7";19;"rese lute";13;
2010;"krr-k7";20;"rese lute";10;
2010;"krr-k7";21;"jovi glob hirt";1;
2010;"krr-k7";22;"jovi glob hirt";1;
2010;"krr-k7";23;"sedu albu";3;
2010;"krr-k7";24;"jovi glob hirt";1;
2010;"krr-k7";25;"jovi glob hirt";1;
2010;"krr-k8";1;"clin acin";5;
2010;"krr-k8";2;"jovi glob hirt";2;
2010;"krr-k8";3;"jovi glob hirt";2;
2010;"krr-k8";4;"care humi";6;
2010;"krr-k8";5;"care humi";7;
2010;"krr-k8";6;"sedu albu";11;
2010;"krr-k8";7;"sedu albu";11;
2010;"krr-k8";8;"pelt alli";19;
2010;"krr-k8";9;"jovi glob hirt";1;
2010;"krr-k8";10;"sedu albu";4;
2010;"krr-k8";11;"sedu albu";7;
2010;"krr-k8";12;"pelt alli";19;
2010;"krr-k8";13;"sedu albu";15;
2010;"krr-k8";14;"aren serp";5;
2010;"krr-k8";15;"sedu albu";6;
2010;"krr-k8";16;"sedu albu";10;
2010;"krr-k8";17;"sedu albu";8;
2010;"krr-k8";18;"sedu albu";10;
2010;"krr-k8";19;"sedu albu";3;
2010;"krr-k8";20;"jovi glob hirt";1;
2010;"krr-k8";21;"sedu albu";3;
2010;"krr-k8";22;"sedu albu";10;
2010;"krr-k8";23;"sedu albu";9;
2010;"krr-k8";24;"rese lute";5;
2010;"krr-k8";25;"rese lute";7;
2010;"krr-z1";1;"teuc cham";6;
2010;"krr-z1";2;"teuc mont";8;
2010;"krr-z1";3;"verb thap";10;
2010;"krr-z1";4;"sedu albu";7;
2010;"krr-z1";5;"sedu albu";10;
2010;"krr-z1";6;"meli cili";20;
2010;"krr-z1";7;"sedu albu";3;
2010;"krr-z1";8;"leon inca";8;
2010;"krr-z1";9;"alli lusi";13;
2010;"krr-z1";10;"alli lusi";3;
2010;"krr-z1";11;"jovi glob hirt";2;
2010;"krr-z1";12;"jovi glob hirt";1;
2010;"krr-z1";13;"rese lute";13;
2010;"krr-z1";14;"leon inca";11;
2010;"krr-z1";15;"sedu albu";2;
2010;"krr-z1";16;"jovi glob hirt";1;
2010;"krr-z1";17;"aren serp";10;
2010;"krr-z1";18;"tara sect rude";3;
2010;"krr-z1";19;"alli lusi";9;
2010;"krr-z1";20;"alli lusi";9;
2010;"krr-z1";21;"jovi glob hirt";1;
2010;"krr-z1";22;"sedu albu";3;
2010;"krr-z1";23;"alli lusi";11;
2010;"krr-z1";24;"scab ochr";10;
2010;"krr-z1";25;"scab ochr";41;
2010;"krr-z2";1;"sedu albu";11;
2010;"krr-z2";2;"sedu albu";12;
2010;"krr-z2";3;"empt cell";0;
2010;"krr-z2";4;"brom tect";8;
2010;"krr-z2";5;"sedu albu";10;
2010;"krr-z2";6;"sedu albu";9;
2010;"krr-z2";7;"empt cell";0;
2010;"krr-z2";8;"jovi glob hirt";1;
2010;"krr-z2";9;"sedu albu";5;
2010;"krr-z2";10;"sedu albu";10;
2010;"krr-z2";11;"sedu albu";11;
2010;"krr-z2";12;"sedu albu";8;
2010;"krr-z2";13;"sedu albu";8;
2010;"krr-z2";14;"jovi glob hirt";1;
2010;"krr-z2";15;"gali luci";12;
2010;"krr-z2";16;"sedu albu";9;
2010;"krr-z2";17;"jovi glob hirt";1;
2010;"krr-z2";18;"jovi glob hirt";1;
2010;"krr-z2";19;"empt cell";0;
2010;"krr-z2";20;"jovi glob hirt";1;
2010;"krr-z2";21;"sedu albu";10;
2010;"krr-z2";22;"erys sylv";11;
2010;"krr-z2";23;"jovi glob hirt";1;
2010;"krr-z2";24;"jovi glob hirt";1;
2010;"krr-z2";25;"sedu albu";7;
2010;"krr-z3";1;"sedu albu";9;
2010;"krr-z3";2;"vinc hiru";24;
2010;"krr-z3";3;"vinc hiru";19;
2010;"krr-z3";4;"vinc hiru";15;
2010;"krr-z3";5;"meli cili";30;
2010;"krr-z3";6;"vinc hiru";40;
2010;"krr-z3";7;"vinc hiru";24;
2010;"krr-z3";8;"vinc hiru";45;
2010;"krr-z3";9;"care humi";15;
2010;"krr-z3";10;"care humi";14;
2010;"krr-z3";11;"care humi";21;
2010;"krr-z3";12;"vinc hiru";20;
2010;"krr-z3";13;"vinc hiru";38;
2010;"krr-z3";14;"vinc hiru";28;
2010;"krr-z3";15;"vinc hiru";42;
2010;"krr-z3";16;"vinc hiru";38;
2010;"krr-z3";17;"vinc hiru";40;
2010;"krr-z3";18;"vinc hiru";38;
2010;"krr-z3";19;"care humi";18;
2010;"krr-z3";20;"care humi";14;
2010;"krr-z3";21;"sedu albu";3;
2010;"krr-z3";22;"aren serp";6;
2010;"krr-z3";23;"care humi";20;
2010;"krr-z3";24;"vinc hiru";25;
2010;"krr-z3";25;"care humi";26;
2010;"krr-z4";1;"gali luci";23;
2010;"krr-z4";2;"aren serp";13;
2010;"krr-z4";3;"sedu albu";11;
2010;"krr-z4";4;"euph cypa";13;
2010;"krr-z4";5;"sesl caer";11;
2010;"krr-z4";6;"sesl caer";6;
2010;"krr-z4";7;"sedu albu";7;
2010;"krr-z4";8;"sedu albu";4;
2010;"krr-z4";9;"sedu albu";3;
2010;"krr-z4";10;"erys sylv";5;
2010;"krr-z4";11;"erys sylv";8;
2010;"krr-z4";12;"care humi";10;
2010;"krr-z4";13;"teuc mont";8;
2010;"krr-z4";14;"sedu albu";9;
2010;"krr-z4";15;"sedu albu";2;
2010;"krr-z4";16;"sedu albu";2;
2010;"krr-z4";17;"sedu albu";4;
2010;"krr-z4";18;"jovi glob hirt";2;
2010;"krr-z4";19;"teuc mont";3;
2010;"krr-z4";20;"anch offi";5;
2010;"krr-z4";21;"sedu albu";3;
2010;"krr-z4";22;"sedu albu";9;
2010;"krr-z4";23;"meli cili";26;
2010;"krr-z4";24;"meli cili";17;
2010;"krr-z4";25;"sedu albu";2;
2010;"htl-k1";1;"aren serp";14;
2010;"htl-k1";2;"heli numm glab";6;
2010;"htl-k1";3;"teuc cham";7;
2010;"htl-k1";4;"anth ramo";7;
2010;"htl-k1";5;"sedu albu";3;
2010;"htl-k1";6;"sedu albu";4;
2010;"htl-k1";7;"anth ramo";5;
2010;"htl-k1";8;"hack defl";32;
2010;"htl-k1";9;"hack defl";21;
2010;"htl-k1";10;"hack defl";23;
2010;"htl-k1";11;"hack defl";22;
2010;"htl-k1";12;"hack defl";24;
2010;"htl-k1";13;"hack defl";39;
2010;"htl-k1";14;"aren serp";12;
2010;"htl-k1";15;"sedu albu";3;
2010;"htl-k1";16;"sedu albu";4;
2010;"htl-k1";17;"teuc cham";5;
2010;"htl-k1";18;"aren serp";8;
2010;"htl-k1";19;"erys sylv";36;
2010;"htl-k1";20;"hack defl";27;
2010;"htl-k1";21;"heli numm glab";12;
2010;"htl-k1";22;"erys sylv";18;
2010;"htl-k1";23;"teuc cham";11;
2010;"htl-k1";24;"aren serp";13;
2010;"htl-k1";25;"sedu albu";7;
2010;"htl-k3";1;"hype perf";8;
2010;"htl-k3";2;"empt cell";0;
2010;"htl-k3";3;"aren serp";5;
2010;"htl-k3";4;"empt cell";0;
2010;"htl-k3";5;"sedu albu";5;
2010;"htl-k3";6;"sedu albu";5;
2010;"htl-k3";7;"anth ramo";5;
2010;"htl-k3";8;"aren serp";9;
2010;"htl-k3";9;"aren serp";4;
2010;"htl-k3";10;"empt cell";0;
2010;"htl-k3";11;"hype perf";5;
2010;"htl-k3";12;"aren serp";10;
2010;"htl-k3";13;"aren serp";7;
2010;"htl-k3";14;"anth ramo";6;
2010;"htl-k3";15;"card nuta nuta";17;
2010;"htl-k3";16;"card nuta nuta";16;
2010;"htl-k3";17;"card nuta nuta";16;
2010;"htl-k3";18;"aren serp";12;
2010;"htl-k3";19;"aren serp";11;
2010;"htl-k3";20;"sedu albu";2;
2010;"htl-k3";21;"jovi glob hirt";3;
2010;"htl-k3";22;"empt cell";0;
2010;"htl-k3";23;"empt cell";0;
2010;"htl-k3";24;"card nuta nuta";4;
2010;"htl-k3";25;"card nuta nuta";7;
2010;"htl-k5";1;"empt cell";0;
2010;"htl-k5";2;"empt cell";0;
2010;"htl-k5";3;"sedu albu";5;
2010;"htl-k5";4;"aren serp";6;
2010;"htl-k5";5;"sedu albu";11;
2010;"htl-k5";6;"aren serp";9;
2010;"htl-k5";7;"aren serp";6;
2010;"htl-k5";8;"sedu albu";2;
2010;"htl-k5";9;"empt cell";0;
2010;"htl-k5";10;"empt cell";0;
2010;"htl-k5";11;"sedu albu";3;
2010;"htl-k5";12;"sedu albu";2;
2010;"htl-k5";13;"sedu albu";4;
2010;"htl-k5";14;"sedu albu";3;
2010;"htl-k5";15;"sedu albu";9;
2010;"htl-k5";16;"sedu albu";10;
2010;"htl-k5";17;"sedu albu";11;
2010;"htl-k5";18;"aren serp";10;
2010;"htl-k5";19;"aren serp";13;
2010;"htl-k5";20;"aren serp";8;
2010;"htl-k5";21;"sedu albu";10;
2010;"htl-k5";22;"sedu albu";12;
2010;"htl-k5";23;"aren serp";14;
