"year";"plot";"date";"cov";"scov";"hcov";"mcov";"rock";"scree";"soil";"litter"
2010;"htl-k1";"29/06/2010";36;0;35;1;25;15;24;0
2010;"htl-k2";"29/06/2010";17;0;15;2;30;25;28;0
2010;"htl-k3";"29/06/2010";13;0;10;3;10;47;30;0
2010;"htl-k4";"29/06/2010";12;0;10;2;45;28;15;0
2010;"htl-k5";"29/06/2010";16;0;15;1;23;56;5;0
2010;"htl-k6";"29/06/2010";67;0;65;2;13;10;10;0
2010;"htl-k7";"29/06/2010";22;0;12;10;70;3;5;0
2010;"htl-k8";"29/06/2010";52;0;50;2;20;20;8;0
2010;"htl-z1";"29/06/2010";16;0;15;1;15;59;10;0
2010;"htl-z2";"29/06/2010";13;0;8;5;82;2;3;0
2010;"htl-z3";"29/06/2010";41;0;40;1;15;40;4;0
2010;"htl-z4";"29/06/2010";72;0;70;2;5;20;3;0
2010;"htl-z5";"29/06/2010";18;0;17;1;17;62;3;0
2010;"htl-z6";"29/06/2010";27;0;20;7;10;55;8;0
2010;"htl-z7";"29/06/2010";47;0;45;2;5;45;3;0
2010;"htl-z8";"29/06/2010";71;0;70;1;0;26;3;0
2010;"krr-k1";"30/06/2010";16;0;15;1;80;2;2;0
2010;"krr-k2";"30/06/2010";36;0;35;1;51;3;10;0
2010;"krr-k3";"30/06/2010";13;0;12;1;72;5;10;0
2010;"krr-k4";"30/06/2010";26;0;25;1;20;50;4;0
2010;"krr-k5";"30/06/2010";17;0;15;2;75;5;3;0
2010;"krr-k6";"30/06/2010";11;0;10;1;25;44;20;0
2010;"krr-k7";"30/06/2010";41;0;35;6;39;10;10;0
2010;"krr-k8";"30/06/2010";17;0;15;2;35;40;8;0
2010;"krr-z1";"30/06/2010";21;0;20;1;50;26;3;0
2010;"krr-z2";"30/06/2010";12;0;10;2;77;10;1;0
2010;"krr-z3";"30/06/2010";76;0;75;1;12;11;1;0
2010;"krr-z4";"30/06/2010";20;0;18;2;50;15;15;0
2010;"krr-z5";"30/06/2010";21;0;20;1;23;53;3;0
2010;"krr-z6";"30/06/2010";41;0;40;1;21;35;3;0
2010;"krr-z7";"30/06/2010";27;0;25;2;40;30;3;0
2010;"krr-z8";"30/06/2010";14;0;13;1;19;60;7;0
2011;"htl-k1";"29/06/2011";60;0;59;1;20;5;15;0
2011;"htl-k2";"29/06/2011";25;0;24;1;45;25;5;0
2011;"htl-k3";"29/06/2011";12;0;11;1;10;70;5;3
2011;"htl-k4";"29/06/2011";13;0;10;3;25;52;10;0
2011;"htl-k5";"29/06/2011";5;0;4;1;20;65;5;5
2011;"htl-k6";"29/06/2011";75;0;74;1;15;3;7;0
2011;"htl-k7";"29/06/2011";27;0;15;12;68;1;3;1
2011;"htl-k8";"29/06/2011";85;0;84;1;14;1;0;0
2011;"htl-z1";"29/06/2011";27;0;25;2;10;57;5;1
2011;"htl-z2";"29/06/2011";20;0;12;8;70;3;1;6
2011;"htl-z3";"29/06/2011";54;0;53;1;10;1;5;30
2011;"htl-z4";"29/06/2011";70;0;67;3;10;11;1;8
2011;"htl-z5";"29/06/2011";40;0;36;4;20;32;2;6
2011;"htl-z6";"29/06/2011";45;0;20;25;10;33;4;8
2011;"htl-z7";"29/06/2011";25;0;22;3;5;52;3;15
2011;"htl-z8";"29/06/2011";45;0;44;1;0;30;10;15
2011;"krr-k1";"30/06/2011";20;0;18;2;76;4;0;0
2011;"krr-k2";"30/06/2011";45;0;45;0;12;29;10;4
2011;"krr-k3";"30/06/2011";9;0;7;2;73;3;15;0
2011;"krr-k4";"30/06/2011";60;0;59;1;24;15;1;0
2011;"krr-k5";"30/06/2011";25;0;24;1;71;4;0;0
2011;"krr-k6";"30/06/2011";38;0;37;1;30;24;7;1
2011;"krr-k7";"30/06/2011";60;0;56;4;35;3;2;0
2011;"krr-k8";"30/06/2011";45;0;44;1;25;25;5;0
2011;"krr-z1";"30/06/2011";60;0;59;1;24;10;5;1
2011;"krr-z2";"30/06/2011";20;0;18;2;71;8;1;0
2011;"krr-z3";"30/06/2011";75;0;74;1;8;14;2;1
2011;"krr-z4";"30/06/2011";27;0;25;2;20;50;2;1
2011;"krr-z5";"30/06/2011";30;0;29;1;25;40;5;0
2011;"krr-z6";"30/06/2011";46;0;45;1;30;21;2;1
2011;"krr-z7";"30/06/2011";50;0;49;1;30;18;2;0
2011;"krr-z8";"30/06/2011";55;0;54;1;15;24;0;6
2012;"htl-k1";"04/07/2012";45;0;44;1;20;3;31;1
2012;"htl-k2";"04/07/2012";5;0;4;1;45;30;19;1
2012;"htl-k3";"04/07/2012";9;0;5;4;15;47;24;5
2012;"htl-k4";"04/07/2012";5;0;2;3;25;53;15;2
2012;"htl-k5";"04/07/2012";2;0;1;1;20;70;3;5
2012;"htl-k6";"04/07/2012";80;0;78;2;10;2;5;3
2012;"htl-k7";"04/07/2012";22;0;15;7;72;2;3;1
2012;"htl-k8";"04/07/2012";82;0;80;2;12;1;2;3
2012;"htl-z1";"04/07/2012";27;0;20;7;12;50;7;4
2012;"htl-z2";"04/07/2012";43;0;35;8;50;2;2;3
2012;"htl-z3";"04/07/2012";31;0;30;1;12;2;0;55
2012;"htl-z4";"04/07/2012";77;0;74;3;7;0;1;15
2012;"htl-z5";"04/07/2012";77;0;75;2;7;9;1;6
2012;"htl-z6";"04/07/2012";45;0;30;15;8;30;5;12
2012;"htl-z7";"04/07/2012";70;0;69;1;3;11;6;10
2012;"htl-z8";"04/07/2012";37;0;36;1;0;50;3;10
2012;"krr-k1";"05/07/2012";20;0;17;3;76;3;1;0
2012;"krr-k2";"05/07/2012";13;0;13;0;13;10;63;1
2012;"krr-k3";"05/07/2012";8;0;8;0;74;2;15;1
2012;"krr-k4";"05/07/2012";36;0;35;1;23;29;10;2
2012;"krr-k5";"05/07/2012";20;0;18;2;71;2;6;1
2012;"krr-k6";"05/07/2012";21;0;20;1;24;44;6;5
2012;"krr-k7";"05/07/2012";41;0;35;6;54;3;2;0
2012;"krr-k8";"05/07/2012";22;0;18;4;34;40;4;0
2012;"krr-z1";"05/07/2012";52;0;50;2;36;4;7;1
2012;"krr-z2";"05/07/2012";20;0;16;4;72;4;3;1
2012;"krr-z3";"05/07/2012";57;0;56;1;8;19;8;8
2012;"krr-z4";"05/07/2012";46;0;40;6;30;10;4;10
2012;"krr-z5";"05/07/2012";28;0;27;1;25;45;1;1
2012;"krr-z6";"05/07/2012";58;0;55;3;19;20;2;1
2012;"krr-z7";"05/07/2012";46;0;45;1;27;20;3;4
2012;"krr-z8";"05/07/2012";85;0;85;0;5;7;0;3
