year,plot,abbr,layer,freq,flower,comment,history
2010,htl-k1,ajug gene,hl,1,,,
2010,htl-k1,anch offi,hl,4,,,
2010,htl-k1,anth ramo,hl,1,,,
2010,htl-k1,aren serp,hl,1,,,
2010,htl-k1,brom tect,hl,1,,cf.,
2010,htl-k1,erys sylv,hl,6,,,
2010,htl-k1,heli numm glab,hl,9,,,
2010,htl-k1,jovi glob hirt,hl,13,,,
2010,htl-k1,hack defl,hl,8,,,
2010,htl-k1,sang mino mino,hl,8,,,
2010,htl-k1,sedu albu,hl,11,,,
2010,htl-k1,tara sect rude,hl,1,,,
2010,htl-k1,teuc cham,hl,16,,,
2010,htl-k1,teuc mont,hl,1,,,
2010,htl-k1,viol tric saxa,hl,1,,,
2010,htl-k2,alli lusi,hl,3,,,
2010,htl-k2,aren serp,hl,1,,,
2010,htl-k2,echi vulg,hl,3,,,
2010,htl-k2,erys sylv,hl,6,,,
2010,htl-k2,fuma schl,hl,1,,,
2010,htl-k2,jovi glob hirt,hl,3,,,
2010,htl-k2,rese lute,hl,1,,,
2010,htl-k2,sedu albu,hl,16,,,
2010,htl-k2,teuc cham,hl,9,,,
2010,htl-k2,vinc hiru,hl,1,,,
2010,htl-k3,anth ramo,hl,2,,,
2010,htl-k3,aren serp,hl,8,,,
2010,htl-k3,card defl glau,hl,1,,,
2010,htl-k3,card nuta nuta,hl,4,,,
2010,htl-k3,hype perf,hl,2,,,
2010,htl-k3,jovi glob hirt,hl,14,,,
2010,htl-k3,rese lute,hl,1,,cf.,
2010,htl-k3,sedu albu,hl,8,,,
2010,htl-k3,teuc mont,hl,1,,,
2010,htl-k4,anth ramo,hl,4,,,
2010,htl-k4,erys sylv,hl,4,,,
2010,htl-k4,euph cypa,hl,1,,,
2010,htl-k4,jovi glob hirt,hl,10,,,
2010,htl-k4,pelt alli,hl,2,,,
2010,htl-k4,sedu albu,hl,8,,,
2010,htl-k4,teuc cham,hl,2,,,
2010,htl-k4,teuc mont,hl,2,,,
2010,htl-k5,alli lusi,hl,1,,,
2010,htl-k5,arab spec ies,hl,1,,,
2010,htl-k5,aren serp,hl,10,,,
2010,htl-k5,dory germ,hl,1,,,
2010,htl-k5,sedu albu,hl,17,,,
2010,htl-k6,anth ramo,hl,3,,,
2010,htl-k6,anth vuln slat,hl,4,,,
2010,htl-k6,aren serp,hl,11,,,
2010,htl-k6,card defl glau,hl,1,,,
2010,htl-k6,echi vulg,hl,3,,,
2010,htl-k6,jovi glob hirt,hl,5,,,
2010,htl-k6,poa bade,hl,1,,,
2010,htl-k6,rese lute,hl,6,,,
2010,htl-k6,salv glut,hl,1,,,
2010,htl-k6,secu vari,hl,4,,,
2010,htl-k6,sedu albu,hl,13,,,
2010,htl-k6,tara sect rude,hl,1,,,
2010,htl-k6,teuc cham,hl,8,,,
2010,htl-k6,teuc mont,hl,4,,,
2010,htl-k6,vinc hiru,hl,22,,,
2010,htl-k7,anth ramo,hl,2,,,
2010,htl-k7,aren serp,hl,9,,,
2010,htl-k7,erys sylv,hl,6,,,
2010,htl-k7,jovi glob hirt,hl,15,,,
2010,htl-k7,lotu corn,hl,1,,,
2010,htl-k7,orig vulg,hl,1,,,
2010,htl-k7,pelt alli,hl,1,,,
2010,htl-k7,sedu albu,hl,14,,,
2010,htl-k7,teuc mont,hl,4,,,
2010,htl-k8,anth vuln slat,hl,1,,,
2010,htl-k8,aren serp,hl,9,,,
2010,htl-k8,card defl glau,hl,1,,,
2010,htl-k8,card nuta nuta,hl,4,,,
2010,htl-k8,erys sylv,hl,5,,,
2010,htl-k8,frax exce,hl,1,,,
2010,htl-k8,hype perf,hl,1,,,
2010,htl-k8,jovi glob hirt,hl,17,,,
2010,htl-k8,lina geni,hl,1,,,
2010,htl-k8,orig vulg,hl,3,,,
2010,htl-k8,pote pusi,hl,3,,,
2010,htl-k8,sedu albu,hl,8,,,
2010,htl-k8,teuc cham,hl,5,,,
2010,htl-k8,vinc hiru,hl,19,,,
2010,htl-k8,viol coll,hl,1,,,
2010,htl-k8,viol tric saxa,hl,1,,,
2010,htl-z1,anth ramo,hl,4,,,
2010,htl-z1,aren serp,hl,5,,,
2010,htl-z1,erys sylv,hl,1,,,
2010,htl-z1,jovi glob hirt,hl,2,,,
2010,htl-z1,pelt alli,hl,10,,,
2010,htl-z1,sedu albu,hl,22,,,
2010,htl-z2,anth ramo,hl,2,,,
2010,htl-z2,aren serp,hl,6,,,
2010,htl-z2,erys sylv,hl,8,,,
2010,htl-z2,jovi glob hirt,hl,4,,,
2010,htl-z2,sedu albu,hl,23,,,
2010,htl-z2,sese aust,hl,1,,,
2010,htl-z3,anch offi,hl,2,,,
2010,htl-z3,aren serp,hl,6,,,
2010,htl-z3,card defl glau,hl,2,,,
2010,htl-z3,hype perf,hl,4,,,
2010,htl-z3,jovi glob hirt,hl,11,,,
2010,htl-z3,pelt alli,hl,3,,,
2010,htl-z3,poa prat,hl,17,,,
2010,htl-z3,sedu albu,hl,19,,,
2010,htl-z3,tara sect rude,hl,3,,,
2010,htl-z3,viol coll,hl,4,,,
2010,htl-z4,acon anth,hl,4,,,
2010,htl-z4,anth ramo,hl,3,,,
2010,htl-z4,aren serp,hl,20,,,
2010,htl-z4,aspe cyna,hl,2,,,
2010,htl-z4,card defl glau,hl,1,,,
2010,htl-z4,erys sylv,hl,1,,,
2010,htl-z4,heli numm obsc,hl,8,,,
2010,htl-z4,jovi glob hirt,hl,7,,,
2010,htl-z4,meli cili,hl,7,,,
2010,htl-z4,orig vulg,hl,10,,,
2010,htl-z4,pote pusi,hl,1,,,
2010,htl-z4,sedu albu,hl,8,,,
2010,htl-z4,sene vulg,hl,1,,cf.,
2010,htl-z4,tara sect rude,hl,1,,,
2010,htl-z4,teuc cham,hl,11,,,
2010,htl-z4,vinc hiru,hl,7,,,
2010,htl-z5,anth ramo,hl,8,,,
2010,htl-z5,aren serp,hl,2,,,
2010,htl-z5,aspe cyna,hl,3,,,
2010,htl-z5,erys sylv,hl,3,,,
2010,htl-z5,fuma schl,hl,1,,,
2010,htl-z5,heli numm obsc,hl,10,,,
2010,htl-z5,jovi glob hirt,hl,10,,,
2010,htl-z5,orig vulg,hl,2,,,
2010,htl-z5,rese lute,hl,5,,,
2010,htl-z5,sedu albu,hl,16,,,
2010,htl-z5,tara sect rude,hl,5,,,
2010,htl-z5,teuc mont,hl,2,,,
2010,htl-z5,viol coll,hl,1,,,
2010,htl-z6,aren serp,hl,25,,,
2010,htl-z6,erys sylv,hl,2,,,
2010,htl-z6,jovi glob hirt,hl,12,,,
2010,htl-z6,hack defl,hl,2,,,
2010,htl-z6,orig vulg,hl,4,,,
2010,htl-z6,sedu albu,hl,11,,,
2010,htl-z7,aren serp,hl,24,,,
2010,htl-z7,glob cord,hl,2,,,
2010,htl-z7,jovi glob hirt,hl,2,,,
2010,htl-z7,pelt alli,hl,1,,,
2010,htl-z7,sedu albu,hl,8,,,
2010,htl-z7,tara sect rude,hl,5,,,
2010,htl-z7,teuc cham,hl,2,,,
2010,htl-z7,vinc hiru,hl,8,,,
2010,htl-z8,acon anth,hl,2,,,
2010,htl-z8,aren serp,hl,12,,,
2010,htl-z8,fuma schl,hl,12,,,
2010,htl-z8,jovi glob hirt,hl,1,,,
2010,htl-z8,pelt alli,hl,2,,,
2010,htl-z8,rese lute,hl,5,,,
2010,htl-z8,sedu albu,hl,10,,,
2010,htl-z8,tara sect rude,hl,10,,,
2010,htl-z8,teuc cham,hl,9,,,
2010,htl-z8,vinc hiru,hl,12,,,
2010,htl-z8,viol coll,hl,2,,,
2010,krr-k1,alli lusi,hl,1,,,
2010,krr-k1,card nuta nuta,hl,4,,,
2010,krr-k1,gali luci,hl,1,,,
2010,krr-k1,jovi glob hirt,hl,15,,,
2010,krr-k1,sedu albu,hl,11,,,
2010,krr-k2,anch offi,hl,8,,,
2010,krr-k2,aren serp,hl,6,,,
2010,krr-k2,bupl falc falc,hl,2,,,
2010,krr-k2,gali luci,hl,1,,,
2010,krr-k2,jovi glob hirt,hl,2,,,
2010,krr-k2,medi lupu,hl,1,,,
2010,krr-k2,prun maha,hl,1,,,
2010,krr-k2,rese lute,hl,9,,,
2010,krr-k2,rosa cani,hl,1,,,
2010,krr-k2,sedu albu,hl,8,,,
2010,krr-k2,tara sect rude,hl,2,,,
2010,krr-k2,teuc mont,hl,3,,,
2010,krr-k3,alli lusi,hl,2,,,
2010,krr-k3,anch offi,hl,2,,,
2010,krr-k3,aren serp,hl,5,,,
2010,krr-k3,echi vulg,hl,2,,,
2010,krr-k3,erys sylv,hl,2,,,
2010,krr-k3,gali luci,hl,1,,,
2010,krr-k3,jovi glob hirt,hl,2,,,
2010,krr-k3,sedu albu,hl,22,,,
2010,krr-k3,sese aust,hl,2,,,
2010,krr-k3,sesl caer,hl,1,,,
2010,krr-k3,verb offi,hl,3,,,
2010,krr-k4,clin acin,hl,1,,,
2010,krr-k4,alli lusi,hl,2,,,
2010,krr-k4,anch offi,hl,1,,,
2010,krr-k4,aren serp,hl,7,,,
2010,krr-k4,bupl falc falc,hl,1,,,
2010,krr-k4,gali luci,hl,2,,,
2010,krr-k4,jovi glob hirt,hl,11,,,
2010,krr-k4,medi lupu,hl,7,,,
2010,krr-k4,meli cili,hl,2,,,
2010,krr-k4,sedu albu,hl,16,,,
2010,krr-k4,sese aust,hl,1,,,
2010,krr-k4,verb offi,hl,2,,,
