Laufende Nummer;.;.;.;.;.;.;|;.;.;.;1;1;1;1;1;|;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;1;2;3;4;5;6;|;7;8;9;0;1;2;3;4;|;5;6;7;8;9;0;1;2;3;4;5;6;7;8;9;0
;;;;;;;|;;;;;;;;;|;;;;;;;;;;;;;;;;
;2;2;2;3;3;2;|;3;3;3;3;3;3;3;3;|;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Aufnahmenummer;6;6;6;3;3;8;|;4;4;4;4;4;4;4;4;|;2;3;3;3;6;6;7;7;7;7;7;7;7;7;7;7
;1;2;4;8;9;9;|;6;0;1;2;3;4;5;7;|;9;0;1;2;8;9;0;1;2;3;4;5;6;7;8;9
;;;;;;;|;;;;;;;;;|;;;;;;;;;;;;;;;;
;1;.;.;.;.;.;|;1;.;.;.;1;1;1;1;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Meereshöhe (10m);0;9;8;9;9;6;|;0;9;9;9;0;0;0;0;|;8;8;8;8;7;7;7;7;7;7;8;8;8;8;8;8
;6;4;9;1;1;8;|;7;3;3;4;5;6;6;7;|;5;6;6;6;7;7;6;7;8;9;0;1;1;1;6;6
;;;;;;;|;;;;;;;;;|;;;;;;;;;;;;;;;;
;2;1;1;2;2;2;|;1;1;1;1;1;1;1;1;|;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Exposition;2;9;8;0;1;1;|;9;8;9;9;9;9;9;8;|;6;6;6;8;5;5;5;6;6;6;2;1;6;6;8;8
;0;0;0;0;0;0;|;0;0;0;0;0;0;0;0;|;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;|;;;;;;;;;|;;;;;;;;;;;;;;;;
Hangneigung (Grad);3;3;3;3;3;3;|;3;4;4;4;3;3;3;3;|;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3
;5;2;4;5;8;6;|;5;0;1;1;5;5;7;4;|;9;8;1;9;6;6;5;7;5;7;1;4;5;5;4;5
;;;;;;;|;;;;;;;;;|;;;;;;;;;;;;;;;;
Artenzahl;2;2;2;2;2;1;|;1;1;1;1;1;.;1;1;|;.;1;.;.;1;.;1;.;.;.;1;1;.;1;.;.
;5;3;7;7;8;9;|;6;2;1;1;4;9;2;3;|;7;0;6;8;0;9;0;9;8;9;4;2;9;3;5;7
;;;;;;;|;;;;;;;;;|;;;;;;;;;;;;;;;;
Deckung der Strauchdchicht (%);.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;0;0;0;0;0;0;|;0;0;0;0;0;0;0;0;|;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;;;;;;|;;;;;;;;;|;;;;;;;;;;;;;;;;
Deckung der Krautschicht (%);5;4;4;4;3;2;|;3;4;5;2;2;2;2;4;|;3;2;2;2;4;5;;2;3;5;5;4;5;7;4;5
;;;;;;;|;;;;;;;;;|;;;;;;;;;;;;;;;;
Deckung der Moosschicht (%);.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;0;5;1;1;1;0;|;0;0;0;0;1;0;0;0;|;1;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0
;;;;;;;|;;;;;;;;;|;;;;;;;;;;;;;;;;
Achnatherum calamagrostis;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Vincetoxicum hirundinaria;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Teucrium montanum;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Anthericuum ramosum;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Carex humilis;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Globularia cordifolia;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Asperula tinctoria;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Pinus sylvestris;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Viola collina;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Seslaria varia;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Lotus corniculatus;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Festuca amethystina;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Molinia caerulea agg.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Carduus defloratus;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Gypsophiia repens;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Petasites paradoxus;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Thymus polytrichus;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Calamagrostis varia;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Galium anisophyllum;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Campanula cochleariifolia;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
