taxon,matched.taxon
Achnatherum calamagrostis,Achnatherum calamagrostis
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria
Teucrium montanum,Teucrium montanum
blank,NA
Anthericum ramosum,Anthericum ramosum
Carex humilis,Carex humilis
Globularia cordifolia,Globularia cordifolia s.str.
Asperula tinctoria,Asperula tinctoria
Pinus sylvestris,Pinus sylvestris
Viola collina,Viola collina
Sesleria varia,Sesleria caerulea s.str.
Lotus corniculatus,Lotus corniculatus s.str.
Festuca amethystina,Festuca amethystina ssp. amethystina
Molinia caerulea agg.,Molinia caerulea agg.
blank,NA
Carduus defloratus,Carduus defloratus ssp. viridis
Gypsophila repens,Gypsophila repens
Petasites paradoxus,Petasites paradoxus
Thymus polytrichus,Thymus praecox ssp. polytrichus
Calamagrostis varia,Calamagrostis varia
Galium anisophyllum,Galium anisophyllon
Campanula cochleariifolia,Campanula cochleariifolia
blank,NA
Silene vulgaris glareosa,Silene vulgaris ssp. glareosa
blank,NA
Reseda lutea,Reseda lutea ssp. lutea
Chaenorrhinum minus,Microrrhinum minus s.str.
Thymus praecox,Thymus praecox s.lat.
Galium lucidum,Galium lucidum
Clematis vitalba,Clematis vitalba
Taraxacum officinale,Taraxacum sect. Ruderalia
Calamintha nepetoides,Clinopodium nepeta s.str.
Hieracium piloselloides agg.,Hieracium piloselloides agg.
Dianthus sylvestris,Dianthus sylvestris
Saponaria ocymoides,Saponaria ocymoides ssp. ocymoides
Lappula squarrosa,Lappula squarrosa s.str.
blank,NA
blank,NA
Buphthalmum salicifolium,Buphthalmum salicifolium
Leontodon hispidus,Leontodon hispidus ssp. hyoseroides
Hieracium murorum/bifiduum,Hieracium bifidum
Tortella inclinata,Tortella inclinata
Linum catharticum,Linum catharticum
Tortella tortuosa,Tortella tortuosa
Leontodon incanus,Leontodon incanus
Carex ornithopoda,Carex ornithopoda ssp. ornithopoda
Polygala chamaebuxus,Polygala chamaebuxus
Salix appendiculata,Salix appendiculata s.str.
Carex sempervirens,Carex sempervirens ssp. sempervirens
Acer pseudoplatanus,Acer pseudoplatanus
