taxon;matched.taxon;abbr
Draba sauteri;Draba sauteri;drab saut
Cerastium uniflorum;Cerastium uniflorum;cera unif
Saxifraga oppositifolia;Saxifraga oppositifolia ssp. oppositifolia;saxi oppo oppo
Papaver sendtneri;Papaver alpinum ssp. sendtneri;papa alpi send
Thlaspi rotundifolium;Noccaea rotundifolia ssp. rotundifolia;nocc rotu rotu
Cerastium carinthiacum;Cerastium carinthiacum ssp. carinthiacum;cera cari cari
Pritzelago alpina;Hornungia alpina s.lat.;horn alpi slat
Linaria alpina;Linaria alpina ssp. alpina;lina alpi alpi
Poa minor;Poa minor;poa mino
Draba tomentosa;Draba tomentosa;drab tome
Draba stellata;Draba stellata;drab stel
Minuartia cherlerioides;Minuartia cherlerioides ssp. quadrifaria;minu cher quad
Primula auricula;Primula auricula s.lat.;prim auri slat
Arabis pumila stellulata;Arabis stellulata;arab stel
Saxifraga paniculata;Saxifraga paniculata;saxi pani
Potentilla clusiana;Potentilla clusiana;pote clus
Gentiana orbicularis;Gentiana orbicularis;gent orbi
Petrocallis pyrenaica;Petrocallis pyrenaica;petr pyre
Crepis terglouensis;Crepis terglouensis;crep terg
Carex firma;Carex firma;care firm
Minuartia gerardii;Minuartia gerardii;minu gera
Dryas octopetala;Dryas octopetala;drya octo
Helianthemum alpestre;Helianthemum alpestre;heli alpe
Silene acaulis;Silene acaulis s.lat.;sile acau slat
Minuartia sedoides;Minuartia sedoides;minu sedo
Salix retusa;Salix retusa s.str.;sali retu
Ranunculus alpestris;Ranunculus alpestris s.str.;ranu alpe
Saxifraga aphylla;Saxifraga aphylla;saxi aphy
Festuca pumila;Festuca pumila;fest pumi
Sesleria ovata;Sesleria ovata;sesl ovat
Arenaria ciliata;Arenaria ciliata;aren cili
Poa alpina;Poa alpina;poa alpi
Armeria alpina;Armeria alpina;arme alpi
Ditrichum flexicaule;Ditrichum flexicaule;ditr flex
Schistidium apocarpum agg;Schistidium apocarpum agg.;schi apoc aggr
Tortella tortuosa;Tortella tortuosa;tort tort
Cetraria tilesii;Vulpicida tubulosus;vulp tubu
Cetraria nivalis;Flavocetraria nivalis;flav niva
Cetraria islandica;Cetraria islandica ssp. islandica;cetr isla isla
Thamnolia vermicularis;Thamnolia vermicularis var. vermicularis;tham verm verm
Cladonia pyxidata;Cladonia pyxidata;clad pyxi
Hypnum revolutum;Hypnum revolutum;hypn revo
Hypnum vaucheri;Hypnum vaucheri;hypn vauc
Campylium calcareum;Campylium calcareum;camp calc
Homalothecium sericeum;Homalothecium sericeum;homa seri
Distichium capillaceum;Distichium capillaceum;dist capi
Ditrichum inclinatum;Distichium inclinatum;dist incl
Cladonia sp.;Cladonia sp.;clad spec ies
Saxifraga stellaris;Saxifraga stellaris s.lat.;saxi stel slat
Myosotis alpestris;Myosotis alpestris;myos alpe
Campanula pulla;Campanula pulla;camp pull
Achillea atrata;Achillea atrata;achi atra
Pedicularis verticillata;Pedicularis verticillata;pedi vert
Salix serpillifolia;Salix serpyllifolia;sali serp
Androsace chamaejasme;Androsace chamaejasme;andr cham
Gentiana pumila;Gentiana pumila;gent pumi
Pedicularis rostrato capitata;Pedicularis rostratocapitata ssp. rostratocapitata;pedi rost tata
Festuca brachystachys;Festuca versicolor ssp. brachystachys;fest vers brac
Homalothecium sp.;Homalothecium sp.;homa spec ies
