plot;abbr;layer;cover;voucher;comment;history
im01;achi mill aggr;hl;+;;;
im01;agri eupa eupa;hl;+;;;
im01;alli vine;hl;+;;;
im01;arrh elat;hl;2b;;;
im01;beto offi offi;hl;1;;;
im01;brac pinn;hl;3;;;
im01;briz medi;hl;1;;;
im01;brom erec;hl;2a;;;
im01;camp glom;hl;r;;;
im01;camp rapu rapu;hl;+;;;
im01;camp rotu;hl;+;;;
im01;care cary;hl;+;;;
im01;care flac;hl;1;;;
im01;cent jace jace;hl;2b;;;
im01;cent scab scab;hl;2b;;;
im01;dact glom glom;hl;2b;;;
im01;dian cart cart;hl;+;;;
im01;euph cypa;hl;1;;;
im01;fest rubr slat;hl;1;;;
im01;gali albu;hl;2a;;;
im01;gali veru;hl;1;;;
im01;hera spho spho;hl;r;;;
im01;homa pube pube;hl;+;;;
im01;knau arve arve;hl;1;;;
im01;lath prat prat;hl;+;;;
im01;leon hisp slat;hl;+;;;
im01;linu cath;hl;+;;;
im01;lotu corn;hl;+;;;
im01;medi falc;hl;2b;;;
im01;onon spin spin;hl;1;;;
im01;orig vulg;hl;2b;;;
im01;pimp majo majo;hl;+;;;
im01;pimp saxi saxi;hl;+;;;
im01;poa prat;hl;+;;;
im01;ranu nemo;hl;+;;;
im01;rhin alec alec;hl;1;;;
im01;rhin mino;hl;+;;;
im01;salv prat prat;hl;+;;;
im01;sang mino mino;hl;+;;;
im01;secu vari;hl;2b;;;
im01;tara sect rude;hl;+;;;
im01;thes bava;hl;1;;;
im01;thym pule pule;hl;+;;;
im01;trif medi medi;hl;+;;;
im01;trif prat prat;hl;2b;;;
im01;vero cham cham;hl;+;;;
im01;vero teuc;hl;1;;;
im01;vici crac;hl;+;;;
im01;viol hirt;hl;2m;;;
im02;achi mill aggr;hl;1;;;
im02;arrh elat;hl;1;;;
im02;brac pinn;hl;1;;;
im02;briz medi;hl;1;;;
im02;brom erec;hl;4;;;
im02;care cary;hl;2a;;;
im02;care flac;hl;+;;;
im02;cent jace jace;hl;2a;;;
im02;cent scab scab;hl;+;;;
im02;dact glom glom;hl;1;;;
im02;dauc caro caro;hl;1;;;
im02;gali albu;hl;+;;;
im02;leon hisp slat;hl;2b;;;
im02;leuc ircu;hl;+;;;
im02;lotu corn;hl;2a;;;
im02;medi lupu;hl;+;;;
im02;onon spin spin;hl;2a;;;
im02;plan lanc;hl;+;;;
im02;prun vulg;hl;+;;;
im02;rhin alec alec;hl;2a;;;
im02;salv prat prat;hl;2b;;;
im02;tara sect rude;hl;+;;;
im02;thes bava;hl;+;;;
im02;trif prat prat;hl;2a;;;
im02;vici crac;hl;+;;;
im03;achi mill aggr;hl;1;;;
im03;agri eupa eupa;hl;2a;;;
im03;arrh elat;hl;2b;;;
im03;beto offi offi;hl;1;;;
im03;brac pinn;hl;2b;;;
im03;brac sylv;hl;+;;;
im03;brom erec;hl;2b;;;
im03;care cary;hl;1;;;
im03;care pilu pilu;hl;+;;;
im03;cent scab scab;hl;1;;;
im03;conv arve;hl;2a;;;
im03;dact glom glom;hl;2a;;;
im03;equi arve;hl;+;;;
im03;euph cypa;hl;+;;;
im03;fest prat prat;hl;+;;;
im03;fili ulma;hl;+;;;
im03;gali albu;hl;2a;;;
im03;gali bore;hl;r;;;
im03;hera spho spho;hl;2a;;;
