plot;cov;t1cov;t2cov;t3cov;s1cov;s2cov;hcov;mcov;htl1;htl2;htl3;hsl1;hsl2;hhl1;hhl2;plsx;plsy;plrad;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;marks;comment;type;alliance;alliance.code;association;soil;location;observer;total.gap;canopy.openness;canopy.closure
ia01;99;40;20;5;75;30;90;15;22;16;8;4,5;2;0,8;0,2;;;11;F;0;0;0;0;2021-05-04,2021-09-12;47.824824;13.031214;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
ia02;99;50;60;15;15;35;95;1;25;16;7;4,5;2,5;0,6;0,25;;;11;F;0;0;0;0;2021-05-04,2021-09-12;47.824940;13.030593;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
ia03;99;60;15;10;60;40;75;1;27;19;9;6;3;0,8;0,15;;;11;F;0;0;0;0;2021-05-04,2021-09-12;47.825199;13.030958;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
ia04;99;70;25;15;15;45;80;1;25;16;8;4;2;0,7;0,2;;;11;F;0;0;0;0;2021-05-04,2021-09-12;47.825510;13.029872;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
ia05;99;40;30;35;30;20;85;1;29;17;11;7;2,5;0,6;0,3;;;11;F;0;0;0;0;2021-05-04,2021-09-12;47.825973;13.030470;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
ia06;99;30;50;45;20;25;40;1;24;16;10;5;2,5;0,7;0,15;;;11;F;0;0;0;0;2021-05-04,2021-09-12;47.826298;13.030338;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
ia07;99;30;50;45;20;25;45;1;24;16;10;5;2,5;0,7;0,15;;;11;F;0;0;0;0;2020-08-10,2021-09-12;47.826097;13.029229;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
ia08;99;0;25;30;40;70;80;3;0;19;10;4,5;2;0,9;0,2;;;11;F;0;0;0;0;2021-05-08,2021-09-12;47.825003;13.029763;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
ia09;100;70;40;5;20;25;99;1;24;12;9;5,5;2;0,7;0,4;;;11;F;0;0;0;0;2021-05-08,2021-09-12;47.825753;13.029077;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
ia10;99;3;30;25;30;50;97;1;24;20;10;5;2,5;0,8;0,2;;;11;F;0;0;0;0;2021-05-08,2021-09-12;47.827041;13.029691;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
ia11;100;35;60;0;10;70;99;1;25;20;0;5;2,5;0,9;0,2;;;11;F;0;0;0;0;2021-05-08,2021-09-12;47.827095;13.029101;10;iron pipe 1/2 inch (white plastic cap);;forest;Alnion incanae Pawłowski et al. 1928;POP-02A;;;Itzlinger Au, geschützter Landschaftsteil;R. Kaiser;;;
