plot,abbr,layer,cover,voucher,comment,history
ia01,prun padu padu,tl3,1,,,
ia01,ulmu glab,tl3,1,,,
ia01,prun padu padu,tl2,2a,,,
ia01,ulmu glab,tl2,2a,,,
ia01,frax exce,tl1,2b,,,
ia01,sali alba,tl1,2a,,,
ia01,ulmu glab,tl1,2b,,,
ia01,acer plat,sl2,+,,,
ia01,acer pseu,sl2,+,,,
ia01,corn sang slat,sl2,2b,,,
ia01,euon euro,sl2,+,,,
ia01,frax exce,sl2,+,,,
ia01,hede heli,sl2,r,,,
ia01,loni xylo,sl2,+,,,
ia01,prun padu padu,sl2,2a,,,
ia01,tili plat,sl2,r,,,
ia01,ulmu glab,sl2,+,,,
ia01,vibu opul,sl2,+,,,
ia01,acer plat,sl1,+,,,
ia01,corn sang slat,sl1,2a,,,
ia01,frax exce,sl1,+,,,
ia01,prun padu padu,sl1,3,,,
ia01,ulmu glab,sl1,1,,,
ia01,vibu opul,sl1,+,,,
ia01,acer plat,hl,+,,,
ia01,acer pseu,hl,+,,,
ia01,aego poda,hl,3,,,
ia01,alli ursi ursi,hl,2b,,,
ia01,anem nemo,hl,2b,,,
ia01,anem ranu,hl,2b,,,
ia01,arum macu,hl,2b,,,
ia01,asar euro cauc,hl,+,,,
ia01,asar euro euro,hl,r,,,
ia01,brac sylv,hl,1,,,
ia01,clem vita,hl,r,,,
ia01,corn sang slat,hl,1,,,
ia01,desc cesp,hl,+,,,
ia01,fica vern vern,hl,r,,,
ia01,fili ulma,hl,r,,,
ia01,frax exce,hl,+,,,
ia01,gale mont,hl,1,,,
ia01,gali apar,hl,+,,,
ia01,geum urba,hl,+,,,
ia01,hede heli,hl,3,,,
ia01,impa glan,hl,r,,,
ia01,lami macu,hl,+,,cf.,
ia01,lath squa squa,hl,+,,,
ia01,loni xylo,hl,1,,,
ia01,pari quad,hl,1,,,
ia01,poly mult,hl,2a,,,
ia01,prun padu padu,hl,1,,,
ia01,quer robu,hl,+,,,
ia01,ranu lanu,hl,r,,,
ia01,rubu caes,hl,2a,,,
ia01,salv glut,hl,+,,,
ia01,scil bifo,hl,1,,,
ia01,stac sylv,hl,+,,,
ia01,symp tube slat,hl,2a,,,
ia01,ulmu glab,hl,+,,,
ia01,vibu opul,hl,+,,,
ia02,corn sang slat,tl3,r,,,
ia02,prun padu padu,tl3,1,,,
ia02,quer robu,tl3,1,,,
ia02,rham cath,tl3,r,,cf.,
ia02,acer pseu,tl2,1,,,
ia02,frax exce,tl2,1,,,
ia02,hede heli,tl2,r,,,
ia02,prun padu padu,tl2,2a,,,
ia02,sali alba,tl2,1,,,
ia02,tili plat,tl2,2b,,BHD 30cm,
ia02,ulmu glab,tl2,2b,,,
ia02,frax exce,tl1,2a,,,
ia02,popu nigr,tl1,3,,,
ia02,quer robu,tl1,2b,,,
ia02,acer plat,sl2,r,,,
ia02,acer pseu,sl2,r,,,
ia02,alnu inca,sl2,r,,,
ia02,corn sang slat,sl2,3,,,
ia02,cory avel,sl2,1,,,
ia02,euon euro,sl2,+,,,
ia02,frax exce,sl2,r,,,
ia02,humu lupu,sl2,r,,,
ia02,loni xylo,sl2,1,,,
ia02,prun aviu slat,sl2,r,,,
ia02,prun padu padu,sl2,1,,,
ia02,ulmu glab,sl2,+,,,
ia02,corn sang slat,sl1,2b,,,
ia02,cory avel,sl1,2b,,,
ia02,euon euro,sl1,1,,,
ia02,loni xylo,sl1,+,,,
ia02,prun padu padu,sl1,2a,,,
ia02,ulmu glab,sl1,1,,,
ia02,acer pseu,hl,+,,,
ia02,alli ursi ursi,hl,3,,,
ia02,anem nemo,hl,2b,,,
ia02,anem ranu,hl,2a,,,
ia02,apos foet,hl,r,,,
ia02,arum macu,hl,1,,,
ia02,asar euro cauc,hl,+,,,
ia02,asar euro euro,hl,+,,,
ia02,brac sylv,hl,1,,,
ia02,card bulb,hl,+,,,
ia02,care alba,hl,2b,,,
ia02,clem vita,hl,r,,,
ia02,desc cesp,hl,1,,,
ia02,euon euro,hl,+,,,
ia02,frax exce,hl,+,,,
ia02,gage lute,hl,r,,,
ia02,gale mont,hl,r,,,
ia02,hede heli,hl,+,,,
ia02,hepa nobi,hl,+,,,
ia02,lath squa squa,hl,+,,,
ia02,loni xylo,hl,+,,,
ia02,pari quad,hl,1,,,
ia02,poly mult,hl,1,,,
ia02,prim elat,hl,r,,,
ia02,prun padu padu,hl,+,,,
ia02,quer robu,hl,r,,,
ia02,rubu caes,hl,+,,,
ia02,salv glut,hl,+,,,
ia02,scil bifo,hl,+,,,
ia02,symp tube slat,hl,1,,,
ia02,tili plat,hl,r,,,
ia02,ulmu glab,hl,+,,,
ia02,vibu opul,hl,+,,,
ia03,corn sang slat,tl3,+,,,
ia03,cory avel,tl3,1,,,
ia03,frax exce,tl3,1,,,
ia03,prun padu padu,tl3,1,,,
ia03,tili plat,tl3,1,,,
ia03,frax exce,tl2,2a,,,
ia03,prun padu padu,tl2,2a,,,
ia03,ulmu glab,tl2,2a,,,
ia03,frax exce,tl1,3,,,
ia03,popu nigr,tl1,3,,,
ia03,acer pseu,sl2,+,,,
ia03,aesc hipp,sl2,r,,,
ia03,clem vita,sl2,2a,,,
ia03,corn sang slat,sl2,3,,,
ia03,cory avel,sl2,1,,,
ia03,euon euro,sl2,+,,,
ia03,frax exce,sl2,+,,,
ia03,humu lupu,sl2,+,,,
ia03,loni xylo,sl2,1,,,
ia03,prun aviu slat,sl2,r,,,
ia03,prun padu padu,sl2,2a,,,
ia03,tili plat,sl2,2a,,,
ia03,ulmu glab,sl2,1,,,
ia03,vibu opul,sl2,+,,,
ia03,clem vita,sl1,1,,,
ia03,corn sang slat,sl1,2a,,,
ia03,cory avel,sl1,2a,,,
ia03,euon euro,sl1,+,,,
ia03,humu lupu,sl1,1,,,
ia03,loni xylo,sl1,1,,,
ia03,prun padu padu,sl1,3,,,
ia03,ulmu glab,sl1,+,,,
ia03,acer camp,hl,r,,,
ia03,acer plat,hl,r,,,
ia03,alli ursi ursi,hl,2a,,,
ia03,anem nemo,hl,2b,,,
ia03,anem ranu,hl,2b,,,
ia03,arum macu,hl,+,,,
ia03,asar euro cauc,hl,1,,,
ia03,asar euro euro,hl,+,,,
ia03,brac sylv,hl,2a,,,
ia03,card bulb,hl,1,,,
ia03,care alba,hl,r,,,
ia03,clem vita,hl,+,,,
ia03,conv maja maja,hl,2b,,,
ia03,corn sang slat,hl,1,,,
ia03,dryo dila,hl,r,,,
ia03,euon euro,hl,+,,,
ia03,frax exce,hl,+,,,
ia03,gale mont,hl,1,,,
ia03,geum urba,hl,+,,,
ia03,hede heli,hl,1,,,
ia03,hera spho spho,hl,r,,,
ia03,humu lupu,hl,+,,,
ia03,lath squa squa,hl,+,,,
ia03,loni xylo,hl,+,,,
ia03,pari quad,hl,1,,,
ia03,poa triv,hl,r,,,
ia03,poly mult,hl,1,,,
ia03,prim elat,hl,r,,,
ia03,prun padu padu,hl,2a,,,
ia03,quer robu,hl,r,,,
ia03,ribe spec ies,hl,r,,,
ia03,rubu caes,hl,1,,,
ia03,sali alba,hl,+,,,
ia03,salv glut,hl,1,,,
ia03,scil bifo,hl,+,,,
ia03,symp tube slat,hl,1,,,
ia03,ulmu glab,hl,+,,,
ia03,urti dioi dioi,hl,r,,,
ia03,vibu opul,hl,+,,,
ia03,viol mira,hl,1,,,
ia04,aesc hipp,tl3,1,,,
ia04,hede heli,tl3,+,,check field notes,
ia04,prun padu padu,tl3,+,,,
ia04,tili cord,tl3,1,,,
ia04,ulmu glab,tl3,2a,,,
ia04,acer plat,tl2,1,,,
ia04,frax exce,tl2,1,,,
ia04,tili cord,tl2,2b,,,
ia04,frax exce,tl1,2a,,,
ia04,quer robu,tl1,2a,,,
ia04,tili cord,tl1,3,,,
ia04,clem vita,sl2,+,,,
ia04,corn sang slat,sl2,2b,,,
ia04,cory avel,sl2,1,,,
ia04,euon euro,sl2,+,,,
ia04,frax exce,sl2,r,,,
ia04,loni xylo,sl2,1,,,
ia04,prun padu padu,sl2,1,,,
ia04,tili cord,sl2,+,,,
ia04,ulmu glab,sl2,+,,,
ia04,vibu opul,sl2,+,,,
ia04,clem vita,sl1,+,,,
ia04,corn sang slat,sl1,1,,,
ia04,cory avel,sl1,2a,,,
ia04,prun padu padu,sl1,1,,,
ia04,tili cord,sl1,1,,,
ia04,ulmu glab,sl1,+,,,
ia04,visc albu,sl1,r,,,
ia04,acer plat,hl,1,,,
ia04,acer pseu,hl,+,,,
ia04,ajug rept,hl,+,,,
ia04,alli ursi ursi,hl,2b,,,
ia04,anem nemo,hl,2b,,,
ia04,anem ranu,hl,2a,,,
ia04,apos foet,hl,+,,,
ia04,arum macu,hl,+,,,
ia04,asar euro cauc,hl,1,,,
ia04,asar euro euro,hl,+,,,
ia04,brac sylv,hl,1,,,
ia04,card bulb,hl,+,,,
ia04,care alba,hl,2b,,,
ia04,carp betu,hl,r,,,
ia04,clem vita,hl,+,,,
ia04,corn sang slat,hl,+,,,
ia04,desc cesp,hl,+,,,
ia04,euon euro,hl,+,,,
ia04,fagu sylv,hl,r,,,
ia04,frax exce,hl,r,,,
ia04,gage lute,hl,r,,,
ia04,gale mont,hl,1,,,
ia04,hede heli,hl,+,,,
ia04,hepa nobi,hl,1,,,
ia04,lath squa squa,hl,+,,,
ia04,loni xylo,hl,+,,,
ia04,meli nuta,hl,+,,,
ia04,pari quad,hl,+,,,
ia04,phyt spic spic,hl,r,,,
ia04,poly mult,hl,+,,,
ia04,prun aviu slat,hl,r,,,
ia04,prun padu padu,hl,1,,,
ia04,quer robu,hl,+,,,
ia04,rubu caes,hl,+,,,
ia04,salv glut,hl,+,,,
ia04,samb nigr,hl,r,,,
ia04,scil bifo,hl,+,,,
ia04,symp tube slat,hl,1,,,
ia04,tili cord,hl,+,,,
ia04,ulmu glab,hl,+,,,
ia04,vale offi samb,hl,+,,,
ia04,vibu opul,hl,+,,,
ia04,viol rivi,hl,r,,,
ia05,acer pseu,tl3,+,,,
ia05,aesc hipp,tl3,2a,,,
ia05,cory avel,tl3,1,,,
ia05,prun padu padu,tl3,2b,,,
ia05,acer pseu,tl2,2a,,,
ia05,frax exce,tl2,2a,,,
ia05,ulmu glab,tl2,2a,,,
ia05,frax exce,tl1,1,,,
ia05,popu cana,tl1,3,,,
ia05,aesc hipp,sl2,r,,,
ia05,corn sang slat,sl2,1,,,
ia05,cory avel,sl2,1,,,
ia05,euon euro,sl2,r,,,
ia05,loni xylo,sl2,+,,,
ia05,prun padu padu,sl2,2b,,,
ia05,tili cord,sl2,+,,,
ia05,ulmu glab,sl2,+,,,
ia05,aesc hipp,sl1,+,,,
ia05,corn sang slat,sl1,+,,,
ia05,cory avel,sl1,2b,,,
ia05,prun padu padu,sl1,1,,,
ia05,acer pseu,hl,+,,,
ia05,anem nemo,hl,2a,,,
ia05,anem ranu,hl,1,,,
ia05,arum macu,hl,+,,,
ia05,asar euro cauc,hl,1,,,
ia05,asar euro euro,hl,2a,,,
ia05,brac sylv,hl,1,,,
ia05,conv maja maja,hl,3,,,
ia05,corn sang slat,hl,1,,,
ia05,euon euro,hl,+,,,
ia05,euph dulc,hl,+,,,
ia05,frax exce,hl,1,,,
ia05,gale mont,hl,2a,,,
ia05,hede heli,hl,+,,,
ia05,hepa nobi,hl,2a,,,
ia05,lath squa squa,hl,+,,,
ia05,loni xylo,hl,+,,,
ia05,pari quad,hl,+,,,
ia05,poly mult,hl,+,,,
ia05,prun padu padu,hl,+,,,
ia05,rubu caes,hl,+,,,
ia05,salv glut,hl,2a,,,
ia05,scil bifo,hl,+,,,
ia05,symp tube slat,hl,+,,,
ia05,tara sect rude,hl,r,,,
ia05,tili cord,hl,+,,,
ia05,ulmu glab,hl,+,,,
ia05,vibu opul,hl,+,,,
ia05,vinc mino,hl,2b,,,
ia06,acer pseu,tl3,2b,,,
