plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,alliance,association,soil,comment,location,observer
jmx01,,,,,,,,,,,,,,,,,,,2015-03-08,47.86123,13.97127,20,Tilenion platyphylli,,,"planned, easy",Jansenmäuer,R. Kaiser
jmx02,,,,,,,,,,,,,,,,,,,2015-03-08,47.86144,13.97158,20,Tilenion platyphylli,,,"planned, big shot",Jansenmäuer,R. Kaiser
jmx03,,,,,,,,,,,,,,,,,,,2015-03-08,47.86113,13.97181,20,Tilenion platyphylli,,,"planned, easy",Jansenmäuer,R. Kaiser
jmx04,,,,,,,,,,,,,,,,,,,2015-03-08,47.86091,13.97301,20,Tilenion platyphylli,,,"planned, big shot",Jansenmäuer,R. Kaiser
jmx05,,,,,,,,,,,,,,,,,,,2015-03-08,47.86109,13.97316,20,Tilenion platyphylli,,,"planned, climb (big shot)",Jansenmäuer,R. Kaiser
jmx06,,,,,,,,,,,,,,,,,,,2015-03-08,47.86122,13.97368,20,Tilenion platyphylli,,,"planned, big shot",Jansenmäuer,R. Kaiser
jmx07,,,,,,,,,,,,,,,,,,,2015-03-08,47.86086,13.97359,20,Tilenion platyphylli,,,"planned, easy",Jansenmäuer,R. Kaiser
jmx08,,,,,,,,,,,,,,,,,,,2015-03-08,47.86074,13.97436,20,Tilenion platyphylli,,,"planned, big shot",Jansenmäuer,R. Kaiser
jmx09,,,,,,,,,,,,,,,,,,,2015-03-08,47.86101,13.97450,20,Tilenion platyphylli,,,"planned, moderate climb",Jansenmäuer,R. Kaiser
jmx10,,,,,,,,,,,,,,,,,,,2015-03-08,47.86071,13.97729,20,Tilenion platyphylli,,,"planned, big shot",Jansenmäuer,R. Kaiser
jmx11,,,,,,,,,,,,,,,,,,,2015-03-08,47.86066,13.97765,20,Tilenion platyphylli,,,"planned, easy",Jansenmäuer,R. Kaiser
jmx12,,,,,,,,,,,,,,,,,,,2015-03-08,47.86045,13.97766,20,Tilenion platyphylli,,,"planned, easy",Jansenmäuer,R. Kaiser
jmx13,,,,,,,,,,,,,,,,,,,2015-03-08,47.86041,13.97791,20,Tilenion platyphylli,,,"planned, moderate climb",Jansenmäuer,R. Kaiser
jmx14,,,,,,,,,,,,,,,,,,,2015-03-08,47.86029,13.97835,20,Tilenion platyphylli,,,"planned, moderate climb",Jansenmäuer,R. Kaiser
jmx15,,,,,,,,,,,,,,,,,,,2015-03-08,47.86022,13.97942,20,Cephalanthero-Fagenion,,,"planned, easy",Jansenmäuer,R. Kaiser
jmx16,,,,,,,,,,,,,,,,,,,2015-03-08,47.86023,13.98022,20,Cephalanthero-Fagenion,,,"planned, moderate climb",Jansenmäuer,R. Kaiser
jmx17,,,,,,,,,,,,,,,,,,,2015-03-08,47.85996,13.98166,20,Cephalanthero-Fagenion,,,"planned, moderate climb",Jansenmäuer,R. Kaiser
jmx18,,,,,,,,,,,,,,,,,,,2015-03-08,47.85981,13.98228,20,Cephalanthero-Fagenion,,,"planned, moderate climb",Jansenmäuer,R. Kaiser
jmx19,,,,,,,,,,,,,,,,,,,2015-03-08,47.86098,13.97327,20,Tilenion platyphylli,,,"planned, easy",Jansenmäuer,R. Kaiser
