plot,abbr,layer,cov
2,rubu spec ies,hl,r
2,vici sylv,hl,+
2,lath prat prat,hl,r
2,poly cham,hl,r
2,heli numm slat,hl,r
2,clin ment,hl,r
2,orob alba,hl,r
3,popu trem,hl,r
3,fagu sylv,hl,r
3,thes alpi,hl,r
3,acer pseu,hl,r
3,acer plat,hl,r
3,gale mont,hl,r
3,knau maxi,hl,r
3,tara sect rude,hl,r
4,cory avel,hl,r
4,eupa cann,hl,r
4,tuss farf,hl,1
4,hier pilo ides aggr,hl,+
5,poa nemo,hl,+
5,cala vari,hl,1
5,gymn cono slat,hl,r
5,sali appe,hl,r
5,rubu spec ies,hl,r
5,sang mino mino,hl,r
5,bell mich,hl,r
6,care orni orni,hl,+
6,glob cord,hl,+
7,berb vulg,hl,+
7,acer pseu,hl,r
8,sile nuta nuta,hl,1
8,trif repe repe,hl,+
8,anth vuln slat,hl,r
8,epil mont,hl,r
8,dauc caro caro,hl,r
8,verb offi,hl,r
8,plan lanc,hl,r
8,scab colu,hl,r
9,poly odor,hl,r
9,hipp como,hl,r
9,viol hirt,hl,r
9,ange sylv sylv,hl,r
9,lase lati lati,hl,r
10,pimp majo slat,hl,r
10,hera spho pyre,hl,r
10,orob reti slat,hl,r
10,crep pyre,hl,r
11,berb vulg,hl,1
11,eruc nast,hl,r
11,sang mino mino,hl,r
11,pote pusi,hl,r
11,hype perf,hl,r
11,viol pinn,hl,r
11,dauc caro caro,hl,r
11,corn sang slat,hl,r
11,verb lych,hl,r
11,scab colu,hl,r
11,camp rotu,hl,r
11,carl vulg vulg,hl,r
11,glob cord,hl,r
12,cala vari,hl,r
12,eruc nast,hl,r
12,frag vesc,hl,r
12,pote erec,hl,r
12,pote rept,hl,r
12,hype perf,hl,r
12,pimp majo slat,hl,r
12,ange sylv sylv,hl,r
12,leuc vulg,hl,r
12,cent jace slat,hl,r
12,chlo stat,hl,r
