taxon,matched.taxon
Stipa calamagrostis,Achnatherum calamagrostis
Vincetoxicum officinale,Vincetoxicum hirundinaria
Galeopsis angustifolia,Galeopsis angustifolia
Reseda luteola,Reseda luteola
Scrophularia canina,Scrophularia canina
Epilobium rosmarinifolium,Epilobium dodonaei
Calamintha nepetoides,Calamintha nepeta
blank,NA
Gypsophila repens,Gypsophila repens
Rumex scutatus,Rumex scutatus
Moehringia muscosa,Moehringia muscosa
Athamanta cretensis,Athamanta cretensis
Campanula cochleariifolia,Campanula cochleariifolia
Petasites paradoxus,Petasites paradoxus
Linaria alpina,Linaria alpina ssp. alpina
Dryopteris robertiana,Gymnocarpium robertianum
blank,NA
Teucrium montanum,Teucrium montanum
blank,NA
Galium mollugo,Galium mollugo s.str.
Buphthalmum salicifolium,Buphthalmum salicifolium
Carduus defloratus,Carduus defloratus s.lat.
Sesleria coerulea,Sesleria caerulea s.str.
Brachypodium pinnatum,Brachypodium pinnatum s.str.
Geranium robertianum,Geranium robertianum s.str.
Orignum vulgare,Origanum vulgare ssp. vulgare
Carex diversicolor,Carex flacca ssp. flacca
Silene vulgaris,Silene vulgaris ssp. glareosa
Teucrium chamaedrys,Teucrium chamaedrys ssp. chamaedrys
Thymus serpyllum,Thymus praecox s.lat.
Dactylis glomerata,Dactylis glomerata ssp. glomerata
Mercurialis perennis,Mercurialis perennis s.str.
Satureia vulgaris,Clinopodium vulgare ssp. vulgare
Picea excelsa,Picea abies
Anthericum ramosum,Anthericum ramosum
Salix incana,Salix eleagnos ssp. eleagnos
Kernera saxatilis,Kernera saxatilis
Arabis hirsuta,Arabis hirsuta s.str.
Medicago lupulina,Medicago lupulina
Fraxinus excelsior,Fraxinus excelsior
Digitalis ambigua,Digitalis grandiflora
Euphrasia salisburgensis,Euphrasia salisburgensis s.str.
Valeriana tripteris,Valeriana tripteris
Campanula trachelium,Campanula trachelium
Leontodon hispidus,Leontodon hispidus s.lat.
Hieracium murorum,Hieracium murorum
Pinus silvestris,Pinus sylvestris
Molinia litoralis,Molinia arundinacea
Carex humilis,Carex humilis
Helleborine latifolia,Epipactis helleborine s.lat.
Aquilegia atrata,Aquilegia atrata
Clematis vitalba,Clematis vitalba
Ranunculus geraniifolius,Ranunculus montanus s.str.
Sedum album,Sedum album
Sorbus aria,Sorbus aria s.str.
Lotus corniculatus,Lotus corniculatus s.str.
Coronilla emerus,Hippocrepis emerus ssp. emerus
Coronilla vaginalis,Coronilla vaginalis
Ligustrum vulgare,Ligustrum vulgare
Satureia alpina,Clinopodium alpinum ssp. alpinum
Verbascum nigrum,Verbascum nigrum
Cicerbita muralis,Lactuca muralis
