taxon,matched.taxon
Rubus.spec,Rubus sp.
Vicia.silvatica,Vicia sylvatica
Lathyrus.pratensis,Lathyrus pratensis ssp. pratensis
Polygala.chamaebuxus,Polygala chamaebuxus
Helianthemum.nummularium,Helianthemum nummularium s.lat.
Satureia.silvatica,Clinopodium menthifolium
Orobanche.alba,Orobanche alba
Populus.tremula,Populus tremula
Fagus.silvatica,Fagus sylvatica
Thesium.alpinum,Thesium alpinum
Acer.pseudoplatanus,Acer pseudoplatanus
Acer.platanoides,Acer platanoides
Lamium.galeobdolon,Galeobdolon montanum
Knautia.silvatica,Knautia maxima ssp. maxima
Taraxacum.officinale,Taraxacum sect. Ruderalia
Corylus.avellana,Corylus avellana
Eupatorium.cannabinum,Eupatorium cannabinum
Tussilago.farfara,Tussilago farfara
Hieracium.florentinum,Hieracium piloselloides agg.
Agrostis.alba,Poa nemoralis
Calamagrostis.varia,Calamagrostis varia
Gymnadenia.conopsea,Gymnadenia conopsea s.lat.
Salix.appendiculata,Salix appendiculata s.str.
Rubus.spec,Rubus sp.
Sanguisorba.minor,Sanguisorba minor ssp. minor
Bellidiastrum.michelii,Bellidiastrum michelii
Carex.ornithopoda,Carex ornithopoda ssp. ornithopoda
Globularia.cordifolia,Globularia cordifolia s.str.
Berberis.vulgaris,Berberis vulgaris
Acer.pseudoplatanus,Acer pseudoplatanus
Silene.nutans,Silene nutans ssp. nutans
Trifolium.repens,Trifolium repens ssp. repens
Anthyllis.vulneraria,Anthyllis vulneraria s.lat.
Epilobium.montanum,Epilobium montanum
Daucus.carota,Daucus carota ssp. carota
Verbena.officinalis,Verbena officinalis
Plantago.lanceolata,Plantago lanceolata
Scabiosa.columbaria,Scabiosa columbaria s.str.
Polygonatum.officinale,Polygonatum odoratum
Hippocrepis.comosa,Hippocrepis comosa
Viola.hirta,Viola hirta
Angelica.silvestris,Angelica sylvestris ssp. sylvestris
Laserpitium.latifolium,Laserpitium latifolium ssp. latifolium
Pimpinella.major,Pimpinella major s.lat.
Heracleum.montanum,Heracleum sphondylium subsp. pyrenaicum
Orohanche.reticulata,Orobanche reticulata s.lat.
Crepis.blattarioides,Crepis pyrenaica
Berberis.vulgaris,Berberis vulgaris
Erucastrum.obtusangulum,Erucastrum nasturtiifolium s.str.
Sanguisorba.minor,Sanguisorba minor ssp. minor
Potentilla.puberula,Potentilla pusilla
Hypericum.perforatum,Hypericum perforatum
Viola.pinnata,Viola pinnata
Daucus.carota,Daucus carota ssp. carota
Cornus.sanguinea,Cornus sanguinea s.lat.
Verbascum.lychnitis,Verbascum lychnitis
Scabiosa.columbaria,Scabiosa columbaria s.str.
Campanula.rotundifolia,Campanula rotundifolia s.str.
Carlina.vulgaris,Carlina vulgaris ssp. vulgaris
Globularia.cordifolia,Globularia cordifolia s.str.
Calamagrostis.varia,Calamagrostis varia
Erucastrum.obtusangulum,Erucastrum nasturtiifolium s.str.
Fragaria.vesca,Fragaria vesca
Potentilla.erecta,Potentilla erecta
Potentilla.reptans,Potentilla reptans
Hypericum.perforatum,Hypericum perforatum
Pimpinella.major,Pimpinella major s.lat.
Angelica.silvestris,Angelica sylvestris ssp. sylvestris
Chrysanthemum.vulgare,Leucanthemum vulgare s.str.
Centaurea.jacea,Centaurea jacea s.lat.
Hieracium.staticifolium,Chlorocrepis staticifolia
