plot,abbr,layer,cover,voucher,comment,history
tg01,acer pseu,sl1,1,,,
tg01,acer pseu,tl2,2b,,,
tg01,acer pseu,tl3,2b,,,
tg01,aego poda,hl,3,,,
tg01,alnu inca,tl2,3,,,
tg01,card pers pers,hl,r,,,
tg01,clem vita,hl,+,,,
tg01,clem vita,sl1,+,,,
tg01,clem vita,sl2,+,,,
tg01,clem vita,tl2,+,,,
tg01,clem vita,tl3,+,,,
tg01,corn sang sang,sl1,1,,,
tg01,corn sang sang,sl2,+,,,
tg01,cory cava,hl,2a,,,
tg01,dryo fili,hl,r,,,
tg01,euon euro,sl1,2a,,,
tg01,euon euro,sl2,1,,,
tg01,frax exce,tl2,2b,,,
tg01,gale mont,hl,+,,,
tg01,gali apar,hl,4,,,
tg01,glec hede,hl,+,,,
tg01,impa glan,hl,+,,,
tg01,impa noli,hl,+,,,
tg01,lami macu,hl,+,,,
tg01,poa triv,hl,+,,,
tg01,prun padu padu,hl,+,,,
tg01,prun padu padu,sl1,1,,,
tg01,prun padu padu,sl2,+,,,
tg01,rubu caes,hl,2a,,,
tg01,sali alba,tl1,2b,,,
tg01,samb nigr,hl,+,,,
tg01,samb nigr,sl1,2b,,,
tg01,samb nigr,sl2,1,,,
tg01,stac sylv,hl,+,,,
tg01,stel negl negl,hl,+,,,
tg01,urti dioi dioi,hl,4,,,
tg01,vero hede hede,hl,+,,,
tg02,aego poda,hl,+,,,
tg02,ange sylv sylv,hl,+,,,
tg02,betu pend,tl1,2a,,,
tg02,card pers pers,hl,r,,,
tg02,dips pilo,hl,r,,,
tg02,fest prat prat,hl,r,,,
tg02,frax exce,tl2,2b,,,
tg02,gali apar,hl,5,,,
tg02,glec hede,hl,1,,,
tg02,humu lupu,hl,+,,,
tg02,humu lupu,sl1,+,,,
tg02,humu lupu,sl2,+,,,
tg02,impa glan,hl,2a,,,
tg02,impa parv,hl,+,,,
tg02,lami macu,hl,3,,,
tg02,phal arun,hl,+,,,
tg02,poa triv,hl,2b,,,
tg02,quer robu,tl1,1,,,
tg02,sali alba,tl1,3,,,
tg02,samb nigr,sl1,2b,,,
tg02,samb nigr,tl3,3,,,
tg02,stel negl negl,hl,+,,,
tg02,urti dioi dioi,hl,3,,,
tg02,vero hede hede,hl,+,,,
tg03,alnu inca,hl,+,,,
tg03,alnu inca,sl1,1,,,
tg03,alnu inca,tl1,4,,,
tg03,circ lute lute,hl,+,,,
tg03,corn sang sang,hl,+,,,
tg03,corn sang sang,sl1,2a,,,
tg03,corn sang sang,sl2,2b,,,
tg03,equi hyem,hl,4,,,
tg03,euon euro,hl,r,,,
tg03,euon euro,sl2,r,,,
tg03,gale mont,hl,1,,,
tg03,gali apar,hl,+,,,
tg03,glec hede,hl,+,,,
tg03,impa glan,hl,+,,,
tg03,impa noli,hl,+,,,
tg03,loni xylo,hl,2a,,,
tg03,loni xylo,sl2,3,,,
tg03,pari quad,hl,+,,,
tg03,phal arun,hl,+,,,
tg03,prun padu padu,hl,+,,,
tg03,prun padu padu,sl2,1,,,
tg03,rubu caes,hl,2a,,,
tg03,sali alba,tl1,2b,,,
tg03,samb nigr,sl1,2b,,,
tg03,samb nigr,sl2,2b,,,
tg03,samb nigr,tl3,2a,,,
tg03,urti dioi dioi,hl,3,,,
tg04,acta spic,hl,+,,,
tg04,aego poda,hl,3,,,
tg04,alnu inca,hl,+,,,
tg04,alnu inca,sl2,+,,,
tg04,alnu inca,tl2,3,,,
tg04,berb vulg,sl2,1,,,
tg04,brac sylv,hl,2a,,,
tg04,cory avel,sl1,2a,,,
tg04,cory avel,sl2,1,,,
tg04,cory avel,tl3,2a,,,
tg04,cory cava,hl,+,,,
tg04,crat mono,tl3,2a,,,
tg04,desc cesp,hl,+,,,
tg04,dryo dila,hl,+,,,
tg04,equi hyem,hl,+,,,
tg04,euon euro,hl,+,,,
tg04,euon euro,sl1,1,,,
tg04,euon euro,sl2,2a,,,
tg04,fica vern vern,hl,+,,,
tg04,frax exce,hl,r,,,
tg04,frax exce,tl2,1,,,
tg04,gale mont,hl,2a,,,
tg04,gali apar,hl,1,,,
tg04,glec hede,hl,2a,,,
tg04,hede heli,hl,r,,,
tg04,humu lupu,hl,+,,,
tg04,impa glan,hl,2b,,,
tg04,impa noli,hl,+,,,
tg04,lami macu,hl,1,,,
tg04,ligu vulg,sl2,1,,,
tg04,loni xylo,hl,+,,,
tg04,loni xylo,sl2,2b,,,
tg04,meli nuta,hl,+,,,
tg04,oxal acet,hl,2a,,,
tg04,pari quad,hl,+,,,
tg04,phal arun,hl,+,,,
tg04,pice abie,tl1,2a,,,
tg04,pinu sylv,tl1,2b,,,
tg04,poa nemo,hl,r,,,
tg04,poa triv,hl,+,,,
tg04,poly mult,hl,r,,,
tg04,prun padu padu,sl1,3,,,
tg04,prun padu padu,sl2,2a,,,
tg04,prun padu padu,tl2,1,,,
tg04,prun padu padu,tl3,2a,,,
tg04,quer robu,hl,r,,,
tg04,rham cath,hl,r,,,
tg04,rham cath,sl2,r,,,
tg04,rubu caes,hl,2a,,,
