taxon,abbr,layer,jd01-2019,jd02-2019,jd03-2019,jd04-2019,jd05-2019
Carex elata,care elat,hl,4,,,,
Carex disticha,care dist,hl,2b,3,3,2a,1a
Carex vesicaria,care vesi,hl,1a,,,,
Poa palustris,poa palu,hl,+,,,,
Galium palustre,gali palu slat,hl,1b,,+,,+
Mentha aquatica,ment aqua,hl,2a,2b,,,
Iris pseudacorus,iris pseu,hl,1a,,,,
Equisetum fluviatile,equi fluv,hl,+,,,,
Phragmites communis,phra aust,hl,+,+,2a,,2a
Phalaris arundinacea,phal arun,hl,,,2a,+,
Filipendula ulmaria ssp. denudata & ssp. ulmaria,fili ulma,hl,1a,1b,+,1a,+
Lythrum salicaria,lyth sali,hl,,+,,,1a
Stachys palustris,stac palu,hl,,,+,,
Caltha palustris,calt palu,hl,1a,+,1a,+,
Myosotis palustris agg.,myos palu aggr,hl,+,1a,+,+,
Polygonum bistorta,pers bist,hl,+,,2a,+,+
Crepis paludosus,crep palu,hl,,,,,1b
Lychnis flos-cuculi,lych flos cucu,hl,+,1b,1a,2b,
Angelica sylvestris,ange sylv sylv,hl,,,,+,
Molinia coerulea,moli caer,hl,,,,,3
Succisa pratensis,succ prat,hl,,,,,3
Galium uliginosum,gali ulig,hl,,2b,,+,1a
Sanguisorba officinalis,sang offi,hl,,,+,+,1a
Dactylorhiza majalis,dact maja slat,hl,+,,,,+
Equisetum palustre,equi palu,hl,,,,,1a
Valeriana dioica,vale dioi dioi,hl,,,,,1a
Potentilla palustris,coma palu,hl,,1a,,,
Menyanthes trifoliata,meny trif,hl,,,,,1b
Epipactis palustris,epip palu,hl,,,,,2b
Salix repens,sali repe repe,hl,,,,,2b
Potentilla erecta,pote erec,hl,,,,,+
Briza media,briz medi,hl,,,,,1a
Festuca rubra agg.,fest rubr slat,hl,,,,,1b
Carex panicea,care pani,hl,,,,,1a
Galium album,gali albu,hl,,,+,+,
Poa trivialis,poa triv,hl,,1a,,,
Lathyrus pratense,lath prat prat,hl,1a,+,2a,2a,1b
Alopecurus pratensis,alop prat,hl,,1a,4,3,
Ranunculus acris,ranu acri acri,hl,+,+,+,,1a
Holcus lanatus,holc lana,hl,,,1a,2a,
Poa pratensis,poa prat,hl,,,2a,,1a
Cerastium holosteoides,cera holo,hl,+,,1a,,
Agrostis gigantea,agro giga,hl,,,2a,,
Rumex acetosa,rume acet osa,hl,,,+,+,
Festuca pratensis,fest prat prat,hl,,,,2b,
Trifolium pratense,trif prat prat,hl,,,,1a,
Achillea millefolium,achi mill aggr,hl,,,,+,
Symphytum officinale,symp offi,hl,1a,+,+,+,
Lysimachia vulgaris,lysi vulg,hl,2a,1b,,,2b
Carex acutiformis,care acut rmis,hl,,4,1a,,
Ranunculus auricomus agg.,ranu auri aggr,hl,,,1b,1a,+
Anthoxantum odoratum,anth odor,hl,,,,1b,+
Juncus effusus,junc effu,hl,+,,+,,
Carex brizoides,care briz,hl,+,,,,
Cirsium palustre,cirs palu,hl,,+,,,
Ranunculus flammula,ranu flam,hl,,+,,,
Taraxacum sect. ruderale,tara sect rude,hl,,,+,+,
Phleum pratense,phle prat,hl,,,2a,,
Ranunculus repens,ranu repe,hl,,,,4,
Plantago lanceolata,plan lanc,hl,,,,1b,
Deschampsia cespitosa,desc cesp,hl,,,,1a,
Equisetum arvense,equi arve,hl,,,,+,
Geranium cf. palustre,gera palu,hl,,,,+,
Lysimachia nummularium,lysi numm,hl,,,,+,
Rumex crispus,rume cris,hl,,,,+,
Alnus glutinosa,alnu glut,hl,,,,,1b
Veronica spec.,vero spec ies,hl,,,+,,
