plot,abbr,layer,cov,height,comment
1047151,agro stol,hl,+,0,
1047151,care hirt,hl,+,0,
1047151,cirs arve,hl,+,0,
1047151,cirs palu,hl,1a,0,
1047151,desc cesp,hl,1a,0,
1047151,epil cili cili,hl,1a,0,
1047151,epil palu,hl,+,0,
1047151,equi palu,hl,1a,50,
1047151,eupa cann,hl,1a,0,
1047151,holc lana,hl,+,0,
1047151,junc effu,hl,3,70,
1047151,lyco euro euro,hl,1a,30,
1047151,pers hydr,hl,1a,0,
1047151,phra aust,hl,2b,160,
1047151,rubu sect rubu,hl,1a,0,
1047151,sali alba,hl,1a,0,
1047151,sali cine plus auri,hl,+,0,
1047151,soli giga,hl,+,70,
1047151,tuss farf,hl,+,0,
1047151,urti dioi dioi,hl,+,0,
1047151,bryu pseu pseu,ml,1a,0,
1047151,bryu weig,ml,+,0,few individuals (r)
1047151,sali alba,sl,+,0,
1047151,sali cine,sl,1b,0,
1047152,alop aequ,hl,+,0,few individuals (r)
1047152,betu pend plus pube,hl,+,0,
1047152,bide cern,hl,+,0,
1047152,cype flav,hl,+,0,
1047152,desc cesp,hl,+,0,few individuals (r)
1047152,epil cili cili,hl,1a,0,
1047152,epil palu,hl,+,0,
1047152,leer oryz,hl,2b,50,
1047152,pers hydr,hl,2b,0,
1047152,phra aust,hl,4,120,
1047152,sali alba,hl,+,0,
1047152,sali purp,hl,+,0,
1047152,soli giga,hl,+,25,few individuals (r)
1047152,tuss farf,hl,1a,0,
1047152,typh lati,hl,+,0,few individuals (r)
1047152,bryu arge,ml,+,0,
1047152,bryu pseu pseu,ml,1a,0,
1047152,call cusp,ml,+,0,
1047152,marc poly slat,ml,+,0,
1047153,dros rotu,hl,+,0,
1047153,junc arti,hl,+,0,few individuals (r)
1047153,junc effu,hl,+,60,
1047153,junc tenu,hl,+,0,few individuals (r)
1047153,leer oryz,hl,+,10,few individuals (r)
1047153,phra aust,hl,1a,50,
1047153,sali alba,hl,+,0,
1047153,tara sect rude,hl,+,0,few individuals (r)
1047153,tuss farf,hl,1a,0,
1047153,verb thap,hl,+,0,
1047153,camp flex,ml,+,0,
1047153,poly form,ml,1a,0,
1047154,betu pend plus pube,hl,+,0,few individuals (r)
1047154,cala epig,hl,+,5,few individuals (r)
1047154,dros rotu,hl,+,0,few individuals (r)
1047154,leer oryz,hl,+,10,few individuals (r)
1047154,moli caer,hl,+,0,few individuals (r)
1047154,sali cine plus auri,hl,+,0,few individuals (r)
1047154,verb thap,hl,+,0,few individuals (r)
1047155,betu pend plus pube,hl,1b,0,
1047155,bide cern,hl,+,0,few individuals (r)
1047155,dros rotu,hl,1b,0,
1047155,eleo mami aust,hl,1a,25,
1047155,junc arti,hl,+,0,
1047155,phra aust,hl,3,130,
1047155,sali cine plus auri,hl,+,0,few individuals (r)
1047155,call cusp,ml,+,0,
1047155,poly form,ml,1a,0,
1047156,phra aust,hl,+,40,few individuals (r)
1047157,cala epig,hl,+,5,few individuals (r)
1047157,epil cili cili,hl,+,0,
1047157,junc tenu,hl,+,0,few individuals (r)
1047157,phra aust,hl,+,5,few individuals (r)
1047157,pinu sylv,hl,+,0,few individuals (r)
1047157,plan majo majo,hl,+,0,few individuals (r)
1047158,betu pend plus pube,hl,2a,0,
1047158,cala epig,hl,+,40,
1047158,cirs arve,hl,+,0,
1047158,epil cili cili,hl,+,0,
1047158,eupa cann,hl,+,0,few individuals (r)
1047158,junc arti,hl,+,0,
1047158,junc effu,hl,1b,60,
1047158,lyco euro euro,hl,+,5,few individuals (r)
1047158,pinu sylv,hl,+,0,few individuals (r)
1047158,sali cine plus auri,hl,+,0,few individuals (r)
1047158,sonc arve arve,hl,+,0,few individuals (r)
1047158,tuss farf,hl,+,0,
1047158,bryu arge,ml,+,0,
1047159,epil cili cili,hl,+,0,few individuals (r)
1047159,junc arti,hl,+,0,
1047159,junc effu,hl,1a,50,
1047159,phra aust,hl,1b,60,
1047159,sali myrs,hl,+,0,few individuals (r)
1047159,tuss farf,hl,+,0,
1047159,bryu arge,ml,+,0,few individuals (r)
1047160,cala epig,hl,+,20,few individuals (r)
1047160,phra aust,hl,+,15,few individuals (r)
1047160,sali myrs,hl,+,0,few individuals (r)
1047161,junc arti,hl,+,0,few individuals (r)
1047161,leer oryz,hl,+,20,few individuals (r)
1047161,phra aust,hl,1a,50,
1047161,tara sect rude,hl,+,0,few individuals (r)
1047162,bide cern,hl,+,0,
1047162,dros rotu,hl,+,0,few individuals (r)
1047162,epil cili cili,hl,+,0,few individuals (r)
1047162,junc arti,hl,+,0,few individuals (r)
1047162,leer oryz,hl,1b,20,
1047162,phra aust,hl,1a,40,
1047162,sali myrs,hl,+,0,few individuals (r)
1047162,tuss farf,hl,+,0,
1047163,cala epig,hl,+,25,
1047163,junc arti,hl,+,0,few individuals (r)
1047163,phra aust,hl,1b,50,
1047163,sali myrs,hl,+,0,few individuals (r)
1047164,betu pend plus pube,hl,+,0,few individuals (r)
1047164,phra aust,hl,+,20,
1047165,pinu sylv,hl,+,0,few individuals (r)
1047166,pinu sylv,hl,+,0,few individuals (r)
1048151,betu pend plus pube,hl,+,0,
1048151,cala epig,hl,+,70,
1048151,care pseu,hl,+,80,
1048151,cirs palu,hl,+,0,
1048151,desc cesp,hl,+,0,
1048151,epil cili cili,hl,1a,0,
1048151,epil parv,hl,+,0,
1048151,equi palu,hl,+,50,
1048151,impa parv,hl,+,0,
1048151,junc effu,hl,+,70,
1048151,junc tenu,hl,+,0,
1048151,leer oryz,hl,+,35,
1048151,lyco euro euro,hl,+,40,
1048151,pers hydr,hl,2b,0,
1048151,phle prat,hl,+,0,
1048151,phra aust,hl,4,160,
1048151,sali alba,hl,1a,0,
1048151,sali purp,hl,+,0,
1048151,tuss farf,hl,+,0,
1048151,bryu pseu pseu,ml,1a,0,
1048151,bryu weig,ml,+,0,
1048151,call cusp,ml,+,0,
1048151,marc poly slat,ml,+,0,
1048152,betu pend plus pube,hl,1a,0,
1048152,bide cern,hl,+,0,
1048152,cala epig,hl,+,70,
1048152,desc cesp,hl,+,0,
1048152,epil cili cili,hl,1a,0,
1048152,epil parv,hl,+,0,
1048152,equi palu,hl,+,50,
1048152,eupa cann,hl,1a,0,
1048152,junc effu,hl,2b,80,
1048152,leer oryz,hl,+,40,
1048152,lyco euro euro,hl,+,45,
1048152,pers hydr,hl,2b,0,
1048152,phle prat,hl,+,0,
1048152,phra aust,hl,4,120,
1048152,sagi proc,hl,+,0,
1048152,soli giga,hl,+,30,
1048152,tuss farf,hl,+,0,
1048152,typh lati,hl,+,0,few individuals (r)
1048152,bryu pseu pseu,ml,+,0,
1048152,call cusp,ml,+,0,
1048152,camp stel,ml,+,0,
1048153,cirs arve,hl,+,0,
1048153,epil cili cili,hl,+,0,few individuals (r)
1048153,verb thap,hl,+,0,few individuals (r)
1048154,betu pend plus pube,hl,+,0,few individuals (r)
1048154,cala epig,hl,+,5,few individuals (r)
1048154,cirs arve,hl,+,0,few individuals (r)
1048154,erig cana,hl,+,0,few individuals (r)
1048154,leer oryz,hl,+,10,few individuals (r)
1048154,soli giga,hl,+,5,few individuals (r)
1048155,betu pend plus pube,hl,+,0,
1048155,dros rotu,hl,+,0,
1048155,eleo mami aust,hl,1a,20,
1048155,junc arti,hl,+,0,few individuals (r)
1048155,phra aust,hl,3,150,
1048155,pinu sylv,hl,+,0,few individuals (r)
1048155,sali cine plus auri,hl,+,0,few individuals (r)
1048155,typh lati,hl,+,0,few individuals (r)
1048155,poly form,ml,+,0,
1048156,unde alga,ml,+,,plot bare of vegetation
1048157,junc arti,hl,+,0,few individuals (r)
1048157,junc effu,hl,+,30,few individuals (r)
1048157,pinu sylv,hl,+,0,few individuals (r)
1048158,betu pend plus pube,hl,+,0,
1048158,cala epig,hl,+,50,
1048158,epil cili cili,hl,+,0,few individuals (r)
1048158,eupa cann,hl,+,0,few individuals (r)
1048158,junc arti,hl,+,0,few individuals (r)
1048158,junc effu,hl,+,50,
1048158,lyco euro euro,hl,+,10,
1048158,phra aust,hl,1b,80,
1048158,sali alba,hl,+,0,few individuals (r)
1048158,tuss farf,hl,+,0,
1048158,bryu arge,ml,+,0,few individuals (r)
1048159,betu pend plus pube,hl,1a,0,
1048159,epil cili cili,hl,+,0,few individuals (r)
1048159,junc arti,hl,+,0,few individuals (r)
1048159,junc effu,hl,1a,45,
1048159,phra aust,hl,2b,60,
1048159,pinu sylv,hl,+,0,few individuals (r)
1048159,sali myrs,hl,+,0,few individuals (r)
1048159,tuss farf,hl,+,0,
1048160,cala epig,hl,+,15,few individuals (r)
1048160,junc effu,hl,+,35,few individuals (r)
1048160,sali myrs,hl,+,0,few individuals (r)
1048161,phra aust,hl,+,30,few individuals (r)
1048161,sali myrs,hl,+,0,few individuals (r)
1048162,bide cern,hl,+,0,few individuals (r)
1048162,junc arti,hl,+,0,few individuals (r)
1048162,leer oryz,hl,+,25,
1048162,phra aust,hl,1a,70,
1048162,soli giga,hl,+,5,few individuals (r)
1048163,betu pend plus pube,hl,1a,0,
1048163,cala epig,hl,+,10,few individuals (r)
1048163,junc arti,hl,+,0,few individuals (r)
1048163,junc effu,hl,+,10,few individuals (r)
1048163,phra aust,hl,+,50,
1048164,cala epig,hl,+,10,few individuals (r)
1048164,epil cili cili,hl,+,0,few individuals (r)
1048164,junc effu,hl,+,20,few individuals (r)
1048164,phra aust,hl,+,50,
1048164,soli giga,hl,+,20,few individuals (r)
1048165,pinu sylv,hl,+,0,few individuals (r)
