plot;variable;value
7;cov;5
7;tcov;0
7;scov;0
7;hcov;5
7;mcov;0
7;htl;0
7;hsl;0
7;hhl1;0,5
7;hhl2;0
7;expo;S
7;slope;70
7;plsx;1
7;plsy;5
7;date;1984-05-16
7;ibex;no
7;rupi;no
7;soil;shallow
7;rock.type;precipice
7;rock.soil.verbose;unbekannt
7;location;Niederösterreich, Kalenderberg, Tabelle 1, Karrer 1985, Aufnahme 7
7;longitude;16.268420E
7;latitude;48.082930N
8;cov;3
8;tcov;0
8;scov;0
8;hcov;3
8;mcov;0
8;htl;0
8;hsl;0
8;hhl1;0,5
8;hhl2;0
8;expo;S
8;slope;50
8;plsx;1
8;plsy;6
8;date;1984-05-16
8;ibex;no
8;rupi;no
8;soil;shallow
8;rock.type;precipice
8;rock.soil.verbose;unbekannt
8;location;Niederösterreich, Kalenderberg, Tabelle 1, Karrer 1985, Aufnahme 8
8;longitude;16.268420E
8;latitude;48.082930N
9;cov;60
9;tcov;0
9;scov;0
9;hcov;60
9;mcov;0
9;htl;0
9;hsl;0
9;hhl1;0,5
9;hhl2;0
9;expo;NE
9;slope;30
9;plsx;1
9;plsy;5
9;date;1984-05-16
9;ibex;no
9;rupi;no
9;soil;shallow
9;rock.type;precipice
9;rock.soil.verbose;unbekannt
9;location;Niederösterreich, Kalenderberg, Tabelle 1, Karrer 1985, Aufnahme 9
9;longitude;16.268420E
9;latitude;48.082930N
10;cov;3
10;tcov;0
10;scov;0
10;hcov;3
10;mcov;0
10;htl;0
10;hsl;0
10;hhl1;0,5
10;hhl2;0
10;expo;NE
10;slope;90
10;plsx;1
10;plsy;10
10;date;1984-05-16
10;ibex;no
10;rupi;no
10;soil;shallow
10;rock.type;precipice
10;rock.soil.verbose;unbekannt
10;location;Niederösterreich, Kalenderberg, Tabelle 1, Karrer 1985, Aufnahme 10
10;longitude;16.268420E
10;latitude;48.082930N
7;observer;G. Karrer
8;observer;G. Karrer
9;observer;G. Karrer
10;observer;G. Karrer
7;accuracy;500
8;accuracy;500
9;accuracy;500
10;accuracy;500
