"Aufnahme Nr.";;14;15;17;26;55;61;93;16;67;22;23;56;67;58;24;64
"Groesse qm x10";;10;9;10;40;40;40;40;10;3;40;40;40;40;40;40;9
"Exposition";;"W";"SW";"W";"SW";"W";"W";"NW";"W";"NW";"N";"S";"SW";"W";"W";"SW";"W"
"Neigung Grad";;40;20;10;30;30;20;50;40;20;30;20;30;50;30;20;10
"Baumschicht. Höhe m";;30;30;35;40;30;30;35;35;;30;40;30;40;30;35;40
"Baumschicht: Deckung %";;70;80;70;90;80;70;90;90;;80;90;90;95;90;90;90
"Strauchschicht: Deckung %";;5;;;;;;;;70;;;;20;;;
"Krautschicht: Deckung %";;20;40;70;70;80;90;70;50;70;80;20;80;70;70;50;60
"Fagus sylvatica";"tl";3;4;2;5;3;4;5;4;3;2;4;3;1;3;4;3
"Fagus sylvatica";"sl";;;"+";1;"+";;"+";;;;;;;;1;
"Fagus sylvatica";"hl";;;"+";1;"+";;"+";;;;;;;;1;
"Carex pilosa";"hl";3;3;4;4;2;3;4;"+";;;;;;;;
"Vinca minor";"hl";2;;;;"+";;;;;;;;;;;
"Galium odoratum";"hl";;"+";;;;;;;;"+";1;;;1;;
"Convallaria majalis";"hl";;;;;;"+";;;;;;;"+";2;;"+"
"Acer campestre";"hl";;"+";;;;;;;;;;"+";;;1;"+"
"Daphne mezereum";"hl";;;;;;;;;;;;;;"+";;"+"
"Acer pseudoplatanus";"tl";1;;1;;2;;"+";;;1;;;;;;1
"Acer pseudoplatanus";"sl";;"+";"+";;"+";"+";"+";3;;"+";;;;;"+";"+"
"Acer pseudoplatanus";"hl";;"+";"+";;"+";"+";"+";3;;"+";;;;;"+";"+"
"Fraxinus excelsior";"tl";;;1;;"+";1;;;;;;1;2;1;;
"Fraxinus excelsior";"sl";"+";1;;1;;2;1;"+";;;"+";;;"+";;
"Fraxinus excelsior";"hl";"+";1;;1;;2;1;"+";;;"+";;;"+";;
"Ulmus glabra";"tl";"+";;2;"+";;;;1;2;;;;1;1;;
"Ulmus glabra";"sl";;;"+";"+";;"+";"+";;;"+";;;;"+";;
"Ulmus glabra";"hl";;;"+";"+";;"+";"+";;;"+";;;;"+";;
"Anemone nemorosa";"hl";"+";"+";"+";1;;;"+";1;"+";4;1;;;"+";;1
"Carex sylvatica";"hl";;;1;;;;;"+";"+";;"+";"+";1;2;"+";2
"Aposeris foetida";"hl";;"+";"+";;;"+";;2;;;;"+";"+";"+";;2
"Hepatica nobilis";"hl";1;"+";;;1;"+";"+";"+";;;;;"+";;;
"Lamiastrum montanum";"hl";"+";;"+";;;"+";;;3;1;;;;1;;"+"
"Euphorbia amygdaloides";"hl";"+";;;;;"+";;"+";;;;"+";"+";"+";2;
"Phyteuma spicatum";"hl";;"+";"+";"+";;;"+";"+";;;;;;"+";;"+"
"Hedera helix";"hl";"+";;"+";1;;"+";1;"+";;;;;;"+";;
"Pulmonaria officinalis";"hl";"+";"+";;;;;;"+";1;;;;"+";"+";;
"Aegopodium podagraria";"hl";1;;;;1;"+";;;;;;2;"+";;;
"Ulium martagon";"hl";"+";;;"+";;;"+";"+";;;;;"+";"+";;
"Symphytum tuberosum";"hl";"+";;1;"+";;;;"+";;;;;;;;"+"
"Salvia glutinosa";"hl";"+";;;;1;"+";;;;;;;3;;;"+"
"Mercurialis perennis";"hl";;;;;2;"+";;;;;;2;"+";"+";;
"Athyrium filix femina";"hl";;;;"+";;;;"+";;"+";"+";;;;"+";
"Carpinus betulus";"hl";;;1;;;;;;;2;1;;;;;1
"Prunus avium";"hl";"+";"+";"+";;;;;;;1;;;;;;
"Galium sylvaticum";"hl";;;;;;"+";"+";"+";;;;;;;;"+"
"Paris quadrifolia";"hl";;;;;;"+";;;"+";;;"+";;"+";;
"Carex alba";"hl";1;;;;;;;;;;;"+";;;"+";
"Brachypodium sylvaticum";"hl";;;;;;;;1;;;;"+";;;;"+"
"Quercus robur";"hl";;"+";;;;;;;;;;;1;;;
"Lathyrus vernus";"hl";;;;;;;"+";"+";;;;;;;;
"Oxalis acetosella";"hl";;;;;;;"+";"+";;1;;;;;;
"Melittis melissophyllum";"hl";;;;;;;"+";;;;;;"+";;;
"Veronica urticaefolia";"hl";;;;;;;"+";"+";;;;;;;;
"Lonicera xylosteum";"hl";"+";;;;;;;;"+";;;;;;;
"Abies alba";"hl";;;"+";;;;;;;;;"i";;;;
"Viola riviniana";"hl";;;;;;;;"+";;;;;;;"+";
"Carex digitata";"hl";;;;;;;;"+";;;;;;;"+";
"Dryopteris filix mas";"hl";;;;;;;;;;"+";"+";;;;;
"Viola reichenbachiana";"hl";;;;;;;;;;"+";;;;;;"+"
"Calamagrostis varia";"hl";;;;;;;"+";;;;;;;;"+";
"Sanicula europaea";"hl";;;;;;;;;;;;"+";;;"+";
"Picea abies";"hl";1;1;;;1;"+";"+";1;;;;;;;;
"Allium ursinum";"hl";;;;"+";2;;;;;;;1;;;;
"Listera ovata";"hl";;;;;;"+";;;;;"+";"+";;;;
"Sambucus nigra";"hl";;;;;;;;;;"+";;;;;"+";
"Luzula luzuloides";"hl";;;;;;;;;;;;;;;"+";1
"Polytrichum formosum";"hl";;;;;;;;;"+";;;;;;"+";
"Crataegus monogyna";"hl";;;;;;;;;"+";;;1;;;;
"Polygonatum multiflorum";"hl";;;;;;;;;2;;;"+";;;;
"Asarum europaeum";"hl";;;;;;;"+";;;;;"+";;;;
"Campanula trachellum";"hl";;;;;;;"+";;;;;;;;;"+"
"Hieracium murorum";"hl";;;;;;;;;"+";;;;;;;"+"
