"plot";"abbr";"layer";"cov";"taxon"
"16";"arun dioi";"hl";"+";"Aruncus dioicus"
"16";"urti dioi dioi";"hl";"+";"Urtica dioica"
"17";"chry alte";"hl";"+";"Chrysosplenium alternifolium"
"17";"equi hyem";"hl";"+";"Equisetum hyemale"
"17";"stac sylv";"hl";"+";"Stachys sylvatica"
"22";"tara sect rude";"hl";"+";"Taraxacum officinale"
"22";"gali apar";"hl";"+";"Galium aparine"
"22";"hier muro";"hl";"+";"Hieracium murorum"
"22";"luzu pilo";"hl";"+";"Luzula pilosa"
"22";"moeh trin";"hl";"+";"Moehringia trinervia"
"23";"prun padu padu";"hl";"+";"Prunus padus"
"24";"pinu sylv";"hl";"+";"Pinus sylvestris"
"56";"arum macu";"hl";"+";"Arum maculatum"
"56";"equi telm";"hl";"+";"Equisetum maximum"
"57";"ceph dama";"hl";"+";"Cephalanthera damasonium"
"57";"corn sang slat";"hl";"+";"Comus sanguinea"
"58";"euon euro";"hl";"+";"Euonymus europaea"
"64";"clem vita";"hl";"+";"Clematis vitalba"
"64";"desc cesp";"hl";"+";"Deschampsia cespitosa"
"64";"poa nemo";"hl";"+";"Poa nemoralis"
"67";"acta spic";"hl";"+";"Actaea spicata"
"67";"pers bist";"hl";"+";"Polygonum bistorta"
"93";"lact mura";"hl";"+";"Mycelis muralis"
