"taxon";"matched.taxon"
"Fagus sylvatica";"Fagus sylvatica"
"Fagus sylvatica";"Fagus sylvatica"
"Fagus sylvatica";"Fagus sylvatica"
"Carex pilosa";"Carex pilosa"
"Vinca minor";"Vinca minor"
"Galium odoratum";"Galium odoratum"
"Convallaria majalis";"Convallaria majalis ssp. majalis"
"Acer campestre";"Acer campestre"
"Daphne mezereum";"Daphne mezereum"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Fraxinus excelsior";"Fraxinus excelsior"
"Fraxinus excelsior";"Fraxinus excelsior"
"Fraxinus excelsior";"Fraxinus excelsior"
"Ulmus glabra";"Ulmus glabra"
"Ulmus glabra";"Ulmus glabra"
"Ulmus glabra";"Ulmus glabra"
"Anemone nemorosa";"Anemone nemorosa"
"Carex sylvatica";"Carex sylvatica ssp. sylvatica"
"Aposeris foetida";"Aposeris foetida"
"Hepatica nobilis";"Hepatica nobilis"
"Lamiastrum montanum";"Galeobdolon montanum"
"Euphorbia amygdaloides";"Euphorbia amygdaloides ssp. amygdaloides"
"Phyteuma spicatum";"Phyteuma spicatum"
"Hedera helix";"Hedera helix"
"Pulmonaria officinalis";"Pulmonaria officinalis s.str."
"Aegopodium podagraria";"Aegopodium podagraria"
"Llium martagon";"Lilium martagon"
"Symphytum tuberosum";"Symphytum tuberosum s.lat."
"Salvia glutinosa";"Salvia glutinosa"
"Mercurialis perennis";"Mercurialis perennis s.str."
"Athyrium filix femina";"Athyrium filix-femina"
"Carpinus betulus";"Carpinus betulus"
"Prunus avium";"Prunus avium s.lat."
"Galium sylvaticum";"Galium sylvaticum s.str."
"Paris quadrifolia";"Paris quadrifolia"
"Carex alba";"Carex alba"
"Brachypodium sylvaticum";"Brachypodium sylvaticum"
"Quercus robur";"Quercus robur"
"Lathyrus vernus";"Lathyrus vernus"
"Oxalis acetosella";"Oxalis acetosella"
"Melittis melissophyllum";"Melittis melissophyllum"
"Veronica urticifolia";"Veronica urticifolia"
"Lonicera xylosteum";"Lonicera xylosteum"
"Abies alba";"Abies alba"
"Viola riviniana";"Viola riviniana"
"Carex digitata";"Carex digitata"
"Dryopteris filix mas";"Dryopteris filix-mas s.str."
"Viola reichenbachiana";"Viola reichenbachiana"
"Calamagrostis varia";"Calamagrostis varia"
"Sanicula europaea";"Sanicula europaea"
"Picea abies";"Picea abies"
"Allium ursinum";"Allium ursinum ssp. ursinum"
"Listera ovata";"Listera ovata"
"Sambucus nigra";"Sambucus nigra"
"Luzula luzuloides";"Luzula luzuloides"
"Polytrichum formosum";"Polytrichum formosum"
"Crataegus monogyna";"Crataegus monogyna"
"Polygonatum multiflorum";"Polygonatum multiflorum"
"Asarum europaeum";"Asarum europaeum"
"Campanula trachelium";"Campanula trachelium"
"Hieracium murorum";"Hieracium murorum"
