"taxon";"matched.taxon"
"Anemone nemorosa";"Anemone nemorosa"
"Campanula trachelium";"Campanula trachelium"
"Eupatorium cannabinum";"Eupatorium cannabinum"
"Festuca gigantea";"Festuca gigantea"
"Paris quadrifolia";"Paris quadrifolia"
"Angelica sylvestris";"Angelica sylvestris ssp. sylvestris"
"Brachypodium sylvaticum";"Brachypodium sylvaticum"
"Pulmonaria officinalis";"Pulmonaria officinalis s.str."
"Calamagrostis epigeios";"Calamagrostis epigejos"
"Crataegus monogyna";"Crataegus monogyna"
"Pimpinella major";"Pimpinella major var. major"
"Poa nemoralis";"Poa nemoralis"
"Polytrichum formosum";"Polytrichum formosum"
"Epipactis atrorubens";"Epipactis atrorubens"
"Rhamnus cathartica";"Rhamnus cathartica"
"Rubus fruticosus";"Rubus Sect. Rubus"
"Salix caprea";"Salix caprea"
"Luzula luzuloides";"Luzula luzuloides"
"Melampyrum pratense";"Melampyrum pratense"
