"abbr";"layer";"comment";"lb01b";"lb01a";"lb05d";"lb05c";"lb05a";"lb05b";"lb03a";"lb02a";"lb04a"
"quer robu";"tl1";"Quercus robur";4;3;".";".";".";".";".";".";"."
"carp betu";"tl1";"Carpinus betulus";".";1;".";".";".";".";".";".";"."
"frax exce";"tl1";"Fraxinus excelsior";2;1;3;".";".";".";".";".";"."
"pice abie";"tl1";"Picea abies";".";".";1;".";".";".";".";".";"."
"acer pseu";"tl1";"Acer pseudoplatanus";".";".";3;".";".";".";".";".";"."
"sorb aria";"tl2";"Sorbus aria";2;".";".";".";".";".";".";".";"."
"quer robu";"tl2";"Quercus robur";1;1;".";".";".";".";".";".";"."
"pice abie";"tl2";"Picea abies";".";".";1;".";".";".";".";".";"."
"cory avel";"tl2";"Corylus avellana";1;".";1;2;".";".";".";".";"."
"prun padu padu";"tl2";"Prunus padus";".";".";".";1;".";".";".";".";"."
"acer pseu";"tl2";"Acer pseudoplatanus";1;".";1;3;4;1;".";".";"."
"prun aviu slat";"tl2";"Prunus avium";1;".";".";".";".";2;".";".";"."
"frax exce";"tl2";"Fraxinus excelsior";".";".";1;3;3;3;".";".";"."
"carp betu";"tl2";"Carpinus betulus";1;4;".";".";".";2;".";".";3
"fagu sylv";"tl2";"Fagus sylvatica";".";".";".";".";".";1;".";".";1
"sali alba";"tl2";"Salix alba";".";".";".";".";".";".";".";".";"+"
"sali elea elea";"tl2";"Salix eleagnos";".";".";".";".";".";".";".";".";"+"
"sali capr";"tl2";"Salix caprea";".";".";".";".";".";".";".";".";1
"lari deci deci";"tl2";"Larix decidua";".";".";".";".";".";".";".";".";2
"euon euro";"sl";"Euonimus europaea";"+";".";".";".";".";".";".";".";"."
"samb nigr";"sl";"Sambucus nigra";"+";".";".";".";".";".";".";".";"."
"crat mono";"sl";"Crataegus monogyna";1;".";".";".";".";".";".";".";"."
"ligu vulg";"sl";"Ligustrum vulgare";1;".";".";".";".";".";".";".";"."
"corn mas";"sl";"Cornus mas";2;".";".";".";".";".";".";".";"."
"sorb aria";"sl";"Sorbus aria";2;".";".";".";".";".";".";".";"."
"pice abie";"sl";"Picea abies";"+";".";2;2;".";".";".";".";"."
