"";"x"
"1";"Abies alba"
"2";"Acer pseudoplatanus"
"3";"Achillea millefolium agg."
"4";"Aconitum lycoctonum ssp. vulparia"
"5";"Adenostyles alpina"
"6";"Agrostis capillaris"
"7";"Agrostis gigantea"
"8";"Agrostis stolonifera s.str."
"9";"Ajuga reptans"
"10";"Alchemilla exigua"
"11";"Alchemilla glaucescens"
"12";"Alchemilla monticola"
"13";"Alchemilla pallens"
"14";"Alchemilla sp."
"15";"Amelanchier ovalis"
"16";"Angelica sylvestris ssp. sylvestris"
"17";"Antennaria dioica"
"18";"Anthoxanthum alpinum"
"19";"Anthoxanthum odoratum s.str."
"20";"Anthyllis vulneraria ssp. alpicola"
"21";"Aposeris foetida"
"22";"Aquilegia atrata"
"23";"Arabis ciliata"
"24";"Arenaria serpyllifolia s.str."
"25";"Asplenium ruta-muraria"
"26";"Asplenium viride"
"27";"Athamanta cretensis"
"28";"Athyrium filix-femina"
"29";"Bellidiastrum michelii"
"30";"Betula pendula"
"31";"Biscutella laevigata ssp. laevigata"
"32";"Blechnum spicant"
"33";"Brachypodium rupestre"
"34";"Brachypodium sylvaticum"
"35";"Briza media"
"36";"Buphthalmum salicifolium"
"37";"Calamagrostis varia"
"38";"Calamagrostis villosa"
"39";"Calluna vulgaris"
"40";"Campanula barbata ssp. barbata"
"41";"Campanula cochleariifolia"
"42";"Campanula rotundifolia s.str."
"43";"Campanula scheuchzeri"
"44";"Carduus defloratus ssp. viridis"
"45";"Cardamine enneaphyllos"
"46";"Carex alba"
"47";"Carex brachystachys"
"48";"Carex caryophyllea"
"49";"Carex digitata"
"50";"Carex ericetorum"
"51";"Carex ferruginea s.str."
"52";"Carex firma"
"53";"Carex flacca ssp. flacca"
"54";"Carex mucronata"
"55";"Carex ornithopoda ssp. elongata"
"56";"Carex ornithopoda ssp. ornithopoda"
"57";"Carex pallescens"
"58";"Carex panicea"
"59";"Carex pilulifera ssp. pilulifera"
"60";"Carex pulicaris"
"61";"Carex sempervirens ssp. sempervirens"
"62";"Carex sylvatica ssp. sylvatica"
"63";"Carlina acaulis ssp. acaulis"
"64";"Carlina vulgaris ssp. vulgaris"
"65";"Carum carvi"
"66";"Centaurea jacea ssp. jacea"
"67";"Centaurea scabiosa ssp. scabiosa"
"68";"Cephalanthera rubra"
"69";"Cerastium holosteoides"
"70";"Chaerophyllum hirsutum s.str."
"71";"Chaerophyllum villarsii"
"72";"Chlorocrepis staticifolia"
"73";"Cirsium palustre"
"74";"Clinopodium alpinum ssp. alpinum"
"75";"Coeloglossum viride"
"76";"Convallaria majalis ssp. majalis"
"77";"Coronilla vaginalis"
"78";"Cotoneaster tomentosus"
"79";"Crepis alpestris"
"80";"Crepis aurea ssp. aurea"
"81";"Crepis paludosa"
"82";"Cuscuta epithymum ssp. epithymum"
"83";"Cyanus montanus ssp. montanus"
"84";"Cynosurus cristatus"
"85";"Dactylis glomerata ssp. glomerata"
"86";"Danthonia decumbens ssp. decumbens"
"87";"Daphne mezereum"
"88";"Deschampsia cespitosa"
"89";"Dryas octopetala"
"90";"Dryopteris carthusiana s.str."
"91";"Dryopteris dilatata"
"92";"Dryopteris filix-mas s.str."
"93";"Epilobium alpestre"
"94";"Epipactis atrorubens"
"95";"Epipactis palustris"
"96";"Equisetum arvense"
"97";"Erica carnea"
"98";"Euphorbia cyparissias"
