Nr. d. Aufnahme;83;84;85;86;88;90
Höhe in 10 m;80;80;90;92;95;125
Neigung in Grad;40;35;35;40;40;30
Exposition;W;SW;SW;W;SW;S
Aufnahmefläche in qm;200;200;150;150;200;l50
Artenzahl;40;37;35;30;29;34
Bodenbedeckung in %;40;40;60;60;60;50
;;;;;;
Origanum vulgare;+;.;+;+;.;+
Anthericum ramosum;+;.;1;1;1;+
Laserpitium latifolium;+;+;+;1;+;+
Buphthalmum salicifolium;+;+;1;1;1;+
Rhinanthus aristatus ssp. aristatus;1;+;1;1;+;+
Calamintha clinopodium;+;+;+;+;+;.
Laserpitium siler;+;.;1;2;2;.
Galium mollugo;1;+;.;.;+;+
Galeopsis speciosa;1;+;1;+;+;1
Campanula trachelium;r;+;+;+;r;.
Sedum albuma;1;+;.;r;.;+
Teucrium montanum;+;.;+;.;+;.
Cynanchum vincetoxicum;+;1;+;1;1;+
Arabis alpina;.;r;.;.;.;.
Silene vulgaris ssp. glareosa;1;1;+;+;+;1
Gypsophila repens;+;r;1;.;+;+
Rumex scutatus;r;.;.;+;.;r
Hieracium staticifolium;.;.;1;.;.;2
Calamagrostis varia;1;1;1;1;+;+
Scabiosa lucida;+;+;1;1;.;+
Anthyllis vulneraria;+;+;+;+;+;.
Agrostis stolonifera;+;+;1;1;.;+
Carduus defloratus;+;+;.;+;+;+
Calamintha alpina;1;+;1;2;2;2
Thymus polytrichus;1;+;.;2;+;2
Geranium robertianum;+;+;+;.;.;+
Campanula scheuchzeri;+;+;+;.;.;+
Pimpinella major;.;+;+;+;+;.
Betonica alopecuros;+;.;r;1;.;+
Dactylis glomerata;+;.;+;r;.;+
Hieracium bifidum;r;+;.;.;r;+
Agropyron caninum;+;+;.;.;.;1
Medicago lupulina;.;r;.;.;+;+
Thesium alpinum;r;.;+;.;.;r
IIeracleura austriacum;r;+;.;r;.;.
Aquilegia atrata;.;.;+;1;1;.
Ranunculus nemorosus;+;+;+;.;.;.
Leontodon hispidus;.;.;r;.;+;.
Luzula campestris;+;.;+;.;.;.
Trifolium pratense;.;r;.;.;.;r
Centanrea scabiosa;.;.;r;+;.;.
Angelica sylvestris;r;r;.;.;.;.
Rumex arifolius;.;r;r;.;.;.
Prunella grandiflora;+;+;.;.;.;.
Poa alpina;+;+;.;.;.;.
Carel ferruginea;.;+;.;r;.;.
Lotus corniculatus;.;.;1;+;.;.
Hieracium villosum;.;.;.;.;+;+
