plot,abbr,layer,cover,voucher,comment,history
mhbu01,acer pseu,hl,r,,,
mhbu01,achi mill aggr,hl,+,,,
mhbu01,aego poda,hl,1,,,
mhbu01,agro capi,hl,2a,,,
mhbu01,alch spec ies,hl,+,,,
mhbu01,anth odor,hl,+,,,
mhbu01,arab hall,hl,2m,x,,
mhbu01,arrh elat,hl,3,,,
mhbu01,care pall,hl,r,,,
mhbu01,cent pseu,hl,2a,,,
mhbu01,clin vulg vulg,hl,+,,,
mhbu01,dact glom glom,hl,2a,,,
mhbu01,fest nigr cens,hl,2b,,,
mhbu01,fest prat prat,hl,1,,,
mhbu01,gali albu,hl,2a,,,
mhbu01,holc lana,hl,1,,,
mhbu01,homa pube pube,hl,2b,,,
mhbu01,hype macu,hl,1,,,
mhbu01,knau arve arve,hl,+,,,
mhbu01,lath prat prat,hl,+,,,
mhbu01,leuc ircu,hl,+,,,
mhbu01,phle prat,hl,+,,,
mhbu01,pimp majo majo,hl,+,,,
mhbu01,plan lanc,hl,+,,,
mhbu01,poa prat,hl,+,,,
mhbu01,poa triv,hl,+,,,
mhbu01,ranu acri acri,hl,+,,,
mhbu01,rume acet osa,hl,+,,,
mhbu01,stel gram,hl,2m,,,
mhbu01,trif medi medi,hl,1,,,
mhbu01,trif prat prat,hl,r,,,
mhbu01,trif repe repe,hl,+,,,
mhbu01,tris flav flav,hl,+,,,
mhbu01,vero cham cham,hl,1,,,
mhbu01,vici crac,hl,+,,,
mhbu01,vici sepi,hl,+,,,
mhbu02,acer pseu,hl,r,,,
mhbu02,achi mill aggr,hl,1,,,
mhbu02,aego poda,hl,2a,,,
mhbu02,agro capi,hl,3,,,
mhbu02,alch spec ies,hl,r,x,,
mhbu02,anth odor,hl,+,,,
mhbu02,arab hall,hl,2m,,,
mhbu02,arrh elat,hl,3,,,
mhbu02,camp rotu,hl,+,x,,
mhbu02,cent pseu,hl,2a,,,
mhbu02,chae aure,hl,+,,,
mhbu02,dact glom glom,hl,2a,,,
mhbu02,fest nigr cens,hl,2b,,,
mhbu02,fest prat prat,hl,1,,,
mhbu02,gali albu,hl,1,,,
mhbu02,holc lana,hl,1,,,
mhbu02,homa pube pube,hl,2a,,,
mhbu02,hype macu,hl,1,,,
mhbu02,knau arve arve,hl,+,,,
mhbu02,lath prat prat,hl,+,,,
mhbu02,leuc ircu,hl,+,,,
mhbu02,phle prat,hl,+,,,
mhbu02,pimp majo majo,hl,+,,,
mhbu02,plan lanc,hl,+,,,
mhbu02,poa prat,hl,1,,,
mhbu02,ranu acri acri,hl,+,,,
mhbu02,rume acet osa,hl,+,,,
mhbu02,stel gram,hl,1,,,
mhbu02,trif medi medi,hl,+,,,
mhbu02,trif prat prat,hl,+,,,
mhbu02,trif repe repe,hl,+,,,
mhbu02,vero cham cham,hl,2a,,,
mhbu02,vici crac,hl,1,,,
mhbu02,vici sepi,hl,1,,,
mhbu02,viol tric tric,hl,r,x,,
mhbu03,achi mill aggr,hl,+,,,
mhbu03,agro capi,hl,+,,,
mhbu03,ajug rept,hl,r,,,
mhbu03,anth odor,hl,1,,,
