plot,abbr,layer,cov,voucher,comment,history
mm01,care pani pani,hl,2b,,,
mm01,cirs arve,hl,1,,,
mm01,cirs oler,hl,2b,,,
mm01,elyt repe,hl,+,,,
mm01,fest rubr slat,hl,+,,,
mm01,fili ulma,hl,2a,,,
mm01,gali albu,hl,2a,,,
mm01,geum riva,hl,+,,,
mm01,lath prat prat,hl,+,,,
mm01,lysi vulg,hl,2a,,,
mm01,lyth sali,hl,+,,,
mm01,phal arun,hl,3,,,
mm01,scir sylv,hl,2a,,,
mm01,scro nodo,hl,+,,,
mm01,vale offi offi,hl,1,,,
mm01,vici crac,hl,+,,,
mm02,care acut rmis,hl,4,,,
mm02,care pani pani,hl,2a,,,
mm02,cirs arve,hl,1,,,
mm02,desc cesp,hl,r,,,
mm02,fili ulma,hl,1,,,
mm02,gali albu,hl,1,,,
mm02,lysi vulg,hl,2b,,,
mm02,lyth sali,hl,2a,,,
mm02,phal arun,hl,3,,,
mm02,scir sylv,hl,2a,,,
mm03,calt palu,hl,+,,,
mm03,cirs arve,hl,+,,,
mm03,cirs oler,hl,2a,,,
mm03,fili ulma,hl,1,,,
mm03,gale tetr,hl,1,,,
mm03,gali albu,hl,+,,,
mm03,junc effu,hl,r,,,
mm03,lysi vulg,hl,1,,,
mm03,lyth sali,hl,1,,,
mm03,ment long,hl,+,,,
mm03,phal arun,hl,5,,,
mm03,urti dioi dioi,hl,+,,,
mm03,vale offi offi,hl,+,,,
mm03,vici crac,hl,+,,,
mm04,ange sylv sylv,hl,r,,,
mm04,calt palu,hl,1,,,
mm04,care hirt,hl,+,,,
mm04,care pani pani,hl,3,,,
mm04,cirs arve,hl,2a,,,
mm04,cirs oler,hl,r,,,
mm04,gali albu,hl,2a,2020-0000,,
mm04,geum riva,hl,r,,,
mm04,lysi vulg,hl,2b,,,
mm04,lyth sali,hl,2a,,,
mm04,phal arun,hl,4,,,
mm04,phle prat,hl,r,,,
mm04,scir sylv,hl,+,,,
mm04,vale offi offi,hl,1,,,
mm04,vici crac,hl,1,,,
mm05,ange sylv sylv,hl,1,,,
mm05,care flav aggr,hl,1,,,
mm05,care pall,hl,1,,,
mm05,care pani,hl,2a,,,
mm05,desc cesp,hl,+,,,
mm05,fili ulma,hl,1,,,
mm05,gali ulig,hl,+,,,
mm05,geum riva,hl,+,,,
mm05,lych flos cucu,hl,+,,,
mm05,moli caer,hl,3,,,
mm05,myos palu aggr,hl,+,,,
mm05,pote erec,hl,2m,2020-0000,,
mm05,ranu acri acri,hl,+,,,
mm05,ranu auri aggr,hl,1,,,
mm05,trol euro,hl,+,,,
mm05,vale dioi dioi,hl,1,cf.,,
mm06,achi mill aggr,hl,1,2020-0000,,
mm06,ajug rept,hl,+,,,
mm06,alch spec ies,hl,+,,,
mm06,alop prat,hl,+,,,
mm06,bell pere,hl,+,,,
mm06,caru carv,hl,+,,,
mm06,cera holo,hl,+,,,
mm06,dact glom glom,hl,1,,,
mm06,desc cesp,hl,+,,,
mm06,fest prat prat,hl,1,,,
mm06,loli mult,hl,2b,,,
mm06,pimp majo majo,hl,+,,,
mm06,poa triv,hl,2a,,,
mm06,ranu acri acri,hl,1,,,
mm06,ranu repe,hl,+,,,
mm06,rume acet osa,hl,+,,,
mm06,tara sect rude,hl,1,,,
mm06,trif prat prat,hl,2a,,,
mm06,trif repe repe,hl,+,,,
mm06,tris flav flav,hl,3,,,
mm06,vero arve,hl,r,,,
mm06,vero serp humi,hl,+,,,
mm07,achi mill aggr,hl,1,,,
mm07,ajug rept,hl,+,,,
mm07,alch spec ies,hl,+,,,
mm07,alop prat,hl,+,,,
mm07,arab hall,hl,+,,,
mm07,bell pere,hl,1,,,
