plot;abbr;layer;cov;comment;voucher;history
ms01;aesc hipp;hl;r;;;
ms01;anem nemo;hl;+;;;
ms01;camp pers;hl;+;;;
ms01;care digi;hl;2b;;;
ms01;care orni orni;hl;+;;;
ms01;corn sang slat;hl;+;;;
ms01;euph cypa;hl;+;cf.;;
ms01;euph dulc dulc;hl;+;;;
ms01;fagu sylv;hl;1;;;
ms01;fest amet amet;hl;2b;;;
ms01;frax exce;hl;+;;;
ms01;gali sylv;hl;1;;;
ms01;hepa nobi;hl;+;;;
ms01;hier muro;hl;1;;;
ms01;koel pyra pyra;hl;r;;;
ms01;ligu vulg;hl;r;;;
ms01;loni xylo;hl;+;;;
ms01;luzu luzu ides;hl;1;;;
ms01;mela prat;hl;+;;;
ms01;moli caer;hl;+;M. caerulea;;
ms01;poa angu;hl;+;;;
ms01;poly vulg;hl;+;;;
ms01;quer robu;hl;+;;;
ms01;rham cath;hl;r;;;
ms01;sesl caer;hl;2b;;;
ms01;sile nuta nuta;hl;+;;;
ms01;soli virg virg;hl;1;;;
ms01;sorb aria;hl;1;;;
ms01;sorb aucu aucu;hl;1;;;
ms01;vacc myrt;hl;3;;;
ms01;vinc hiru;hl;r;;;
ms01;corn sang slat;sl;+;;;
ms01;fagu sylv;sl;2b;;;
ms01;loni xylo;sl;+;;;
ms01;sorb aria;sl;2b;;;
ms01;sorb aucu aucu;sl;+;;;
ms01;fagu sylv;tl1;2b;;;
ms01;pinu sylv;tl1;2b;;;
ms01;betu pend;tl2;1;;;
ms01;fagu sylv;tl2;4;;;
ms02;arab hirs;hl;+;;;
ms02;aspl tric slat;hl;r;2014-0117;;
ms02;astr glyc;hl;+;;;
ms02;berb vulg;hl;+;;;
ms02;camp pers;hl;2m;;;
ms02;camp rapu rapu;hl;+;;;
ms02;camp rotu;hl;r;;;
ms02;camp trac;hl;+;;;
ms02;care poly;hl;2a;;;
ms02;cory avel;hl;+;;;
ms02;coto diva;hl;+;;;
ms02;crat mono;hl;+;;;
ms02;dact glom glom;hl;+;2014-0114;;
ms02;euon euro;hl;+;;;
ms02;euph cypa;hl;+;;;
ms02;fagu sylv;hl;+;;;
ms02;fest rubr junc;hl;+;2014-0115;;
ms02;frax exce;hl;1;R. hirtus;;
ms02;gale mont;hl;+;;;
ms02;gera robe;hl;+;;;
ms02;hede heli;hl;2a;;;
ms02;hier muro;hl;1;;;
ms02;hylo maxi;hl;1;;;
ms02;hype perf;hl;+;;;
ms02;inul cony;hl;1;;;
ms02;lact mura;hl;r;;;
ms02;ligu vulg;hl;1;;;
ms02;medi lupu;hl;+;;;
ms02;meli albu;hl;+;;;
ms02;myos arve arve;hl;+;;;
ms02;orig vulg;hl;1;;;
ms02;poa angu;hl;2a;2014-0118;;
ms02;poa comp;hl;+;;;
ms02;poa nemo;hl;3;;;
ms02;rham cath;hl;+;;;
ms02;rosa cani;hl;+;;;
ms02;sedu albu;hl;+;;;
ms02;sesl caer;hl;r;;;
ms02;sile nuta nuta;hl;2b;;;
ms02;tili plat;hl;+;;;
ms02;ulmu glab;hl;+;;;
ms02;vici tetr;hl;+;;;
ms02;vinc hiru;hl;1;;;
ms02;corn sang slat;sl;2b;;;
ms02;cory avel;sl;2a;;;
ms02;crat mono;sl;2a;;;
ms02;euon euro;sl;+;;;
ms02;fagu sylv;sl;2a;;;
ms02;frax exce;sl;+;;;
ms02;hede heli;sl;+;;;
ms02;ligu vulg;sl;1;;;
ms02;prun spin;sl;+;;;
ms02;rham cath;sl;1;;;
ms02;rosa cani;sl;1;;;
ms02;tili cord;sl;2b;;;
ms02;tili plat;sl;+;;;
ms02;ulmu glab;sl;1;;;
ms02;frax exce;tl1;1;;;
ms02;quer robu;tl1;3;;;
ms02;tili cord;tl1;2a;;;
ms02;frax exce;tl2;2a;;;
ms02;hede heli;tl2;+;;;
ms02;tili cord;tl2;3;;;
ms02;ulmu glab;tl2;2a;;;
ms03;arab hirs;hl;+;;;
ms03;aren serp;hl;+;;;
ms03;aspl ruta;hl;+;;;
ms03;aspl tric slat;hl;+;;;
ms03;berb vulg;hl;+;;;
ms03;camp pers;hl;2b;;;
ms03;camp rapu rapu;hl;+;;;
ms03;camp trac;hl;+;;;
ms03;care poly;hl;1;;;
ms03;conv arve;hl;+;;;
ms03;cory avel;hl;+;;;
ms03;coto diva;hl;+;;;
ms03;crat mono;hl;+;;;
ms03;euon euro;hl;1;;;
ms03;euph cypa;hl;1;;;
ms03;fest rubr junc;hl;2a;;;
ms03;frag vesc;hl;+;;;
ms03;frax exce;hl;+;;;
ms03;gera robe;hl;+;;;
ms03;hede heli;hl;+;;;
ms03;hier muro;hl;1;;;
ms03;hylo maxi;hl;1;;;
ms03;hype perf;hl;+;;;
ms03;inul cony;hl;+;;;
ms03;koel pyra pyra;hl;r;;;
ms03;ligu vulg;hl;2b;;;
ms03;orig vulg;hl;1;;;
ms03;poa angu;hl;2a;;;
ms03;poa comp;hl;+;;;
ms03;poa nemo;hl;2a;;;
ms03;pote rect;hl;+;;;
ms03;prun aviu slat;hl;+;;;
ms03;prun spin;hl;+;;;
ms03;quer robu;hl;+;;;
ms03;rham cath;hl;1;;;
ms03;rosa cani;hl;1;;;
ms03;rosa cory;hl;+;;;
ms03;sesl caer;hl;2a;;;
ms03;sile nuta nuta;hl;2a;;;
ms03;sorb aucu aucu;hl;+;;;
ms03;tili cord;hl;+;;;
ms03;tili plat;hl;+;;;
ms03;turr glab;hl;+;;;
ms03;vinc hiru;hl;2a;;;
ms03;berb vulg;sl;2b;;;
