plot;table.order;association;variant;pls;;expo;slope;cov;hcov;mcov;hhl1;hhl2;morpholgy;date;elevation;location;longitude;latitude;accuracy;observer
1;1;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;6;660;NWW;15;95;95;;50;;MH ;2007-05-13;660m;350m NW Hotel Kobenzl;13.095556;47.801111;50;U. Medicus
3;2;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;6;680;NW;10;85;85;;60;;MH ;2007-05-16;680m;140m NW Steinwänder;13.101111;47.792778;50;U. Medicus
76;3;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;12;600;O;15;97;97;;40;;MH ;2007-07-30;600m;540m OSO Stürkengut;13.123056;47.726944;50;U. Medicus
14;4;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;4;960;SSW;10;95;95;;70;;MH ;2007-06-10;960m;240m S Hotel Zistelalm;13.115556;47.793889;50;U. Medicus
16;5;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;10;815;O;10;90;90;10;40;;MH ;2007-06-11;815m;Oberwinkel 470m NO Gasthof Mitteregg;13.122778;47.790833;50;U. Medicus
22;6;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;15;640;SW;10;95;95;;60;;MH ;2007-06-20;690m;300m W Gasthof Gersbergalm;13.096944;47.811389;50;U. Medicus
72;7;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;11;540;O;15;97;97;;;60;MH ;2007-07-26;540m;490m SSO der Ortschaft Reichen;13.119167;47.710278;50;U. Medicus
73;8;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;9;540;SO;10;97;97;;50;;MH ;2007-07-26;540m;180m SSW der Abzweigung der Wiesttalstraße zur Seefeldmühle;13.123889;47.714167;50;U. Medicus
75;9;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;12;610;SO;15;97;97;;40;;MH ;2007-07-30;610m;550m OSO Stürkengut;13.122778;47.728333;50;U. Medicus
77;10;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;16;600;NO;15;97;97;;40;;MH ;2007-07-30;600m;520m SO Stürkengut;13.123611;47.726111;50;U. Medicus
78;11;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;16;550;O;5;97;97;;30;;MH ;2007-07-30;550m;350m S Stürkengut;13.129444;47.726111;50;U. Medicus
80;12;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;10;710;S;10;95;95;;50;;MH ;2007-07-31;710m;140m S Hofgut;13.154722;47.725556;50;U. Medicus
81;13;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;8;660;W;10;97;97;;50;;MH ;2007-07-31;660m;520 m SSW Hofgut;13.152500;47.722222;50;U. Medicus
84;14;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;12,5;570;W;5;97;97;;40;;MH ;2007-07-31;570m;200m S der Ortschaft Renger-Lehnau;13.146667;47.710278;50;U. Medicus
85;15;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;12;580;SO;5;95;95;;40;;MH ;2007-08-01;580m;80m NO Gasthof Bischof an der Wiestalstraße unterhalb der Starkstromleitung;13.128611;47.720278;50;U. Medicus
88;16;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;12;820;;;97;97;;50;;EB ;2007-08-01;820m;100m NO Weberbauer;13.185278;47.646667;50;U. Medicus
71;17;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;12;490;S;20;95;95;;40;60;MH ;2007-07-26;490m;150m NNO der Brücke über die Oberalm bei der Ortschaft Hammer;13.113333;47.702778;50;U. Medicus
74;18;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;15;570;W;20;95;95;3;30;;MH ;2007-07-26;570m;100m SSW vom Gh Bischof an der Wiestalstraße;13.126389;47.718611;50;U. Medicus
5;19;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;6;750;W;15;80;80;;50;;MH ;2007-05-23;750m;400m ONO Hofstetter;13.106944;47.786389;50;U. Medicus
69;20;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;10;640;SW;10;95;95;;;80;MH ;2007-07-25;640m;350m SSO Kobleiten;13.111111;47.720278;50;U. Medicus
82;21;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;21;660;W;10;90;90;;30;50;MH ;2007-07-31;660m;550m SSW Hofgut;13.152222;47.721944;50;U. Medicus
2;22;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;4;720;W;10;90;90;;50;;MH ;2007-05-14;720m;320m ONO Hofstetter;13.105556;47.786944;50;U. Medicus
9;23;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;9;720;SW;15;80;80;;60;;MH ;2007-06-01;720m;180m SSW Hotel Kobenzl oberhalb vom unteren Wiesenweg;13.100833;47.798056;50;U. Medicus
19;24;Pastinaco-Arrhenatheretum Passarge 1964;Ausb. mit Bellis perennis und Lolium perenne;16;805;O;15;95;95;10;40;;MH ;2007-06-18;805m;Oberwinkel 540m NO Gasthof Mitteregg;13.124167;47.791389;50;U. Medicus
