"plot";"table.order";"association";"variant";"pls";"expo";"slope";"cov";"tcov";"scov";"hcov";"htl";"hsl";"morpholgy";"treediameter";"date";"elevation";"locality";"longitude";"latitude";"accuracy"
100;90;"Ligustro-Prunetum R. Tx. 1952  ";"Ausb. mit Vaccinium myrtillus & Fragaria moschata";40;"W";15;90;;60;80;;4;"MH ";;"2007-08-09";740;"370m ONO Hofstetter";"13.107222";"47.787500";50
97;91;"Ligustro-Prunetum R. Tx. 1952  ";"Ausb. mit Vaccinium myrtillus & Fragaria moschata";80;"S";30;90;40;80;40;12;5;"MH ";40;"2007-08-07";690;"Oberhalb der Abzweigung von Vorderfager nach Oberwinkel; 390m NW Gasthof Schwaitlalm";"13.118056";"47.778611";50
98;92;"Ligustro-Prunetum R. Tx. 1952  ";"Ausb. mit Vaccinium myrtillus & Fragaria moschata";80;"S";30;90;20;60;80;14;5;"MH ";40;"2007-08-07";690;"Oberhalb der Abzweigung von Vorderfager nach Oberwinkel; 390m NW Gasthof Schwaitlalm";"13.118056";"47.778611";50
108;93;"Ligustro-Prunetum R. Tx. 1952  ";"Ausb. mit Vaccinium myrtillus & Fragaria moschata";74;"W";15;80;50;30;60;14;5;"MH ";30;"2007-08-15";870;"200m S der Ortschaft Langenberg";"13.165000";"47.720556";50
109;94;"Ligustro-Prunetum R. Tx. 1952  ";"Ausb. mit Vaccinium myrtillus & Fragaria moschata";37;"W";15;90;10;80;70;6;2;"MH ";20;"2007-08-15";920;"290m OSO der Ortschaft Langenberg";"13.168611";"47.721667";50
110;95;"Ligustro-Prunetum R. Tx. 1952  ";"Ausb. mit Vaccinium myrtillus & Fragaria moschata";60;"W";15;80;60;60;60;12;5;"MH ";70;"2007-08-15";890;"220m SO der Ortschaft Langenberg";"13.166111";"47.720278";50
90;96;"Ligustro-Prunetum R. Tx. 1952  ";"Ausb. mit Vaccinium myrtillus & Fragaria moschata";80;"W";10;70;20;40;40;12;4;"MH ";40;"2007-08-02";950;"80m S der Zufahrtsstraße nach Egg";"13.181944";"47.680278";50
91;97;"Ligustro-Prunetum R. Tx. 1952  ";"Ausb. mit Vaccinium myrtillus & Fragaria moschata";120;"W";10;80;50;60;40;12;4;"MH ";40;"2007-08-02";950;"80m S der Zufahrtsstraße nach Egg";"13.182222";"47.680278";50
93;98;"Ligustro-Prunetum R. Tx. 1952  ";"Ausb. mit Vaccinium myrtillus & Fragaria moschata";40;"NW";10;80;20;50;5;;5;"MH ";;"2007-08-05";650;"360m NW der Ortschaft Höhenwald";"13.111944";"47.765833";50
94;99;"Ligustro-Prunetum R. Tx. 1952  ";"Ausb. mit Vaccinium myrtillus & Fragaria moschata";140;"NW";20;70;;70;40;;1,5;"MH ";;"2007-08-05";670;"300m NNO der Ortschaft Höhenwald";"13.117222";"47.767500";50
