"abbr";"layer";"taxon";100;97;98;108;109;110;90;91;93;94;95;96;99;119;"120";"101";"105";"106";"107";"111";"112";"113";"114";"115";"118";"116";"117";"92";"121";"102";"103";"104"
"frax exce";"tl";"Fraxinus excelsior";".";"2b";"2a";"2a";".";".";"2a";"2b";".";".";".";"2b";".";"2a";"2a";".";".";"2a";"2b";"2b";3;"2a";1;".";"2a";"2b";3;1;".";"2a";".";"."
"frax exce";"hl";"Fraxinus excelsior";"2b";".";".";".";"+";".";".";1;"+";1;1;".";"+";".";1;1;"2b";"2a";"2a";"2a";1;1;"2b";3;".";1;".";".";1;1;3;"2b"
"frax exce";"sl";"Fraxinus excelsior";".";".";"+";1;"2a";1;1;1;".";"2a";"2a";1;"+";1;".";"+";".";"2a";1;"2b";".";1;"2b";".";"+";".";".";".";".";"2a";"2a";"2a"
"acer pseu";"tl";"Acer pseudoplatanus";".";".";".";"2a";".";".";"2a";"2a";".";".";".";".";".";1;".";".";".";"2a";3;"2b";"2a";".";".";1;".";1;1;"2a";".";"2a";".";"."
"acer pseu";"sl";"Acer pseudoplatanus";1;".";".";".";".";".";".";1;1;".";".";".";".";".";1;"+";"+";1;1;"+";1;".";".";"+";1;1;1;1;"+";1;1;1
"acer pseu";"hl";"Acer pseudoplatanus";"+";"+";"+";".";"+";"+";".";"+";".";".";1;1;".";"+";1;1;1;".";".";".";"+";"+";"+";"+";".";".";"+";".";".";"+";".";1
"quer robu";"tl";"Quercus robur";".";"2a";"2a";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";"2b";".";1;"2a";".";".";".";".";".";".";"."
"quer robu";"sl";"Quercus robur";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";1;".";".";".";".";".";".";".";1;".";"+";".";".";".";"+";".";".";"."
"quer robu";"hl";"Quercus robur";"+";".";"+";".";".";"+";".";".";".";1;"+";".";"+";"+";"+";"+";"+";"+";"+";"+";".";1;".";"+";"+";1;"+";"+";1;".";".";"."
"sorb aucu aucu";"tl";"Sorbus aucuparia";".";".";".";".";"2a";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";"."
"sorb aucu aucu";"sl";"Sorbus aucuparia";".";".";".";1;".";".";1;"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";1;".";".";"+";".";".";"."
"sorb aucu aucu";"hl";"Sorbus aucuparia";"+";"+";".";1;"+";"+";1;"+";".";".";"+";".";"+";".";".";"+";"+";1;".";"+";"+";"+";"+";"+";1;"+";".";".";".";".";".";"."
"fagu sylv";"tl";"Fagus sylvatica";".";".";".";".";".";".";1;"2a";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"fagu sylv";"sl";"Fagus sylvatica";".";".";".";".";".";".";".";"2a";".";".";".";".";".";".";".";"2b";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";"."
"fagu sylv";"hl";"Fagus sylvatica";1;".";"+";"+";1;"+";".";".";".";".";".";".";".";".";".";1;".";".";"+";".";".";".";".";".";"+";".";"+";".";".";".";".";"."
"carp betu";"tl";"Carpinus betulus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";"2b";1;".";".";".";".";".";".";".";".";"."
"carp betu";"sl";"Carpinus betulus";".";".";".";".";".";".";".";".";".";".";1;1;".";1;3;"+";"+";1;".";1;".";"2a";"2a";"2b";1;".";1;".";".";".";".";"."
"carp betu";"hl";"Carpinus betulus";".";1;"+";".";".";"+";".";".";1;".";".";".";1;".";"2a";"2a";1;1;1;".";".";"2a";"2a";"2a";1;1;1;"+";"2a";".";".";"."
"acer plat";"tl";"Acer platanoides";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2a";".";1;".";".";".";".";".";".";"."
"acer plat";"sl";"Acer platanoides";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";".";".";".";1;"."
"acer plat";"hl";"Acer platanoides";".";"+";".";"+";"+";".";".";".";".";"+";".";".";"+";".";"+";"+";1;".";".";".";"+";"+";"+";"+";"+";"+";"+";".";".";".";".";1
"tili plat";"tl";"Tilia platyphyllos";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";"2a";".";".";".";".";".";".";"2a";".";"."
"tili plat";"sl";"Tilia platyphyllos";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";"."
"tili cord";"tl";"Tilia cordata";".";".";".";".";".";4;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2a";".";".";".";".";".";".";".";"."
"tili cord";"sl";"Tilia cordata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"tili cord";"hl";"Tilia cordata";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";"."
"prun aviu slat";"tl";"Prunus avium";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2a";"+";".";".";".";".";".";1;".";".";"."
"prun aviu slat";"sl";"Prunus avium";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"."
"prun aviu slat";"hl";"Prunus avium";"+";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"."
"jugl regi";"tl";"Juglans regia";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";"."
"jugl regi";"sl";"Juglans regia";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"abie alba";"tl";"Abies alba";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"abie alba";"hl";"Abies alba";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"betu pend";"tl";"Betula pendula";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";"."
