"taxon";"matched.taxon"
"Fraxinus excelsior";"Fraxinus excelsior"
"Fraxinus excelsior";"Fraxinus excelsior"
"Fraxinus excelsior";"Fraxinus excelsior"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Quercus robur";"Quercus robur"
"Quercus robur";"Quercus robur"
"Quercus robur";"Quercus robur"
"Sorbus aucuparia";"Sorbus aucuparia ssp. aucuparia"
"Sorbus aucuparia";"Sorbus aucuparia ssp. aucuparia"
"Sorbus aucuparia";"Sorbus aucuparia ssp. aucuparia"
"Fagus sylvatica";"Fagus sylvatica"
"Fagus sylvatica";"Fagus sylvatica"
"Fagus sylvatica";"Fagus sylvatica"
"Carpinus betulus";"Carpinus betulus"
"Carpinus betulus";"Carpinus betulus"
"Carpinus betulus";"Carpinus betulus"
"Acer platanoides";"Acer platanoides"
"Acer platanoides";"Acer platanoides"
"Acer platanoides";"Acer platanoides"
"Tilia platyphyllos";"Tilia platyphyllos"
"Tilia platyphyllos";"Tilia platyphyllos"
"Tilia cordata";"Tilia cordata"
"Tilia cordata";"Tilia cordata"
"Tilia cordata";"Tilia cordata"
"Prunus avium";"Prunus avium s.lat."
"Prunus avium";"Prunus avium s.lat."
"Prunus avium";"Prunus avium s.lat."
"Juglans regia";"Juglans regia"
"Juglans regia";"Juglans regia"
"Abies alba";"Abies alba"
"Abies alba";"Abies alba"
"Betula pendula";"Betula pendula"
"Betula pendula";"Betula pendula"
"Betula pendula";"Betula pendula"
"Picea abies";"Picea abies"
"Picea abies";"Picea abies"
"Ulmus glabra";"Ulmus glabra"
"Ulmus glabra";"Ulmus glabra"
"Ulmus glabra";"Ulmus glabra"
"Salix daphnoides";"Salix daphnoides ssp. daphnoides"
"Corylus avellana";"Corylus avellana"
"Corylus avellana";"Corylus avellana"
"Prunus padus";"Prunus padus ssp. padus"
"Prunus padus";"Prunus padus ssp. padus"
"Lonicera xylosteum";"Lonicera xylosteum"
"Lonicera xylosteum";"Lonicera xylosteum"
"Viburnum opulus";"Viburnum opulus"
"Viburnum opulus";"Viburnum opulus"
"Sambucus nigra";"Sambucus nigra"
"Sambucus nigra";"Sambucus nigra"
"Cornus sanguinea";"Cornus sanguinea s.lat."
"Cornus sanguinea";"Cornus sanguinea s.lat."
"Ligustrum vulgare";"Ligustrum vulgare"
"Ligustrum vulgare";"Ligustrum vulgare"
"Rhamnus cathartica";"Rhamnus cathartica"
"Rhamnus cathartica";"Rhamnus cathartica"
"Frangula alnus";"Frangula alnus"
"Frangula alnus";"Frangula alnus"
"Crataegus monogyna";"Crataegus monogyna"
"Crataegus monogyna";"Crataegus monogyna"
"Rosa canina s.str.";"Rosa canina s.str."
"Rosa canina s.str.";"Rosa canina s.str."
"Viburnum lantana";"Viburnum lantana"
"Viburnum lantana";"Viburnum lantana"
"Rosa arvensis";"Rosa arvensis"
"Rosa arvensis";"Rosa arvensis"
"Euonymus latifolius";"Euonymus latifolius"
"Euonymus latifolius";"Euonymus latifolius"
"Sambucus racemosa";"Sambucus racemosa"
"Lonicera alpigena";"Lonicera alpigena"
"Lonicera alpigena";"Lonicera alpigena"
"Berberis vulgaris";"Berberis vulgaris"
"Berberis vulgaris";"Berberis vulgaris"
"Rosa sp.";"Rosa sp."
"Rosa sp.";"Rosa sp."
"Sorbus aria";"Sorbus aria s.str."
"Sorbus aria";"Sorbus aria s.str."
"Euonymus europaeus";"Euonymus europaeus"
"Euonymus europaeus";"Euonymus europaeus"
"Populus x canadensis";"Populus × canadensis s.lat."
"Prunus spinosa";"Prunus spinosa"
"Prunus spinosa";"Prunus spinosa"
"Populus tremula";"Populus tremula"
"Populus tremula";"Populus tremula"
"Crataegus laevigata";"Crataegus laevigata"
"Crataegus laevigata";"Crataegus laevigata"
"Rosa glauca";"Rosa glauca"
"Prunus domestica";"Prunus domestica s.lat."
"Rubus fruticosus agg.";"Rubus fruticosus agg."
"Rubus fruticosus agg.";"Rubus fruticosus agg."
"Rubus idaeus";"Rubus idaeus"
"Rubus idaeus";"Rubus idaeus"
"Clematis vitalba";"Clematis vitalba"
"Clematis vitalba";"Clematis vitalba"
"Hedera helix";"Hedera helix"
"Hedera helix";"Hedera helix"
"Humulus lupulus";"Humulus lupulus"
"Humulus lupulus";"Humulus lupulus"
"Fragaria moschata";"Fragaria moschata"
"Prenanthes purpurea";"Prenanthes purpurea"
