plot;block;alliance;association;plot.size;utm.location;latitude;longitude;accuracy;altitide;aspect;slope;cov;tcov;scov;hcov;mcov;htl;hsl;hhl
13;1;Seslerion caeruleae ;Caricetum firmae Rübel 1911;3;33TUN5910797270;47.813350N;13.117986E;20;980;338;10;70;0;0;70;0;0;0;0.3
95;1;Seslerion caeruleae ;Caricetum firmae Rübel 1911;6;33TUN5911297288;47.813512N;13.118047E;20;980;360;85;20;0;0;15;5;0;0;0.3
102;2;Potentillion caulescentis;Hieracio humilis-Potentilletum caulescentis Br.-Bl. in Meier et Br.-Bl. 1934;6;33TUN5928997529;47.815718N;13.120331E;20;1000;135;85;15;0;0;15;5;0;0;0.15
91;2;Potentillion caulescentis;Hieracio humilis-Potentilletum caulescentis Br.-Bl. in Meier et Br.-Bl. 1934;2;33TUN5976097577;47.816253N;13.126604E;20;910;135;75;30;0;0;20;10;0;0;0.2
65;2;Potentillion caulescentis;Hieracio humilis-Potentilletum caulescentis Br.-Bl. in Meier et Br.-Bl. 1934;4;33TUN5975497572;47.816207N;13.126526E;20;920;158;80;30;0;0;25;5;0;0;0.3
4;3;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. verarmte Ausb.;10;33TUN5981597563;47.816139N;13.127343E;20;925;158;40;45;0;0;40;5;0;0;0.5
111;3;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. verarmte Ausb.;;33TUN5978097554;47.816050N;13.126879E;20;920;180;35;40;0;0;40;5;0;0;0.3
78;3;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. verarmte Ausb.;9;33TUN5981597571;47.816211N;13.127340E;20;920;180;40;30;0;0;30;5;0;0;0.2
109;3;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. verarmte Ausb.;5;33TUN5978097554;47.816050N;13.126879E;20;920;158;45;35;0;0;30;10;0;0;0.35
75;3;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. verarmte Ausb.;6;33TUN5933597563;47.816034N;13.120935E;20;985;203;30;55;0;0;55;0;0;0;0.8
110;3;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. verarmte Ausb.;9;33TUN5978097554;47.816050N;13.126879E;20;920;135;50;50;0;0;50;5;0;0;0.5
47;3;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. verarmte Ausb.;5;33TUN5947297555;47.815992N;13.122766E;20;940;180;50;35;0;0;30;5;0;0;0.2
34;4;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit C. mucronata und G. cordifolia;6;33TUN5965197589;47.816337N;13.125145E;20;915;158;10;40;0;0;40;5;0;0;0.3
92;4;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit C. mucronata und G. cordifolia;15;33TUN5976897568;47.816174N;13.126714E;20;920;180;50;40;0;0;35;10;0;0;0.2
28;4;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit C. mucronata und G. cordifolia;8;33TUN5900397212;47.812805N;13.116616E;20;1000;203;40;50;0;0;45;5;0;0;0.4
114;4;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit C. mucronata und G. cordifolia;6;33TUN5926697520;47.815632N;13.120027E;20;1020;135;50;55;0;0;55;0;0;0;0.4
35;4;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit C. mucronata und G. cordifolia;4;33TUN5964597583;47.816282N;13.125067E;20;915;203;5;70;0;0;60;20;0;0;0.4
76;4;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit C. mucronata und G. cordifolia;5;33TUN5933597563;47.816034N;13.120935E;20;985;180;10;80;0;0;80;5;0;0;0.6
115;4;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit C. mucronata und G. cordifolia;4;33TUN5924497513;47.815565N;13.119736E;20;1010;248;10;70;0;0;70;5;0;0;0.2
71;4;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit C. mucronata und G. cordifolia;12;33TUN5924297425;47.814773N;13.119738E;20;980;248;50;75;0;0;70;5;0;0;0.3
101;4;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit C. mucronata und G. cordifolia;8;33TUN5929797538;47.815801N;13.120435E;20;1000;68;40;80;0;0;80;0;0;0;0.3
100;4;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit C. mucronata und G. cordifolia;9;33TUN5929797538;47.815801N;13.120435E;20;1000;68;40;80;0;10;75;5;0;1;0.2
103;5;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit H. perforatum;5;33TUN5927597513;47.815571N;13.120150E;20;1010;203;60;65;0;0;65;5;0;0;0.4
