plot,abbr,layer,cover,voucher,comment,history
imm01,achi mill aggr,hl,1,,,
imm01,agro capi,hl,1,,,
imm01,anth odor,hl,+,,,
imm01,arrh elat,hl,1,,,
imm01,beto offi offi,hl,r,,,
imm01,briz medi,hl,r,,,
imm01,brom erec,hl,2a,,,
imm01,brom hord hord,hl,+,,,
imm01,brom iner,hl,+,,,
imm01,cent jace jace,hl,1,,,
imm01,cent scab scab,hl,r,,,
imm01,cent stoe stoe,hl,+,,,
imm01,cich inty,hl,r,,,
imm01,dact glom glom,hl,+,,,
imm01,dauc caro caro,hl,+,,,
imm01,dian cart cart,hl,+,,,
imm01,drab vern,hl,r,,,
imm01,echi vulg,hl,+,,,
imm01,erig annu slat,hl,r,,,
imm01,fest arun slat,hl,1,,,
imm01,fest prat prat,hl,+,,,
imm01,fest rubr rubr,hl,1,,,
imm01,fest stri trac,hl,1,,,
imm01,gali albu,hl,2a,,,
imm01,gali pome,hl,r,,,
imm01,gali veru,hl,r,,,
imm01,holc lana,hl,2a,,,
imm01,homa pube pube,hl,2a,,,
imm01,hype perf,hl,1,,,
imm01,knau arve arve,hl,+,,,
imm01,koel macr,hl,+,,,
imm01,lath prat prat,hl,+,,,
imm01,leon hisp hisp,hl,1,,,
imm01,leuc ircu,hl,r,,,
imm01,lotu corn,hl,1,,,
imm01,medi falc,hl,+,,,
imm01,medi lupu,hl,1,,,
imm01,medi sati,hl,+,,,
imm01,orig vulg,hl,1,,,
imm01,petr saxi,hl,r,,,
imm01,pimp saxi saxi,hl,+,,,
imm01,plan lanc,hl,2a,,,
imm01,poa angu,hl,1,,,
imm01,poa prat,hl,1,,,
imm01,pote anse anse,hl,r,,,
imm01,pote rect,hl,r,,,
imm01,pote rept,hl,2m,,,
imm01,ranu acri acri,hl,+,,,
imm01,ranu bulb,hl,+,,,
imm01,ranu nemo,hl,+,,cf. Ranunculus serpens ssp. polyanthemophyllus,
imm01,rhin alec alec,hl,2b,,,
imm01,rhin sero,hl,2a,,,
imm01,sang mino mino,hl,1,,,
imm01,scab colu,hl,r,,,
imm01,secu vari,hl,2a,,,
imm01,sile nuta nuta,hl,r,,,
imm01,sile vulg vulg,hl,+,,,
imm01,tana vulg,hl,+,,,
imm01,tara sect rude,hl,+,,,
imm01,thym pule pule,hl,2b,,,
imm01,trif camp,hl,+,,,
imm01,trif prat prat,hl,1,,,
imm01,tris flav flav,hl,+,,,
imm01,vale locu,hl,r,,,
imm01,verb lych,hl,r,,,
imm01,vero cham cham,hl,+,,,
imm01,vici angu angu,hl,+,,,
imm01,vici crac,hl,r,,,
imm01,vulp myur,hl,r,,,
imm02,achi mill aggr,hl,2a,,,
imm02,anth odor,hl,1,,,
imm02,arrh elat,hl,3,,,
imm02,brom hord hord,hl,+,,,
imm02,brom iner,hl,2a,,,
imm02,cent jace jace,hl,1,,,
imm02,cich inty,hl,r,,,
imm02,conv arve,hl,+,,,
imm02,crep bien,hl,r,,,
imm02,cyno cris,hl,+,,,
imm02,dact glom glom,hl,2a,,,
imm02,dauc caro caro,hl,+,,,
imm02,elyt repe,hl,+,,,
imm02,erig annu slat,hl,r,,,
imm02,fest prat prat,hl,1,,,
imm02,fest rubr rubr,hl,2b,,,
imm02,gali albu,hl,2a,,,
imm02,holc lana,hl,2a,,,
imm02,hype perf,hl,+,,,
imm02,hypo radi,hl,r,,,
imm02,knau arve arve,hl,1,,,
imm02,lath prat prat,hl,1,,,
imm02,leon hisp hisp,hl,r,,,
imm02,leuc ircu,hl,+,,,
imm02,loli pere,hl,+,,,
imm02,lotu corn,hl,+,,,
imm02,lysi numm,hl,+,,,
imm02,medi lupu,hl,+,,,
imm02,medi sati,hl,+,,,
imm02,plan lanc,hl,2a,,,
imm02,poa annu,hl,+,,,
imm02,poa prat,hl,1,,,
imm02,poa triv,hl,1,,,
imm02,pote anse anse,hl,+,,,
imm02,pote rept,hl,2a,,,
imm02,ranu acri acri,hl,+,,,
imm02,ranu bulb,hl,+,,,
imm02,rhin alec alec,hl,2b,,,
imm02,rhin sero,hl,2a,,,
imm02,rume cris,hl,r,,,
imm02,sang mino mino,hl,+,,,
imm02,secu vari,hl,2a,,,
imm02,sile vulg vulg,hl,1,,,
imm02,tana vulg,hl,1,,,
imm02,tara sect rude,hl,+,,,
imm02,trif camp,hl,+,,,
imm02,trif prat prat,hl,1,,,
imm02,tris flav flav,hl,1,,,
imm02,vero cham cham,hl,+,,,
imm02,vici angu angu,hl,r,,,
imm02,vici crac,hl,+,,,
imm02,vici hirs,hl,+,,,
imm02,vici sepi,hl,+,,,
imm03,achi mill aggr,hl,1,,,
imm03,agro capi,hl,+,,,
imm03,alli oler,hl,r,,,
imm03,anth odor,hl,1,,,
imm03,anth vuln slat,hl,+,,,
imm03,arab hirs,hl,r,,,
imm03,aren serp,hl,+,,,
imm03,arrh elat,hl,2a,,,
imm03,aspe cyna,hl,r,,,
imm03,brom erec,hl,1,,,
imm03,brom ster,hl,r,,,
imm03,camp patu patu,hl,r,,,
imm03,camp rotu,hl,1,,,
imm03,care cary,hl,+,,,
imm03,care muri aggr,hl,r,,cf. Carex polyphylla,
imm03,cent jace jace,hl,r,,,
imm03,cent scab scab,hl,r,,,
imm03,cera arve arve,hl,+,,,
imm03,cera brac brac,hl,r,,,
imm03,cera holo,hl,r,,,
imm03,cich inty,hl,1,,,
imm03,dact glom glom,hl,+,,,
imm03,dian cart cart,hl,1,,,
imm03,drab vern,hl,+,,,
imm03,fest arun slat,hl,+,,,
imm03,fest ovin,hl,+,,cf.,
imm03,fest rubr rubr,hl,1,,,
imm03,fest stri trac,hl,2b,,,
imm03,gali albu,hl,2a,,,
imm03,gali pumi,hl,r,,,
imm03,gali veru,hl,1,,,
imm03,hier pilo ides,hl,+,,,
imm03,hier saba,hl,r,,,
imm03,holc lana,hl,1,,,
imm03,homa pube pube,hl,+,,,
imm03,knau arve arve,hl,1,,,
imm03,koel macr,hl,r,,,
imm03,koel pyra pyra,hl,r,,,
imm03,lath sylv,hl,r,,,
imm03,leon hisp hisp,hl,1,,,
imm03,lotu corn,hl,2a,,,
imm03,medi falc,hl,2b,,,
imm03,micr perf,hl,+,,,
imm03,onon repe proc,hl,+,,,
imm03,orig vulg,hl,1,,,
imm03,orob grac,hl,1,,,
imm03,peuc oreo,hl,r,,,
imm03,phle phle,hl,2a,,,
imm03,plan lanc,hl,1,,,
imm03,poa angu,hl,1,,,
imm03,poa prat,hl,1,,,
imm03,pote rect,hl,r,,,
imm03,pote rept,hl,+,,,
imm03,ranu acri acri,hl,+,,,
imm03,ranu bulb,hl,r,,,
imm03,ranu nemo,hl,r,,cf. Ranunculus serpens ssp. polyanthemophyllus,
imm03,rhin alec alec,hl,1,,,
imm03,rhin mino,hl,r,,,
imm03,rhin sero,hl,r,,,
imm03,sang mino mino,hl,1,,,
imm03,saxi gran gran,hl,r,,https://www.inaturalist.org/observations/258730685,
imm03,scab colu,hl,+,,,
imm03,secu vari,hl,2a,,,
imm03,sile nuta nuta,hl,+,,,
imm03,sile vulg vulg,hl,+,,,
imm03,teuc cham,hl,r,,,
imm03,thym pule pule,hl,2b,,,
imm03,trif prat prat,hl,+,,,
imm03,trif repe repe,hl,+,,,
imm03,tris flav flav,hl,1,,,
imm03,vale locu,hl,+,,,
imm03,verb lych,hl,+,,,
imm03,vero arve,hl,+,,,
imm03,vero cham cham,hl,+,,,
imm03,vero teuc,hl,r,,,
imm04,achi mill aggr,hl,2a,,,
imm04,agro capi,hl,+,,,
imm04,anth odor,hl,1,,,
imm04,arrh elat,hl,3,,,
imm04,beto offi offi,hl,r,,,
imm04,brom erec,hl,+,,,
imm04,camp patu patu,hl,r,,,
imm04,cent jace jace,hl,1,,,
imm04,cent scab scab,hl,2a,,,
imm04,cera arve arve,hl,+,,,
imm04,cera holo,hl,+,,,
imm04,cich inty,hl,+,,,
imm04,crep bien,hl,r,,,
imm04,cyno cris,hl,r,,,
imm04,dact glom glom,hl,+,,,
imm04,erig annu slat,hl,+,,,
imm04,fest arun slat,hl,+,,,
imm04,fest prat prat,hl,1,,,
imm04,fest rubr rubr,hl,2b,,,
imm04,gali albu,hl,2a,,,
imm04,holc lana,hl,1,,,
imm04,knau arve arve,hl,1,,,
imm04,lath prat prat,hl,2m,,,
imm04,lath sylv,hl,+,,,
imm04,leon hisp hisp,hl,+,,,
imm04,leuc ircu,hl,+,,,
imm04,medi sati,hl,+,,,
imm04,medi vari,hl,r,,,
imm04,orig vulg,hl,1,,,
imm04,orob grac,hl,r,,,
imm04,past sati sati,hl,1,,,
imm04,phle prat,hl,+,,,
imm04,plan lanc,hl,2a,,,
imm04,poa angu,hl,+,,,
imm04,poa annu,hl,r,,,
imm04,poa prat,hl,1,,,
imm04,pote rept,hl,+,,,
imm04,prun vulg,hl,r,,,
imm04,ranu acri acri,hl,+,,,
imm04,ranu bulb,hl,+,,,
imm04,ranu nemo,hl,+,,,
imm04,rhin alec alec,hl,2b,,,
imm04,rubu caes,hl,r,,,
imm04,rume acet osa,hl,+,,,
imm04,salv prat prat,hl,r,,,
imm04,secu vari,hl,2b,,,
imm04,sene jaco,hl,r,,,
imm04,sile vulg vulg,hl,+,,,
imm04,tana vulg,hl,r,,,
imm04,trif camp,hl,+,,,
imm04,trif prat prat,hl,2a,,,
imm04,trif repe repe,hl,+,,,
imm04,tris flav flav,hl,1,,,
imm04,vero cham cham,hl,2m,,,
imm04,vici angu angu,hl,+,,,
imm04,vici crac,hl,+,,,
imm05,achi mill aggr,hl,2a,,,
imm05,anth odor,hl,1,,,
