plot;abbr;layer;cov;comment;determined;history
Morton1950:10/49;amel oval;hl;1;;;
Morton1950:10/49;berb vulg;hl;1;;;
Morton1950:10/49;card defl viri;hl;+;;;
Morton1950:10/49;juni sabi;hl;1;;;
Morton1950:10/49;poly cham;hl;+;;;
Morton1950:10/49;pote caul;hl;+;;;
Morton1950:10/49;rham pumi;hl;+;;;
Morton1950:10/49;rosa glau;hl;1;Rosa rubifolia;;
Morton1950:10/49;rosa pend;hl;1;;;
Morton1950:10/49;rosa vill;hl;1;Rosa resinosa;;
Morton1950:10/49;teuc mont;hl;+;;;
Morton1950:1322;atha cret;hl;1;;;
Morton1950:1322;beto alop;hl;1;Stachys jacquini;;
Morton1950:1322;dian plum blan;hl;1;Dinathus blandus;;
Morton1950:1322;eric carn;hl;4;;;
Morton1950:1322;gymn robe;hl;1;Nephrodium robertianum;;
Morton1950:1322;hell nige;hl;1;;;
Morton1950:1322;hier bupl;hl;1;Hieracium bupleuroides var. schenkii Gris.;;
Morton1950:1322;juni sabi;hl;+;;;
Morton1950:1322;lase lati lati;hl;1;;;
Morton1950:1322;pice abie;tl1;2;;;
Morton1950:1322;pinu sylv;tl1;2;;;
Morton1950:1322;rubu saxa;hl;1;;;
Morton1950:1322;sorb aria;hl;1;;;
Morton1950:1322;sorb cham;hl;1;;;
Morton1950:1322;teuc mont;hl;1;;;
Morton1950:1322;thel limb;hl;1;Nephrodium oreopteris;;
Morton1950:1322;thes alpi;hl;1;;;
Morton1950:1322;vale mont;hl;1;;;
Morton1950:1323;alli lusi;hl;2;;;
Morton1950:1323;amel oval;hl;1;;;
Morton1950:1323;barb refl;ml;1;;;
Morton1950:1323;brac pinn;hl;2;;;
Morton1950:1323;buph sali;hl;1;;;
Morton1950:1323;card defl viri;hl;1;;;
Morton1950:1323;clem vita;hl;1;;;
Morton1950:1323;cory avel;hl;1;;;
Morton1950:1323;dian cart lati;hl;+;;;
Morton1950:1323;frag vesc;hl;1;;;
Morton1950:1323;frax exce;hl;1;;;
Morton1950:1323;glob cord;hl;1;;;
Morton1950:1323;hipp como;hl;+;;;
Morton1950:1323;hype perf;hl;1;;;
Morton1950:1323;jovi glob hirt;hl;1;;;
Morton1950:1323;juni sabi;hl;1;;;
Morton1950:1323;lesk poly;ml;1;;;
Morton1950:1323;lotu corn slat;hl;1;;;
Morton1950:1323;meli cili;hl;1;;;
Morton1950:1323;pinu sylv;sl;1;;;
Morton1950:1323;poly cham;hl;+;;;
Morton1950:1323;rhyt rugo;ml;1;;;
Morton1950:1323;rosa micr;hl;+;;;
Morton1950:1323;salv glut;hl;1;;;
Morton1950:1323;sedu albu;hl;1;;;
Morton1950:1323;sesl caer;hl;1;;;
Morton1950:1323;sile nuta nuta;hl;+;;;
Morton1950:1323;soli virg virg;hl;1;;;
Morton1950:1323;teuc mont;hl;2;;;
Morton1950:1323;thym prae poly;hl;1;Thymus vallicola var. fritschii Ronn.;;
Morton1950:1323;tort tort;ml;1;;;
Morton1950:1323;vinc hiru;hl;1;;;
Morton1950:1324;alli lusi;hl;2;;;
Morton1950:1324;berb vulg;hl;1;;;
Morton1950:1324;frax exce;hl;1;;;
Morton1950:1324;gali moll aggr;hl;1;Galium mollugo var. erectum;;
Morton1950:1324;juni sabi;hl;1;;;
Morton1950:1324;lesk poly;ml;1;;;
Morton1950:1324;leuc sciu;ml;1;;;
Morton1950:1324;meli cili;hl;1;;;
Morton1950:1324;pice abie;hl;1;;;
Morton1950:1324;rham cath;hl;1;;;
Morton1950:1324;rosa micr;hl;+;;;
Morton1950:1324;sedu albu;hl;1;;;
Morton1950:1324;sile nuta nuta;hl;1;;;
Morton1950:1324;thym pule pule;hl;1;Thymus pulgoides var. pallens;;
Morton1950:1327;amel oval;hl;1;;;
Morton1950:1327;anth ramo;hl;1;;;
Morton1950:1327;aspl ruta;hl;1;;;
Morton1950:1327;barb rigi;ml;1;;;
Morton1950:1327;cala vari;hl;1;;;
Morton1950:1327;clem vita;hl;1;;;
Morton1950:1327;cory avel;hl;1;;;
Morton1950:1327;dian cart lati;hl;1;;;
Morton1950:1327;frax exce;hl;1;;;
Morton1950:1327;gali moll aggr;hl;1;;;
Morton1950:1327;glob cord;hl;1;;;
Morton1950:1327;jovi glob hirt;hl;1;;;
Morton1950:1327;juni sabi;hl;+;;;
Morton1950:1327;lase lati lati;hl;2;;;
Morton1950:1327;meli cili;hl;1;;;
Morton1950:1327;pinu sylv;hl;1;;;
Morton1950:1327;pote caul;hl;1;;;
Morton1950:1327;rham cath;hl;1;;;
Morton1950:1327;rosa cani;hl;1;;;
Morton1950:1327;schi apoc;ml;1;;;
Morton1950:1327;sedu albu;hl;2;;;
Morton1950:1327;sesl caer;hl;1;;;
Morton1950:1327;sile nuta nuta;hl;1;;;
Morton1950:1327;sorb aria;sl;1;;;
Morton1950:1327;teuc mont;hl;1;;;
Morton1950:1327;thym prae poly;hl;1;Thymus vallicola (H. Hr.) Ronn.;;
Morton1950:1327;tric cris;ml;1;;;
Morton1950:1327;vinc hiru;hl;1;;;
Morton1950:1328;alli lusi;hl;4;;;
Morton1950:1328;amel oval;hl;1;;;
Morton1950:1328;arab aren;hl;1;;;
Morton1950:1328;aspl ruta;hl;1;;;
Morton1950:1328;aspl tric slat;hl;+;;;
Morton1950:1328;berb vulg;hl;1;;;
Morton1950:1328;buph sali;hl;1;;;
Morton1950:1328;card defl viri;hl;1;;;
Morton1950:1328;dian cart lati;hl;1;;;
Morton1950:1328;echi vulg;hl;1;;;
Morton1950:1328;eric carn;hl;2;;;
Morton1950:1328;frag vesc;hl;1;;;
Morton1950:1328;gali moll aggr;hl;2;;;
Morton1950:1328;gali trun;hl;1;;;
Morton1950:1328;gymn robe;hl;+;Nephrodium dryopteris;;
Morton1950:1328;jovi glob hirt;hl;1;;;
Morton1950:1328;juni comm comm;hl;2;;;
Morton1950:1328;juni sabi;hl;4;;;
Morton1950:1328;lase lati lati;hl;1;;;
Morton1950:1328;lina vulg;hl;+;;;
Morton1950:1328;pice abie;sl;1;;;
Morton1950:1328;poly vulg;hl;1;;;
Morton1950:1328;rham cath;sl;1;;;
Morton1950:1328;rosa rubi;hl;1;;;
Morton1950:1328;sedu albu;hl;1;;;
Morton1950:1328;sile nuta nuta;hl;1;;;
Morton1950:1328;taxu bacc;hl;1;;;
Morton1950:1328;teuc mont;hl;1;;;
Morton1950:1328;vibu lant;hl;1;;;
Morton1950:1328;vinc hiru;hl;1;Cynanchus vinecetoxicum, Cynanchum laxum ;;
Morton1950:1330;acer pseu;hl;1;;;
Morton1950:1330;alli lusi;hl;1;;;
Morton1950:1330;amel oval;hl;1;;;
Morton1950:1330;anth ramo;hl;+;;;
Morton1950:1330;arab aren;hl;1;;;
