plot;abbr;layer;cov;comment;voucher;history
mb01;acer camp;hl;+;;;
mb01;acer plat;hl;2a;;;
mb01;acer pseu;hl;+;;;
mb01;aego poda;hl;2a;;;
mb01;anem nemo;hl;+;;;
mb01;apos foet;hl;1;;;
mb01;brac sylv;hl;+;;;
mb01;brom bene;hl;+;;;
mb01;camp rapu rapu;hl;+;;;
mb01;care digi;hl;+;;;
mb01;carp betu;hl;1;;;
mb01;ceph dama;hl;1;;;
mb01;corn sang slat;hl;1;;;
mb01;corn seri;hl;1;;;
mb01;cory avel;hl;+;;;
mb01;crat laev laev;hl;r;;;
mb01;crat mono;hl;+;;;
mb01;euon euro;hl;+;;;
mb01;euph amyg amyg;hl;+;;;
mb01;euph dulc dulc;hl;+;;;
mb01;fagu sylv;hl;1;;;
mb01;frax exce;hl;1;;;
mb01;gale mont;hl;+;;;
mb01;gali sylv;hl;+;;;
mb01;hede heli;hl;2a;;;
mb01;hepa nobi;hl;+;;;
mb01;hier muro;hl;+;;;
mb01;jugl regi;hl;+;;;
mb01;lath vern;hl;2a;;;
mb01;ligu vulg;hl;1;;;
mb01;lili mart;hl;+;;;
mb01;loni xylo;hl;+;;;
mb01;meli nuta;hl;+;;;
mb01;phyt spic;hl;+;;;
mb01;poa nemo;hl;r;;;
mb01;prun aviu slat;hl;1;;;
mb01;prun padu padu;hl;+;;;
mb01;prun spin;hl;+;;;
mb01;quer robu;hl;+;;;
mb01;rham cath;hl;+;;;
mb01;robi pseu;hl;+;;;
mb01;rosa arve;hl;+;;;
mb01;rosa cani;hl;+;;;
mb01;soli virg virg;hl;+;;;
mb01;sorb aucu aucu;hl;+;;;
mb01;symp tube slat;hl;+;;;
mb01;taxu bacc;hl;+;;;
mb01;tili ×vul;hl;+;cf.;;
mb01;tili cord;hl;1;;;
mb01;ulmu glab;hl;+;;;
mb01;vibu lant;hl;r;;;
mb01;vinc hiru;hl;+;;;
mb01;viol rivi;hl;r;;;
mb01;acer plat;sl;+;;;
mb01;carp betu;sl;+;;;
mb01;corn sang slat;sl;2a;;;
mb01;corn seri;sl;1;;;
mb01;crat mono;sl;+;;;
mb01;euon euro;sl;+;;;
mb01;fagu sylv;sl;+;;;
mb01;hede heli;sl;+;;;
mb01;ligu vulg;sl;+;;;
mb01;loni xylo;sl;+;;;
mb01;prun aviu slat;sl;1;;;
mb01;prun spin;sl;+;;;
mb01;robi pseu;sl;1;;;
mb01;rosa cani;sl;+;;;
mb01;taxu bacc;sl;+;;;
mb01;tili cord;sl;+;;;
mb01;carp betu;tl1;3;;;
mb01;fagu sylv;tl1;2b;;;
mb01;robi pseu;tl1;2a;;;
