plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;site;location;observer;description
nb01;50;0;0;0;35;50;0;0;0;0,2;0,1;2;1;N;7;0;50;0;2014-08-25;46.876220;13.762670;10;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K14-02;Hoher Steig;R. Kaiser;Rieselflur am Mallnock Westhang
nb02;20;0;0;0;18;2;0;0;0;0,15;0,1;1;2;NW;1;0;80;0;2014-08-25;46.880010;13.737690;10;Caricion bicoloris-atrofuscae;Astero bellidiastrum-Kobresietum simpliciusculae;Syrosem;;K14-05;Kalter Keller;R. Kaiser;Südliche Rieselflur im Kalten Keller nordwestlich Predigtstuhl
nb03;80;0;0;0;15;7;0;0;0;0,2;0,1;1;2;N;5;0;80;0;2014-08-26;46.918550;13.864170;5;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K18-01;Turracher Höhe;R. Kaiser;Niedermoor-Quellflur-Schwemmland-Komplex an der Talstation des Hüttenexpress Tellerlifts (Turracher Höhe)
nb04;80;0;0;0;40;75;0;0;0;0,25;0,1;1;2;W;2;0;20;0;2014-09-08;46.957800;13.768930;5;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K13-06;Sauereggenalm;R. Kaiser;Komplex von Quellanmoor und Niedermoor südöstlich Sauereggalm
nb05;90;0;0;0;80;65;0;0;0;0,6;0,2;1;2;W;10;0;10;0;2014-09-08;46.961090;13.764190;5;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K13-05;Sauereggenalm;R. Kaiser;Komplex von Quellflur und Niedermoor im Kar südöstlich der Sauereggalm
nb06;90;0;0;0;70;70;0;0;0;0,35;0,2;1;2;SW;2;0;10;0;2014-08-24;46.908370;13.933170;5;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K21-01;Zgartensee;R. Kaiser;Quellfluren und Niedermoore rund um den Zgartensee
nb07;80;0;0;0;40;60;0;0;0;0,35;0,2;1;2;S;2;0;20;0;2014-08-25;46.874700;13.757550;10;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K14-04;Bockhütte;R. Kaiser;Hangquellmoor und Rieselfluren nördlich Bockhütte
nb08;20;0;0;0;18;3;0;0;0;0,5;0,1;1,5;2;SW;2;0;80;0;2014-09-08;46.932100;13.781480;10;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K15-05;Stangboden;T. Eberl;Schwemmland-Komplex am westlichen Stangboden, 700 m südlich des Karlnocks
nb09;15;0;0;0;15;2;0;0;0;0,5;0,1;3;3;SW;2;0;85;0;2014-09-08;46.930660;13.791310;10;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K15-07;Stangboden;T. Eberl;Moor-Schwemmland-Komplex am östlichen Stangboden
nb10;50;0;0;0;45;15;0;0;0;0,2;0,1;4;4;E;10;0;50;0;2014-08-28;46.944350;13.763860;10;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K13-03;Eisentalhöhe;T. Eberl;Ostabfall der Eisentalhöhe
nb11;80;0;0;0;75;5;0;0;0;0,4;0,1;4;4;W;5;0;20;0;2014-08-29;46.924440;13.805060;10;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K15-02;Stangscharte;T. Eberl;Komplex an der südwest exponierten Hangflanke zwischen Gregerlnock und Stangscharte
nb12;100;0;0;0;85;50;0;0;0;0,4;0,1;4;4;SW;5;0;0;0;2014-08-29;46.922390;13.799770;10;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K15-01;Stangscharte;T. Eberl;Oberlauf des Stangbaches
nb13;65;0;0;0;20;55;0;0;0;0,35;0,1;2;4;SW;15;0;35;0;2014-08-29;46.927070;13.798150;10;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K15-04;Stangscharte;T. Eberl;Schwemmland-Komplex 400 m südwestlich der Stangscharte
nb14;80;0;0;0;35;65;0;0;0;1;0,1;1;3;W;7;0;20;0;2014-08-29;46.924590;13.802480;10;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K15-03;Stangscharte;T. Eberl;Moorkomplex 500 m südlich der Stangscharte
nb15;70;0;0;0;15;60;0;0;0;0,4;0,1;1;3;SW;15;0;30;0;2014-09-09;46.949710;13.761690;10;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K13-02;Friesenhalsbach;T. Eberl;Rechtes Ufer am Oberlauf des Friesenhalsbaches
nb16;25;0;0;0;20;5;0;0;0;0,15;0,1;1;2;W;1;0;75;0;2014-08-25;46.882289;13.737757;10;Caricion bicoloris-atrofuscae;Astero bellidiastrum-Kobresietum simpliciusculae;Syrosem;;K14-06;Kalter Keller;R. Kaiser;Komplex von Rieselfluren, Niedermooren und Polsterseggenrasen im Kalten Keller nordwestlich Predigtstuhl
nb17;35;0;0;0;15;20;0;0;0;0,2;0,1;2;1;W;5;0;75;0;2014-08-25;46.876863;13.760335;15;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;Syrosem;;K14-03;Hoher Steig;R. Kaiser;Rieselflur am Mallnock Westhang am Weg zur Bockhütte
