plot,abbr,layer,cover,voucher,comment,history
od01,brac sylv,hl,1,,,
od01,cala vari,hl,1,,,
od01,care orni orni,hl,1,,,
od01,carp betu,hl,1,,,
od01,corn sang slat,hl,1,,,
od01,frax exce,hl,1,,,
od01,ligu vulg,hl,1,,,
od01,loni xylo,hl,1,,,
od01,loni xylo,sl,1,,,
od01,tili cord,hl,1,,,
od01,vibu opul,hl,1,,,
od01,carp betu,tl1,3,,,
od01,acer camp,hl,+,,,
od01,acer camp,sl,+,,,
od01,acer pseu,hl,+,,,
od01,acer pseu,sl,+,,,
od01,card impa,hl,+,,,
od01,care digi,hl,+,,,
od01,cory avel,hl,+,,,
od01,crat mono,hl,+,,,
od01,crat mono,sl,+,,,
od01,daph meze,hl,+,,,
od01,frax exce,sl,+,,,
od01,gali apar,hl,+,,,
od01,hede heli,hl,+,,,
od01,impa noli,hl,+,,,
od01,jugl regi,hl,+,,,
od01,ligu vulg,sl,+,,,
od01,meli nuta,hl,+,,,
od01,pulm offi,hl,+,,,
od01,salv glut,hl,+,,,
od01,samb nigr,hl,+,,,
od01,samb nigr,sl,+,,,
od01,sorb aucu aucu,hl,+,,,
od01,sorb aucu aucu,sl,+,,,
od01,vibu opul,sl,+,,,
od01,viol rivi,hl,+,,,
od01,corn sang slat,sl,2a,,,
od01,tili cord,sl,2a,,,
od01,tili cord,tl1,2a,,,
od01,carp betu,tl2,2b,,,
od01,cory avel,sl,2b,,,
od01,frax exce,tl1,2b,,,
od01,tili cord,tl2,2b,,,
od01,hepa nobi,hl,r,,,
od01,urti dioi dioi,hl,r,,,
od02,acer camp,sl,1,,,
od02,care digi,hl,1,,,
od02,carp betu,hl,1,,,
od02,cory avel,hl,1,,,
od02,crat mono,hl,1,,,
od02,crat mono,sl,1,,,
od02,frax exce,tl1,1,,,
od02,hede heli,hl,1,,,
od02,ligu vulg,hl,1,,,
od02,ligu vulg,sl,1,,,
od02,loni xylo,sl,1,,,
od02,pice abie,hl,1,,,
od02,pice abie,sl,1,,,
od02,care alba,hl,3,,,
od02,carp betu,tl2,4,,,
od02,acer camp,hl,+,,,
od02,cala vari,hl,+,,,
od02,camp rapu rapu,hl,+,,,
