plot,abbr,layer,cover,voucher,comment,history
pb01,acer plat,hl,+,,,
pb01,acer pseu,hl,+,,,
pb01,acta spic,hl,r,,,
pb01,arab aren,hl,+,,,
pb01,asar euro euro,hl,+,,,
pb01,aspl ruta,hl,+,,,
pb01,aspl scol scol,hl,r,,,
pb01,aspl tric pach,hl,1,2015-0000,,
pb01,aspl tric quad,hl,1,,,
pb01,brac sylv,hl,+,,,
pb01,camp rapu rapu,hl,+,,,
pb01,camp trac,hl,+,,,
pb01,card pent,hl,r,cf.,,
pb01,care digi,hl,+,,,
pb01,care humi,hl,+,,,
pb01,chel maju,hl,r,,,
pb01,clem vita,hl,+,,,
pb01,cory avel,hl,+,,,
pb01,euon lati,hl,+,,,
pb01,fest alti,hl,+,,,
pb01,gale flav,hl,2a,,,
pb01,gale mont,hl,+,,,
pb01,gali aris,hl,r,,,
pb01,gali sylv,hl,+,,,
pb01,gera robe,hl,+,,,
pb01,hepa nobi,hl,+,,,
pb01,hier bifi,hl,+,,,
pb01,inul cony,hl,r,,,
pb01,lact mura,hl,+,,,
pb01,loni xylo,hl,+,,,
pb01,luna redi,hl,r,,,
pb01,meli nuta,hl,+,,,
pb01,moeh musc,hl,+,,,
pb01,phyt spic spic,hl,+,,,
pb01,poa nemo,hl,+,,,
pb01,poly acul,hl,+,,,
pb01,poly cham,hl,+,,,
pb01,poly vulg,hl,+,,,
pb01,pote caul,hl,+,,,
pb01,pren purp,hl,+,,,
pb01,rham cath,hl,+,,,
pb01,rosa pend,hl,+,,,
pb01,salv glut,hl,1,,,
pb01,samb nigr,hl,+,,,
pb01,sedu albu,hl,+,,,
pb01,sesl caer,hl,+,,,
pb01,soli virg virg,hl,+,,,
pb01,sorb aria,hl,+,,,
pb01,ulmu glab,hl,+,,,
pb01,urti dioi dioi,hl,r,,,
pb01,vero urti,hl,1,,,
pb01,vinc hiru,hl,r,,,
pb01,acer plat,sl,+,,,
pb01,cory avel,sl,1,,,
pb01,euon lati,sl,+,,,
pb01,pice abie,sl,+,,,
pb01,samb nigr,sl,+,,,
pb01,tili ×vul,sl,+,,,
pb01,ulmu glab,sl,2b,,,
pb01,fagu sylv,tl1,2a,,,
pb01,tili ×vul,tl1,3,,,
pb01,ulmu glab,tl1,2b,,,
pb01,abie alba,tl2,+,,,
pb01,acer pseu,tl2,+,,,
pb01,tili ×vul,tl2,2a,,,
pb01,ulmu glab,tl2,2b,,,
pb02,acer plat,hl,+,,,
pb02,arab aren,hl,+,,,
pb02,aspl ruta,hl,+,,,
pb02,aspl scol scol,hl,r,,,
pb02,aspl tric pach,hl,+,,,
pb02,aspl tric quad,hl,+,,,
pb02,cala vari,hl,+,,,
pb02,camp trac,hl,+,,,
pb02,card pent,hl,r,cf.,,
pb02,care digi,hl,+,,,
pb02,care humi,hl,r,,,
pb02,coto tome,hl,r,,,
pb02,fest alti,hl,r,,,
pb02,gale flav,hl,1,,,
pb02,gali albu,hl,+,,,
pb02,gera robe,hl,+,,,
pb02,hede heli,hl,1,,,
pb02,hepa nobi,hl,+,,,
pb02,hier bifi,hl,+,,,
pb02,inul cony,hl,r,,,
pb02,lact mura,hl,+,,,
pb02,luna redi,hl,+,,,
pb02,meli nuta,hl,+,,,
pb02,moeh musc,hl,r,,,
pb02,poa nemo,hl,+,,,
pb02,poly vulg,hl,+,,,
pb02,pote caul,hl,+,,,
pb02,salv glut,hl,+,,,
pb02,samb nigr,hl,+,,,
pb02,sedu albu,hl,+,,,
pb02,sesl caer,hl,r,,,
pb02,soli virg virg,hl,+,,,
pb02,taxu bacc,hl,+,,,
pb02,ulmu glab,hl,+,,,
pb02,urti dioi dioi,hl,r,,,
pb02,vale trip,hl,+,,,
pb02,vero urti,hl,+,,,
pb02,berb vulg,sl,r,,,
pb02,cory avel,sl,+,,,
pb02,frax exce,sl,+,,,
pb02,samb nigr,sl,r,,,
pb02,sorb aria,sl,+,,,
pb02,taxu bacc,sl,+,,,
pb02,tili plat,sl,+,,,
pb02,ulmu glab,sl,2a,,,
pb02,tili plat,tl1,3,,,
pb02,acer plat,tl2,+,,,
pb02,frax exce,tl2,1,,,
pb02,taxu bacc,tl2,1,,,
pb02,ulmu glab,tl2,1,,,
pb03,arab aren,hl,+,,,
pb03,aspl ruta,hl,+,,,
pb03,aspl tric quad,hl,+,,,
pb03,brac pinn,hl,r,,,
pb03,cala vari,hl,+,,,
pb03,card defl viri,hl,+,,,
pb03,care alba,hl,+,,,
pb03,care digi,hl,+,,,
pb03,care humi,hl,2b,,,
pb03,care poly,hl,+,,,
pb03,clin vulg vulg,hl,1,,,
pb03,crat mono,hl,r,,,
pb03,digi gran,hl,r,,,
pb03,euon euro,hl,+,,,
pb03,frag vesc,hl,+,,,
pb03,frax exce,hl,+,,,
pb03,gali albu,hl,1,,,
pb03,gera robe,hl,+,,,
pb03,geum urba,hl,r,,,
pb03,hede heli,hl,+,,,
pb03,hepa nobi,hl,+,,,
pb03,hier bifi,hl,+,,,
pb03,hype mont,hl,r,,,
pb03,inul cony,hl,+,,,
pb03,ligu vulg,hl,+,,,
pb03,meli nuta,hl,+,,,
pb03,orig vulg,hl,+,,,
pb03,poa nemo,hl,2a,,,
pb03,poly vulg,hl,+,,,
pb03,pote caul,hl,r,,,
pb03,rham cath,hl,r,,,
pb03,salv glut,hl,+,,,
pb03,scab colu,hl,+,,,
pb03,sedu albu,hl,+,,,
pb03,sesl caer,hl,1,,,
pb03,sile nuta nuta,hl,+,,,
pb03,soli virg virg,hl,+,,,
pb03,taxu bacc,hl,+,,,
pb03,tori japo,hl,r,,,
pb03,vale trip,hl,+,,,
pb03,vero urti,hl,r,,,
pb03,vinc hiru,hl,+,,,
pb03,viol coll,hl,r,,,
pb03,cory avel,sl,+,,,
pb03,rosa cani,sl,r,,,
pb03,sorb aria,sl,+,,,
pb03,ulmu glab,sl,+,,,
pb03,frax exce,tl1,2b,,,
pb03,sorb aria,tl1,1,,,
pb03,tili ×vul,tl1,3,,,
pb03,acer plat,tl2,2a,,,
pb03,frax exce,tl2,2b,,,
pb03,sorb aria,tl2,2b,,,
pb03,ulmu glab,tl2,1,,,
pb04,acer plat,hl,+,,,
pb04,arab aren,hl,+,,,
pb04,aspl tric quad,hl,+,,,
pb04,berb vulg,hl,+,,,
pb04,brac pinn,hl,+,,,
pb04,brac sylv,hl,+,,,
pb04,brom bene,hl,+,,,
pb04,cala vari,hl,1,,,
pb04,card defl viri,hl,+,,,
pb04,care humi,hl,1,,,
pb04,care poly,hl,+,,,
pb04,chel maju,hl,r,,,
pb04,clem vita,hl,+,,,
pb04,clin vulg vulg,hl,2a,,,
pb04,corn sang slat,hl,+,,,
pb04,cory avel,hl,+,,,
pb04,crat mono,hl,+,,,
pb04,digi gran,hl,+,,,
pb04,dryo fili,hl,r,,,
pb04,euon euro,hl,+,,,
pb04,euon lati,hl,+,,,
pb04,frag vesc,hl,+,,,
pb04,gali albu,hl,+,,,
pb04,gera robe,hl,+,,,
pb04,geum urba,hl,r,,,
pb04,glec hede,hl,r,,,
pb04,hede heli,hl,+,,,
pb04,hepa nobi,hl,+,,,
pb04,hier bifi,hl,+,,,
pb04,inul cony,hl,+,,,
pb04,knau maxi,hl,+,,,
pb04,ligu vulg,hl,+,,,
pb04,loni xylo,hl,+,,,
pb04,meli nuta,hl,+,,,
pb04,myos sylv,hl,r,,,
pb04,orig vulg,hl,+,,,
pb04,poa nemo,hl,2b,,,
pb04,poly vulg,hl,+,,,
pb04,prun spin,hl,+,,,
pb04,rham cath,hl,+,,,
pb04,rosa arve,hl,+,,,
pb04,rosa cani,hl,+,,,
pb04,rubu sect rubu,hl,+,,,
pb04,salv glut,hl,+,,,
pb04,scab colu,hl,+,,,
pb04,sesl caer,hl,+,,,
pb04,sile nuta nuta,hl,+,,,
pb04,soli virg virg,hl,+,,,
pb04,sorb aria,hl,+,,,
pb04,taxu bacc,hl,+,,,
pb04,tili plat,hl,+,,,
pb04,vero cham cham,hl,+,,,
pb04,vinc hiru,hl,+,,,
pb04,viol alba slat,hl,+,cf.,,
pb04,viol coll,hl,r,,,
pb04,acer plat,sl,1,,,
pb04,corn sang slat,sl,+,,,
pb04,crat mono,sl,+,,,
pb04,ligu vulg,sl,+,,,
pb04,prun aviu slat,sl,+,,,
pb04,rosa cani,sl,r,,,
pb04,sorb aria,sl,+,,,
pb04,tili plat,sl,+,,,
pb04,ulmu glab,sl,+,,,
pb04,acer plat,tl1,2a,,,
pb04,frax exce,tl1,2b,,,
pb04,tili plat,tl1,3,,,
pb04,acer plat,tl2,1,,,
pb04,hede heli,tl2,+,,,
pb04,prun aviu slat,tl2,+,,,
pb04,sorb aria,tl2,1,,,
pb04,tili plat,tl2,2a,,,
pb05,acer plat,hl,+,,,
pb05,achi mill aggr,hl,r,,,
pb05,alli cari cari,hl,r,,,
pb05,arab aren,hl,+,,,
pb05,arab hirs,hl,r,,,
pb05,aspl ruta,hl,+,,,
pb05,aspl tric quad,hl,r,,,
pb05,brac pinn,hl,+,,,
pb05,brac sylv,hl,+,,,
pb05,brom bene,hl,+,,,
pb05,cala vari,hl,+,,,
pb05,camp rapu rapu,hl,r,,,
pb05,camp trac,hl,+,,,
pb05,card defl viri,hl,r,,,
pb05,care digi,hl,+,,,
pb05,care humi,hl,1,,,
pb05,care poly,hl,+,,,
pb05,clem vita,hl,+,,,
pb05,clin vulg vulg,hl,2a,,,
pb05,corn sang slat,hl,+,,,
pb05,crat mono,hl,+,,,
pb05,digi gran,hl,r,,,
pb05,euon euro,hl,1,,,
pb05,euon lati,hl,+,,,
pb05,euph cypa,hl,+,,,
pb05,fest alti,hl,r,,,
pb05,frag vesc,hl,1,,,
pb05,frax exce,hl,+,,,
pb05,gali albu,hl,+,,,
pb05,gera robe,hl,+,,,
pb05,geum urba,hl,+,,,
pb05,hede heli,hl,1,,,
pb05,hepa nobi,hl,+,,,
pb05,hier bifi,hl,+,,,
pb05,hier muro,hl,+,,,
pb05,hype perf,hl,+,,,
pb05,inul cony,hl,+,,,
pb05,ligu vulg,hl,1,,,
pb05,loni xylo,hl,1,,,
pb05,meli nuta,hl,+,,,
pb05,orig vulg,hl,+,,,
pb05,poa nemo,hl,2b,,,
pb05,pote pusi,hl,r,,,
pb05,prun spin,hl,+,,,
pb05,rham cath,hl,+,,,
pb05,rosa arve,hl,+,,,
pb05,rosa cani,hl,+,,,
pb05,rosa pend,hl,+,,,
pb05,salv glut,hl,+,,,
pb05,sedu albu,hl,+,,,
pb05,sesl caer,hl,+,,,
pb05,sile nuta nuta,hl,+,,,
pb05,soli virg virg,hl,+,,,
pb05,sorb aria,hl,+,,,
pb05,tori japo,hl,r,,,
pb05,verb lych,hl,r,cf.,,
pb05,vero cham cham,hl,+,,,
pb05,vinc hiru,hl,+,,,
pb05,viol coll,hl,r,,,
pb05,acer plat,sl,+,,,
pb05,corn sang slat,sl,+,,,
pb05,cory avel,sl,1,,,
pb05,crat mono,sl,+,,,
pb05,euon euro,sl,+,,,
pb05,euon lati,sl,1,,,
pb05,frax exce,sl,+,,,
pb05,ligu vulg,sl,+,,,
pb05,loni xylo,sl,+,,,
pb05,prun aviu slat,sl,+,,,
pb05,rosa cani,sl,+,,,
pb05,sorb aria,sl,1,,,
pb05,tili plat,sl,+,,,
pb05,frax exce,tl1,2a,,,
pb05,tili plat,tl1,4,,,
pb05,acer plat,tl2,1,,,
pb05,frax exce,tl2,1,,,
pb05,hede heli,tl2,1,,,
pb05,sorb aria,tl2,1,,,
pb05,tili plat,tl2,1,,,
pb06,acer plat,hl,+,,,
pb06,arab aren,hl,+,,,
pb06,aspl tric quad,hl,+,,,
pb06,brac sylv,hl,2b,,,
pb06,brom bene,hl,+,,,
pb06,cala vari,hl,1,,,
pb06,camp trac,hl,+,,,
pb06,care humi,hl,2a,,,
pb06,clin vulg vulg,hl,2a,,,
pb06,corn sang slat,hl,+,,,
pb06,crat mono,hl,+,,,
pb06,digi gran,hl,r,,,
pb06,euon euro,hl,+,,,
pb06,euon lati,hl,+,,,
pb06,frag vesc,hl,1,,,
pb06,frax exce,hl,+,,,
pb06,gera robe,hl,+,,,
pb06,geum urba,hl,+,,,
pb06,hede heli,hl,+,,,
pb06,hepa nobi,hl,+,,,
pb06,hier bifi,hl,+,,,
pb06,hier muro,hl,+,,,
pb06,inul cony,hl,1,,,
pb06,ligu vulg,hl,+,,,
pb06,loni xylo,hl,+,,,
pb06,orig vulg,hl,+,,,
pb06,poa nemo,hl,2b,,,
pb06,prun spin,hl,+,,,
pb06,rham cath,hl,+,,,
pb06,rubu idae,hl,+,,,
pb06,salv glut,hl,+,,,
pb06,sesl caer,hl,+,,,
pb06,soli virg virg,hl,+,,,
pb06,sorb aria,hl,+,,,
pb06,tori japo,hl,+,,,
pb06,ulmu glab,hl,+,,,
pb06,vero cham cham,hl,+,,,
pb06,vinc hiru,hl,+,,,
pb06,viol alba slat,hl,+,cf.,,
pb06,viol coll,hl,r,,,
pb06,acer plat,sl,2b,,,
pb06,corn sang slat,sl,1,,,
pb06,cory avel,sl,+,,,
pb06,crat mono,sl,+,,,
pb06,euon lati,sl,1,,,
pb06,frax exce,sl,2b,,,
pb06,ligu vulg,sl,+,,,
pb06,loni xylo,sl,+,,,
pb06,prun aviu slat,sl,+,,,
pb06,prun spin,sl,+,,,
pb06,rosa cani,sl,+,,,
pb06,sorb aria,sl,+,,,
pb06,ulmu glab,sl,+,,,
pb06,acer plat,tl1,2a,,,
pb06,tili plat,tl1,3,,,
pb06,acer plat,tl2,1,,,
pb06,frax exce,tl2,2a,,,
pb06,sorb aria,tl2,1,,,
pb06,taxu bacc,tl2,2a,,,
pb06,tili plat,tl2,1,,,
pb07,acer plat,hl,1,,,
pb07,acer pseu,hl,+,,,
pb07,achi mill aggr,hl,+,,,
pb07,agro capi,hl,+,,,
pb07,brom bene,hl,+,,,
pb07,cala vari,hl,1,,,
pb07,camp rapu rapu,hl,+,,,
pb07,care alba,hl,+,,,
pb07,care digi,hl,+,,,
pb07,care humi,hl,2a,,,
pb07,care pilu pilu,hl,r,,,
pb07,clin vulg vulg,hl,+,,,
pb07,corn sang slat,hl,+,,,
pb07,cory avel,hl,+,,,
pb07,dact glom glom,hl,+,,,
pb07,euon euro,hl,+,,,
pb07,euon lati,hl,+,,,
pb07,euph cypa,hl,+,,,
pb07,fagu sylv,hl,+,,,
pb07,fest amet amet,hl,r,,,
pb07,frag vesc,hl,1,,,
pb07,frax exce,hl,+,,,
pb07,gali moll,hl,+,,,
pb07,hede heli,hl,+,,,
pb07,hepa nobi,hl,+,,,
pb07,hier muro,hl,+,,,
pb07,hype perf,hl,+,,,
pb07,ligu vulg,hl,+,,,
pb07,luzu luzu ides,hl,+,,,
pb07,orig vulg,hl,1,,,
pb07,pice abie,hl,+,,,
pb07,poly cham,hl,+,,,
pb07,quer robu,hl,+,,,
pb07,rham cath,hl,r,,,
pb07,rosa arve,hl,+,,,
