Relevee number                                                       1
                                 1   2   3   4   5   6   7   8   9   0

Elyna myosuroides                3   3   4   1   b   4   a   a   b   b
Campanula tatrae                 +   +   +   +   +   +   .   +   +   .
Dactylina madreporiformis        1   +   +   +   +   .   a   .   +   1
Rhodiola rosea                   +   +   +   +   r   .   .   r   r   +
Oxytropis halleri                +   .   b   b   .   .   a   1   +   +
Primula minima                   +   .   +   +   1   m   .   1   .   +
Ligusticum mutettinoides         r   1   1   +   +   +   .   .   .   +
Agrostis alpina                  .   .   .   .   b   1   b   a   1   1
Thymus alpestris                 .   .   +   1   +   1   +   1   .   .
Carex fuliginosa                 .   +   .   1   a   +   .   +   .   +
Poa alpina                       +   +   +   +   .   +   +   .   .   .
Oxytropis carpatica              .   +   +   +   .   +   .   .   .   +
Luzula mutabilis                 .   .   +   +   +   +   .   .   .   .

Androsace chamaejasme            +   m   m   1   +   1   m   m   +   +
Cerastium eriophorum             .   +   a   a   1   1   +   1   +   +
Minuartia sedoides               1   +   1   a   +   +   +   1   .   .
Saxifraga paniculata             +   .   1   b   .   +   b   b   b   1
Arenaria tenella                 +   +   .   .   .   .   a   +   1   +
Antennaria carpatica             .   .   1   +   .   +   .   r   .   +
Draba aizoides                   .   .   .   1   .   .   1   .   +   +

Carex capilaris                  .   .   .   .   .   .   1   a   +   1
Saxifraga oppositifolia          m   +   .   1   .   +   .   .   .   .
Myosotis alpestris               .   +   +   +   .   .   .   .   .   .
Kobresia simpliciuscula          +   1   .   .   .   .   .   .   .   .
Carex atrata                     .   +   .   .   .   .   .   .   .   .
Sedum atratum                    .   .   .   .   .   .   +   .   .   .

Lloydia serotina                 1   1   m   m   1   1   1   m   .   +
Comastoma tenellum               +   +   +   +   .   +   .   r   .   +
Pedicularis oederi               +   .   1   +   .   .   .   +   .   .
Minuartia gerardii               +   .   +   1   .   +   .   .   .   .
Aster alpinus                    .   .   .   .   .   .   1   b   1   1
Gentiana nivalis                 .   .   .   .   .   .   .   +   .   +
Draba fladnizensis               .   .   .   +   .   .   .   +   .   .
Erigeron hungaricus              .   .   .   +   .   .   .   .   .   .
