plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location;obsrever
pg01;95;0;0;0;95;1;0;0;0;0,6;0,25;4;4;SW;3;0;5;0;2015-05-13;47.949504N;13.253013E;10;Arrhenatherion elatioris;;vergleyte Braunerde;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg02;97;0;0;0;97;0;0;0;0;0,7;0,3;4;4;SW;3;0;3;0;2015-05-13;47.949565N;13.253804E;10;Arrhenatherion elatioris;;vergleyte Braunerde;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg03;96;0;0;0;96;1;0;0;0;0,8;0,15;4;4;SW;5;0;4;0;2015-05-13;47.949511N;13.254693E;10;Arrhenatherion elatioris;;vergleyte Braunerde;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg04;97;0;0;0;97;1;0;0;0;0,7;0,15;4;4;SW;4;0;3;0;2015-05-13;47.949825N;13.251966E;10;Arrhenatherion elatioris;;vergleyte Braunerde;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg05;99;0;0;0;97;15;0;0;0;0,5;0,2;4;4;F;0;0;0;0;2015-05-13;47.950012N;13.252122E;10;Calthion;;Anmoor;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg06;97;0;0;0;97;1;0;0;0;0,9;0,15;4;4;SW;3;0;3;0;2015-05-13;47.950759N;13.251804E;10;Arrhenatherion elatioris;;vergleyte Braunerde;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg07;100;0;0;0;100;1;0;0;0;0,8;0,5;4;4;W;2;0;0;0;2015-05-29;47.950018N;13.252367E;10;Filipendulion;;Anmoor;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg08;100;0;0;0;100;0;0;0;0;1;0,4;4;4;SW;2;0;0;0;2015-05-29;47.949221N;13.252037E;10;Arrhenatherion elatioris;;vergleyte Braunerde;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg09;90;0;0;0;90;1;0;0;0;0,8;0,3;4;4;SW;3;0;10;0;2015-05-29;47.950783N;13.252874E;10;Arrhenatherion elatioris;;Braunerde;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg10;90;0;0;0;90;0;0;0;0;0,9;0,2;4;4;SW;7;0;10;0;2015-05-29;47.950325N;13.253708E;10;Arrhenatherion elatioris;;Braunerde;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg11;97;0;0;0;97;0;0;0;0;1;0,4;4;4;SW;1;0;0;0;2015-05-29;47.950602N;13.253860E;10;Arrhenatherion elatioris;;Braunerde;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg12;97;0;0;0;97;1;0;0;0;0,6;0,15;4;4;SW;3;0;0;0;2015-05-29;47.951807N;13.253589E;10;Arrhenatherion elatioris;;Braunerde;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
pg13;99;0;0;0;80;95;0;0;0;0,9;0,15;4;4;W;5;0;0;0;2015-05-29;47.951324N;13.253017E;10;Arrhenatherion elatioris;;Gley;;Neumarkt am Wallersee, Pfongau;R. Kaiser & T. Eberl
