plot;abbr;layer;cov;source.taxon
116;gent pann;hl;1;Gentiana pannonica
116;poly cham;hl;1;Polygala chamaebuxus
116;pote erec;hl;1;Potentilla erecta
116;sold alpi;hl;+;Soldanella alpina
116;vale saxa;hl;r;Valeriana saxatilis
116;bisc laev laev;hl;r;Biscutelia laevigata
117;lari deci deci;hl;r;Larix decidua
117;leon hisp slat;hl;r;Leontodon hispidus
117;pice abie;hl;r;Picea abies
117;trif prat slat;hl;r;Trifolium pratense
117;thym pule pule;hl;r;Thymus pulegioides
117;sorb aucu slat;hl;r;Sorbus aucuparia
118;anth alpi;hl;+;Anthoxanthum alpinum
118;trif prat slat;hl;+;Trifolium pratense
118A;parn palu;hl;r;Pamassia palustris
118A;juni comm nana;hl;r;Juniperus nana
118A;hier bifi;hl;r;Hieracium bifidum
118A;gent aspe;hl;r;Gentianella aspera
118A;cera font;hl;r;Cerastium fontanum
119;leon hisp slat;hl;+;Leontodon hispidus
119;tofi caly;hl;+;Tofleldia calyculata
119;trif prat slat;hl;r;Trifolium pratense
119;prun vulg;hl;r;Prunella vulgaris
119;orch ustu ustu;hl;r;Orchis ustulata
119;linu cath;hl;r;Linum catharticum
119;gent niva;hl;r;Gentiana nivalis
119;care lepi;hl;r;Carex lepidocarpa
119;arab aren;hl;r;Cardaminopsis arenosa
119;aren serp;hl;r;Arenaria serpyllifolia
119;anth alpi;hl;r;Anthoxanthum alpinum
120;atha cret;hl;+;Athamantha cretensis
120;coel viri;hl;r;Coeloglossum viride
121;hier bifi;hl;+;Hieracium bifidum
121;pote erec;hl;+;Potentilla erecta
121;vale saxa;hl;r;Valeriana saxatilis
121;care mucr;hl;r;Carex mucronata
121;gent pann;hl;r;Gentiana pannonica
121;gymn odor;hl;r;Gymnadenia odoratissima
122;sold aust;hl;+;Soldanella austriaca
122;gent vern vern;hl;r;Gentiana verna
125;saxi aizo;hl;1;Saxifraga aizoides
125;crep terg;hl;+;Crepis terglouensis
125;tofi caly;hl;+;Tofieldia calyculata
125;bart alpi;hl;r;Bartsia alpina
125;tort tort;ml;r;Tortella tortuosa
126;saxi mosc;hl;+;Saxifraga moschata
126;fest rupi rina;hl;+;Festuca rupicaprina
127;mute adon;hl;3;Ligusticum mutellina
127;sold alpi;hl;3;Soldanella alpina
127;luzu glab;hl;1;Luzula glabrata
128;cera arve stri;hl;r;Cerastium arvense ssp. strictum
