plot;latitude;longitude;accuracy;syntaxon;location;date;reamarks
116;47.75476;13.57157;50;Caricetum ferrugineae;Rostseggenwiese auf der ENE-Seite des Leonsberges bei Bad Ischl;1992-06-27;Foto 135 - Gleichmäfiige, frisch-dunkelgrüne Rasen, deren Frühsommeraspekt vom Gelb der Trollblumen beherrscht wird
117;47.65185;14.26585;50;Caricetum ferrugineae;Hochstaudige, hochmontane Rostseggenwiese (Caricetum ferrugineae) auf der Wurzer-Alm oberhalb des Brunnsteiner-Sees, SE-exponierter Hang über stabilisiertem Kalkschutt mit 100 % Deckung;1992-07-27;Foto 134 - Nach oben zu auf festerem Untergrund in ein Semperviretum mit Helictotrichon parlatorei übergehend
118;47.71988;13.83777;50;Seslerio-Caricetum sempervirentis Ausb. mit Helictotrichon parlatoreii;Frische Violettschwingelwiese (Trifolio-Festucetumviolaceae) an der Westflanke des Rinner-Kogels im Toten Gebirge (bereits auf steirischem Gebiet) ,westseitige, tiefgründige, sanfte Hangmulde;1991-08-07;Der Violettschwingel (F. norica) dominiert hier den Bestand völlig, fehlt aber auch den angrenzenden, flachgründigeren Bereichen nicht, wo er allerdings mengenmäßig zugunsten von Carex sempervirens und seinen typischen Begleitern markant zurücktritt, die relative Artenarmut dieser Aufnahme erklärt sich z.T. auch durch die vergleichsweise sehr kleine Aufhahmefläche von etwa 6 m2
118A;47.51169;13.69349;500;Seslerio-Caricetum sempervirentis Ausb. mit Helictotrichon parlatoreii;Violettschwingelwiese (F. norico-Ausbildung des Seslerio-Semperviretums) am Dachstein-Massiv, zwischen Däumel-See und Hirzkar, kleine SW-exponierte Böschung am Rand eines Latschenbestandes;1992-08-09;Sehr blüten-und schmetterlingsreich
119;47.61745;14.32634;200;Seslerio-Caricetum sempervirentis;"Beweidetes Seslerio-Semperviretum (""Steinrasen-Weide"") am Aufstieg von der Oberen Fuchsalm zur Höhe westlich des Lahnerkogels (Pyhrnpaßgebiet), steiler W-Hang";1992-07-19;In den letzten Jahren wurde offenbar kein Vieh menr aufgetrieben, nach oben zu immer flachgründiger und in Polsterseggenvegetation übergehend, in einer Rodungsinsel im Latschengürtel wurde die Vegetationsdecke völlig wegerodiert! Bemerkenswert der völlige Ausfall von Helictotrichon parlatorei
120;47.61824;14.33241;150;Seslerio-Caricetum sempervirentis;"Unbeweideter Horstseggenbestand mit Parlatore-Wiesenhafer (Seslerio-Semperviretum in der ""typischen Ausbildung mit H. parlatorei"") im Gipfelbereich des Lahnerkogels (Pyhmpaßgebiet), S-exponierter Hang";1992-07-19;
121;47.61662;14.33807;200;Seslerio-Caricetum sempervirentis;"Unbeweideter Horstseggenbestand mit dominierendem Parlatore-Wiesenhafer (Seslerio-Semperviretum in der ""typischen Ausbildung mit H. parlatorei""') am Abstieg vom Kitzstein (Bosruckkamm)";1992-07-19;
122;47.65279;14.39613;50;Caricteum firmae;Teilweise versauerter Plateau-Polsterseggenrasen der alpinen Stufe (Caricetum firmae loiseleurietosum procumbentis), Großer Pyhrgas, auf den wenig geneigten Flächen W des Gipfels;1992-07-20;Braungrüne, sehr blütenleere Rasen auf dicker Humusschicht, übergehend in Dryas-reichen Polsterseggenrasen an den flachgründigeren Stellen
123;47.50030;13.64706;200;Caricteum firmae;Etwas versauerter Polsterseggenrasen (Caricetum firmae loiseleurietosum procumbentis) am Dachstein-Massiv, Plateaufläche S des Tauben-Kogels;1992-08-10;
124;47.50558;13.65237;200;Caricteum firmae;Polsterseggenrasen (Caricetum firmae) am Aufstieg auf den Tauben-Kogel von E (Dachstein-Massiv), ostexponierter Rücken;1992-08-10;
125;47.66116;14.26585;50;Caricteum firmae;"Versauerte Windrasen (Caricetum firmae loiseleurietosum procumbentis) am Warscheneck auf der ""Speikwiese""";1992-07-27;Teilweise geschlossene Rasen mit viel Polstersegge, teilweise offene Kalkschuttinseln
126;47.65657;14.24058;100;Caricteum firmae;Hochalpiner Polsterseggenrasen (Caricetum firmae) am Warscheneck N des Gipfels in einer tiefgründigeren Mulde;1992-07-27;
127;47.51911;13.70249;20;Salicetum retuso-reticulatae;Schneebodenartiger Rasen (Salicelum reluso-reliculalae) am schattigen S-Ufer des Däumel-Sees (Dachstein-Massiv);1992-08-09;Übergehend in offene, feuchte Steinschuttfluren mit Doronicum grandiflorum (Kleinmoose 1)
128;47.50030;13.64706;200;Salicetum retuso-reticulatae;Hochalpine, versauerte Schneebodengesellschaft (Salicelum retuso-reliculalae, mit Anklängen an das Salicelum herbaceae) auf der Plateaufläche S des Tauben-Kogels (Dachstein-Massiv);1992-08-10;
129;47.65279;14.39613;100;Peucedano ostruthii-Cirsietum spinosissimi;Alpine Lägerflur mit Stacheliger Kratzdistel (Peucedano ostruthii-Cirsietum spinosissimi) unterhalb des Gipfels des Großen Pyhrgas, geschützte Mulde mit Feinerdeansammlung;1992-07-20;Foto 136
