taxon;matched.taxon
Gentiana pannonica;Gentiana pannonica
Polygala chamaebuxus;Polygala chamaebuxus
Potentilla erecta;Potentilla erecta
Soldanella alpina;Soldanella alpina
Valeriana saxatilis;Valeriana saxatilis
Biscutelia laevigata;Biscutella laevigata ssp. laevigata
Larix decidua;Larix decidua
Leontodon hispidus;Leontodon hispidus s.lat.
Picea abies;Picea abies
Trifolium pratense;Trifolium pratense s.lat.
Thymus pulegioides;Thymus pulegioides ssp. pulegioides
Sorbus aucuparia;Sorbus aucuparia s.lat.
Anthoxanthum alpinum;Anthoxanthum alpinum
Trifolium pratense;Trifolium pratense s.lat.
Parnassia palustris;Parnassia palustris
Juniperus nana;Juniperus communis ssp. nana
Hieracium bifidum;Hieracium bifidum
Gentianella aspera;Gentianella aspera
Cerastium fontanum;Cerastium fontanum s.str.
Leontodon hispidus;Leontodon hispidus s.lat.
Tofieldia calyculata;Tofieldia calyculata
Trifolium pratense;Trifolium pratense s.lat.
Prunella vulgaris;Prunella vulgaris
Orchis ustulata;Orchis ustulata ssp. ustulata
Linum catharticum;Linum catharticum
Gentiana nivalis;Gentiana nivalis
Carex lepidocarpa;Carex lepidocarpa
Cardaminopsis arenosa;Arabidopsis arenosa
Arenaria serpyllifolia;Arenaria serpyllifolia s.str.
Anthoxanthum alpinum;Anthoxanthum alpinum
Athamantha cretensis;Athamanta cretensis
Coeloglossum viride;Coeloglossum viride
Hieracium bifidum;Hieracium bifidum
Potentilla erecta;Potentilla erecta
Valeriana saxatilis;Valeriana saxatilis
Carex mucronata;Carex mucronata
Gentiana pannonica;Gentiana pannonica
Gymnadenia odoratissima;Gymnadenia odoratissima
Soldanella austriaca;Soldanella austriaca
Gentiana verna;Gentiana verna ssp. verna
Saxifraga aizoides;Saxifraga aizoides
Crepis terglouensis;Crepis terglouensis
Tofieldia calyculata;Tofieldia calyculata
Bartsia alpina;Bartsia alpina
Tortella tortuosa;Tortella tortuosa
Saxifraga moschata;Saxifraga moschata
Festuca rupicaprina;Festuca rupicaprina
Ligusticum mutellina;Mutellina adonidifolia
Soldanella alpina;Soldanella alpina
Luzula glabrata;Luzula glabrata
Cerastium arvense ssp. strictum;Cerastium arvense ssp. strictum
