"plot";"abbr";"layer";"cov"
"f10";"andr poli";"hl";1
"f10";"anth odor";"hl";1
"f10";"card prat aggr";"hl";1
"f10";"care dava";"hl";1
"f10";"care echi";"hl";1
"f10";"care nigr";"hl";1
"f10";"care rost";"hl";1
"f10";"cirs palu";"hl";1
"f10";"dact lapp";"hl";1
"f10";"dact macu slat";"hl";1
"f10";"dact maja slat";"hl";1
"f10";"desc cesp";"hl";1
"f10";"equi sylv";"hl";1
"f10";"erio angu";"hl";1
"f10";"homo alpi";"hl";1
"f10";"luzu sude";"hl";1
"f10";"nard stri";"hl";1
"f10";"pers bist";"hl";1
"f10";"pote erec";"hl";1
"f10";"ranu mont";"hl";1
"f10";"swer pere";"hl";1
"f10";"vacc myrt";"hl";1
"f10";"vacc viti";"hl";1
"f10";"will stip stip";"hl";1
"f10";"spha spec ies";"ml";1
"f10";"unde bryo";"ml";1
"f10";"pice abie";"sl";1
"f11";"andr poli";"hl";1
"f11";"care dioi";"hl";1
"f11";"care nigr";"hl";1
"f11";"care rost";"hl";1
"f11";"equi sylv";"hl";1
"f11";"erio angu";"hl";1
"f11";"erio vagi";"hl";1
"f11";"homo alpi";"hl";1
"f11";"juni comm comm";"hl";1
"f11";"lari deci deci";"hl";1
"f11";"luzu pilo";"hl";1
"f11";"luzu sude";"hl";1
"f11";"mela sylv";"hl";1
"f11";"moli caer aggr";"hl";1
"f11";"nard stri";"hl";1
"f11";"parn palu";"hl";1
"f11";"pers bist";"hl";1
"f11";"pice abie";"hl";1
"f11";"pote erec";"hl";1
"f11";"ranu mont";"hl";1
"f11";"vacc myrt";"hl";1
"f11";"vacc ulig";"hl";1
"f11";"vacc viti";"hl";1
"f11";"vale dioi dioi";"hl";1
"f11";"spha spec ies";"ml";1
"f11";"unde bryo";"ml";1
"f11";"lari deci deci";"sl";1
"m01";"andr poli";"hl";1
"m01";"anth odor";"hl";1
"m01";"call vulg";"hl";1
"m01";"card prat aggr";"hl";1
"m01";"care nigr";"hl";1
"m01";"cirs palu";"hl";1
"m01";"equi sylv";"hl";1
"m01";"erio angu";"hl";1
"m01";"homo alpi";"hl";1
"m01";"luzu sude";"hl";1
"m01";"moli caer aggr";"hl";1
"m01";"nard stri";"hl";1
"m01";"parn palu";"hl";1
"m01";"pice abie";"hl";1
"m01";"pote erec";"hl";1
"m01";"sela sela";"hl";1
"m01";"tric cesp cesp";"hl";1
"m01";"trif prat prat";"hl";1
"m01";"vacc micr";"hl";1
"m01";"viol palu";"hl";1
"m01";"will stip stip";"hl";1
"m01";"spha spec ies";"ml";1
"m01";"unde bryo";"ml";1
"m01";"pice abie";"sl";1
"m02";"andr poli";"hl";1
"m02";"anth odor";"hl";1
"m02";"call vulg";"hl";1
"m02";"care echi";"hl";1
"m02";"care nigr";"hl";1
"m02";"care rost";"hl";1
"m02";"cirs palu";"hl";1
"m02";"dros rotu";"hl";1
"m02";"erio angu";"hl";1
"m02";"pers bist";"hl";1
"m02";"pote erec";"hl";1
"m02";"tric cesp cesp";"hl";1
"m02";"vacc micr";"hl";1
"m02";"viol palu";"hl";1
"m02";"will stip stip";"hl";1
"m02";"spha spec ies";"ml";1
"m02";"unde bryo";"ml";1
"m03";"andr poli";"hl";1
"m03";"anth odor";"hl";1
"m03";"card prat aggr";"hl";1
"m03";"care echi";"hl";1
"m03";"care nigr";"hl";1
"m03";"care rost";"hl";1
"m03";"cirs palu";"hl";1
"m03";"dact lapp";"hl";1
"m03";"dros rotu";"hl";1
"m03";"equi sylv";"hl";1
"m03";"erio angu";"hl";1
"m03";"erio lati";"hl";1
"m03";"luzu sude";"hl";1
"m03";"nard stri";"hl";1
"m03";"pers bist";"hl";1
"m03";"pote erec";"hl";1
"m03";"swer pere";"hl";1
"m03";"vacc micr";"hl";1
"m03";"will stip stip";"hl";1
"m03";"spha spec ies";"ml";1
"m03";"unde bryo";"ml";1
"m04";"andr poli";"hl";1
"m04";"anth odor";"hl";1
"m04";"call vulg";"hl";1
"m04";"care dioi";"hl";1
"m04";"care nigr";"hl";1
"m04";"care rost";"hl";1
"m04";"cirs palu";"hl";1
"m04";"equi palu";"hl";1
"m04";"equi sylv";"hl";1
"m04";"erio angu";"hl";1
"m04";"luzu sude";"hl";1
"m04";"moli caer aggr";"hl";1
"m04";"nard stri";"hl";1
"m04";"pote erec";"hl";1
"m04";"tric cesp cesp";"hl";1
"m04";"vacc micr";"hl";1
"m04";"spha spec ies";"ml";1
"m05";"andr poli";"hl";1
"m05";"anth odor";"hl";1
"m05";"bart alpi";"hl";1
"m05";"call vulg";"hl";1
"m05";"care dioi";"hl";1
"m05";"care nigr";"hl";1
"m05";"care rost";"hl";1
"m05";"cirs palu";"hl";1
"m05";"dros rotu";"hl";1
"m05";"equi sylv";"hl";1
"m05";"erio angu";"hl";1
"m05";"erio lati";"hl";1
"m05";"homo alpi";"hl";1
"m05";"moli caer aggr";"hl";1
"m05";"parn palu";"hl";1
"m05";"pote erec";"hl";1
"m05";"tric cesp cesp";"hl";1
"m05";"vacc micr";"hl";1
"m05";"spha spec ies";"ml";1
"m05";"unde bryo";"ml";1
"m06";"andr poli";"hl";1
"m06";"call vulg";"hl";1
"m06";"care rost";"hl";1
"m06";"dros rotu";"hl";1
"m06";"erio angu";"hl";1
"m06";"moli caer aggr";"hl";1
"m06";"parn palu";"hl";1
"m06";"pice abie";"hl";1
"m06";"ping alpi";"hl";1
"m06";"pote erec";"hl";1
"m06";"sela sela";"hl";1
"m06";"tofi caly";"hl";1
"m06";"tric cesp cesp";"hl";1
"m06";"spha spec ies";"ml";1
"m06";"unde bryo";"ml";1
"m07";"andr poli";"hl";1
"m07";"care nigr";"hl";1
"m07";"care rost";"hl";1
"m07";"cirs palu";"hl";1
"m07";"equi sylv";"hl";1
"m07";"erio angu";"hl";1
"m07";"homo alpi";"hl";1
"m07";"juni comm comm";"hl";1
"m07";"moli caer aggr";"hl";1
"m07";"pote erec";"hl";1
"m07";"tric cesp cesp";"hl";1
"m07";"vacc micr";"hl";1
"m07";"vale dioi dioi";"hl";1
"m07";"spha spec ies";"ml";1
"m08";"andr poli";"hl";1
"m08";"anth odor";"hl";1
"m08";"bart alpi";"hl";1
"m08";"care nigr";"hl";1
"m08";"care rost";"hl";1
"m08";"cirs palu";"hl";1
"m08";"equi sylv";"hl";1
"m08";"erio angu";"hl";1
"m08";"erio lati";"hl";1
"m08";"erio vagi";"hl";1
"m08";"luzu sude";"hl";1
"m08";"meny trif";"hl";1
"m08";"moli caer aggr";"hl";1
"m08";"pers bist";"hl";1
"m08";"pote erec";"hl";1
"m08";"tric cesp cesp";"hl";1
"m08";"vacc micr";"hl";1
"m09";"andr poli";"hl";1
"m09";"bart alpi";"hl";1
"m09";"call vulg";"hl";1
"m09";"care rost";"hl";1
"m09";"cirs palu";"hl";1
"m09";"dros rotu";"hl";1
"m09";"equi sylv";"hl";1
"m09";"erio angu";"hl";1
"m09";"erio lati";"hl";1
"m09";"juni comm comm";"hl";1
"m09";"sela sela";"hl";1
"m09";"meny trif";"hl";1
"m09";"moli caer aggr";"hl";1
"m09";"parn palu";"hl";1
"m09";"ping alpi";"hl";1
"m09";"pote erec";"hl";1
"m09";"tofi caly";"hl";1
"m09";"tric cesp cesp";"hl";1
"m09";"unde bryo";"ml";1
"m09";"vale dioi dioi";"hl";1
"m09";"spha spec ies";"ml";1
"m10";"andr poli";"hl";1
"m10";"call vulg";"hl";1
"m10";"care nigr";"hl";1
"m10";"care rost";"hl";1
"m10";"equi sylv";"hl";1
"m10";"juni comm comm";"hl";1
"m10";"moli caer aggr";"hl";1
"m10";"pers bist";"hl";1
"m10";"pote erec";"hl";1
