plot;abbr;layer;cov;comment;voucher;history
rb01;acer plat;hl;1;;;
rb01;anem nemo;hl;+;;;
rb01;brom bene;hl;+;2014-0093;;
rb01;camp rapu rapu;hl;+;;;
rb01;care mont;hl;r;;;
rb01;carp betu;hl;+;;;
rb01;conv maja maja;hl;+;;;
rb01;corn sang slat;hl;1;;;
rb01;crat mono;hl;+;;;
rb01;cycl purp;hl;+;;;
rb01;dact glom glom;hl;+;2014-0090;;
rb01;euon euro;hl;+;;;
rb01;frag vesc;hl;1;;;
rb01;frax exce;hl;+;;;
rb01;gale mont;hl;+;;;
rb01;gali sylv;hl;1;;;
rb01;gera robe;hl;+;;;
rb01;geum urba;hl;+;;;
rb01;hede heli;hl;1;;;
rb01;hylo maxi;hl;r;;;
rb01;hype perf;hl;+;;;
rb01;lath vern;hl;+;;;
rb01;ligu vulg;hl;+;;;
rb01;loni xylo;hl;+;;;
rb01;luzu luzu ides;hl;+;;;
rb01;mela prat;hl;2b;;;
rb01;meli nuta;hl;1;;;
rb01;poa angu;hl;+;;;
rb01;poa nemo;hl;2a;;;
rb01;poly mult;hl;+;;;
rb01;prun aviu slat;hl;+;;;
rb01;quer robu;hl;+;;;
rb01;rham cath;hl;+;;;
rb01;rosa arve;hl;+;;;
rb01;rubu sect rubu;hl;2b;R. hirtus;;
rb01;soli virg virg;hl;+;;;
rb01;sorb aria;hl;+;;;
rb01;taxu bacc;hl;+;;;
rb01;ulmu glab;hl;+;;;
rb01;verb thap;hl;r;;;
rb01;vero teuc;hl;r;;;
rb01;vibu lant;hl;+;;;
rb01;acer plat;sl;+;;;
rb01;carp betu;sl;2a;;;
rb01;corn sang slat;sl;+;;;
rb01;crat mono;sl;+;;;
rb01;euon euro;sl;+;;;
rb01;ligu vulg;sl;+;;;
rb01;loni xylo;sl;+;;;
rb01;quer robu;sl;+;;;
rb01;ribe petr;sl;+;cf.;;
rb01;rosa cani;sl;+;;;
rb01;sorb aria;sl;+;;;
rb01;sorb aucu aucu;sl;+;;;
rb01;taxu bacc;sl;1;;;
rb01;tili cord;sl;1;;;
rb01;vibu lant;sl;+;;;
rb01;quer robu;tl1;5;;;
rb01;acer plat;tl2;1;;;
rb01;carp betu;tl2;3;;;
rb01;prun aviu slat;tl2;2a;;;
rb01;quer robu;tl2;2a;;;
rb01;sorb aria;tl2;2a;;;
rb01;taxu bacc;tl2;1;;;
rb01;tili cord;tl2;1;;;
rb01;tili plat;tl2;1;;;
rb02;acer plat;hl;+;;;
rb02;aspl ruta;hl;+;;;
rb02;brom bene;hl;+;;;
rb02;cala vari;hl;2a;;;
rb02;camp coch;hl;2a;;;
rb02;camp rapu rapu;hl;+;;;
rb02;care digi;hl;+;;;
rb02;care orni orni;hl;+;;;
rb02;carp betu;hl;+;;;
rb02;clem vita;hl;+;;;
rb02;corn sang slat;hl;1;;;
rb02;cory avel;hl;1;;;
rb02;coto hori;hl;+;;;
rb02;coto inte;hl;r;;;
rb02;cycl purp;hl;+;;;
rb02;dact glom glom;hl;+;;;
rb02;euph cypa;hl;+;;;
rb02;euph sali;hl;+;;;
rb02;fest hete ylla;hl;1;;;
rb02;frag mosc;hl;r;cf.;;
rb02;frag vesc;hl;+;;;
rb02;frax exce;hl;+;;;
rb02;gale mont;hl;+;;;
rb02;gali sylv;hl;1;;;
rb02;geni tinc;hl;+;;;
rb02;hede heli;hl;2a;;;
rb02;hepa nobi;hl;+;;;
rb02;hier bifi;hl;+;;;
rb02;hier muro;hl;+;;;
rb02;hier saba;hl;+;;;
rb02;hylo maxi;hl;r;;;
rb02;hype perf;hl;+;;;
rb02;lath vern;hl;+;;;
rb02;lotu corn;hl;r;;;
rb02;luzu luzu ides;hl;+;;;
rb02;mela prat;hl;2a;;;
