plot;abbr;layer;cov;voucher;comment;history
rx01;agro alpi;hl;2a;;;
rx01;alec ochr;ml;r;;;
rx01;andr cham;hl;1;;;
rx01;bart alpi;hl;+;;;
rx01;bisc laev aust;hl;+;;;
rx01;calo spec ies;ml;+;;;
rx01;camp alpi;hl;+;;;
rx01;care firm;hl;3;;;
rx01;cetr isla isla;ml;+;;;
rx01;cham alpi;hl;+;;;
rx01;clad pyxi;ml;+;;;
rx01;dian alpi;hl;+;;;
rx01;drya octo;hl;2b;;;
rx01;euph mini;hl;+;;;
rx01;euph offi pict;hl;+;;;
rx01;euph sali;hl;+;;;
rx01;fest pumi;hl;+;;;
rx01;fest vers brac;hl;+;;;
rx01;flav cucu;ml;+;;;
rx01;flav niva;ml;+;;;
rx01;gali nori;hl;+;;;
rx01;gent pumi;hl;+;;;
rx01;heli alpe;hl;+;;;
rx01;leon hisp slat;hl;r;;;
rx01;lois proc;hl;+;;;
rx01;minu sedo;hl;+;;;
rx01;pedi port;hl;r;;cf.;
rx01;pedi rost tata;hl;+;;;
rx01;phyt orbi;hl;r;;;
rx01;prim auri balb;hl;r;;;
rx01;prim clus;hl;1;;;
rx01;pseu furf slat;ml;r;;;
rx01;saus pygm;hl;1;;;
rx01;sesl caer;hl;1;;;
rx01;sile acau long;hl;+;;;
rx01;tham verm verm;ml;+;;;
rx01;tort tort;ml;+;;;
rx01;vacc viti;hl;r;;;
rx01;viol alpi;hl;+;;;
rx01;viol bifl;hl;+;;;
rx01;vulp tubu;ml;+;;;
rx02;agro alpi;hl;1;;;
rx02;agro rupe rupe;hl;+;;;
rx02;andr cham;hl;+;;;
rx02;arme alpi;hl;+;;;
rx02;bart alpi;hl;+;;;
rx02;bisc laev aust;hl;+;;;
rx02;brac glar glar;ml;+;;;
rx02;camp alpi;hl;+;;;
rx02;camp sche;hl;+;;;
rx02;care atra;hl;+;;;
rx02;care capi;hl;1;;;
rx02;care firm;hl;2b;;;
rx02;cetr eric;ml;+;;;
rx02;cetr isla isla;ml;+;;;
rx02;cham alpi;hl;+;;;
rx02;clad pyxi;ml;+;;;
rx02;clad rang;ml;+;;;
rx02;dian alpi;hl;+;;;
rx02;drya octo;hl;2a;;;
rx02;empe nigr;hl;2m;;;
rx02;euph mini;hl;+;;;
rx02;euph sali;hl;+;;;
rx02;fest vers brac;hl;2b;2012-0132;;
rx02;flav cucu;ml;+;;;
rx02;gali nori;hl;r;;;
rx02;gent pumi;hl;r;;;
rx02;heli alpe;hl;+;;;
rx02;leon hisp slat;hl;r;;;
rx02;lois proc;hl;2a;;;
rx02;minu sedo;hl;+;;;
rx02;pedi rost tata;hl;+;;;
rx02;pers vivi;hl;+;;;
rx02;poly juni;ml;+;;;
rx02;pote cran;hl;r;;;
rx02;prim clus;hl;+;;;
rx02;ranu alpe;hl;+;;;
rx02;sali alpi;hl;r;;;
rx02;sali retu;hl;1;;;
rx02;sile acau long;hl;+;;;
rx02;tham verm verm;ml;+;;;
rx02;tort tort;ml;+;;;
rx02;vacc gaul;hl;2b;;;
rx02;vacc viti;hl;2b;;;
rx02;viol alpi;hl;+;;;
rx03;agro alpi;hl;+;;;
rx03;agro rupe rupe;hl;+;;;
rx03;alec ochr;ml;+;;;
rx03;andr cham;hl;+;;;
rx03;arme alpi;hl;+;;;
rx03;bart alpi;hl;+;;;
rx03;bisc laev aust;hl;+;;;
rx03;camp alpi;hl;+;;;
rx03;care atra;hl;r;;;
rx03;care capi;hl;+;;;
rx03;care firm;hl;4;;;
rx03;cetr eric;ml;r;;;
rx03;cetr isla isla;ml;+;;;
rx03;cham alpi;hl;+;;;
rx03;clad pyxi;ml;+;;;
rx03;drya octo;hl;2a;;;
rx03;empe nigr;hl;1;;;
rx03;euph sali;hl;+;;;
rx03;fest vers brac;hl;2a;;;
rx03;flav cucu;ml;+;;;
rx03;flav niva;ml;r;;;
rx03;heli alpe;hl;+;;;
rx03;lois proc;hl;2a;;;
rx03;minu sedo;hl;+;;;
rx03;pedi rost tata;hl;+;;;
rx03;pers vivi;hl;+;;;
rx03;petr pyre;hl;+;2012-0131;;
rx03;prim auri balb;hl;+;;;
rx03;prim clus;hl;2a;;;
rx03;sali retu;hl;+;;;
rx03;sela sela;hl;+;;;
rx03;sesl caer;hl;1;;;
rx03;sile acau long;hl;+;;;
rx03;tham verm verm;ml;+;;;
rx03;tort tort;ml;+;;;
rx03;viol alpi;hl;+;;;
rx03;vulp tubu;ml;+;;;
rx04;agro alpi;hl;+;;;
rx04;alec ochr;ml;r;;;
rx04;andr cham;hl;+;;;
rx04;arme alpi;hl;+;;;
rx04;bart alpi;hl;+;;;
rx04;calo spec ies;ml;+;;;
rx04;care atra;hl;+;;;
rx04;care firm;hl;3;;;
rx04;cetr eric;ml;+;;;
rx04;cetr isla isla;ml;+;;;
rx04;cham alpi;hl;+;;;
rx04;clad pyxi;ml;+;;;
rx04;euph sali;hl;+;;;
rx04;fest pumi;hl;+;;;
rx04;fest vers brac;hl;1;;;
rx04;gent pumi;hl;+;;;
rx04;heli alpe;hl;+;;;
rx04;hupe sela;hl;+;;;
rx04;lois proc;hl;r;;;
rx04;pach mute;hl;+;2012-0130;;
rx04;pedi rost tata;hl;+;;;
rx04;pers vivi;hl;+;;;
rx04;petr pyre;hl;+;;;
rx04;ping alpi;hl;+;;;
rx04;prim clus;hl;+;;;
rx04;ranu alpe;hl;+;;;
rx04;sali alpi;hl;r;2012-0129;;
rx04;sali reti;hl;r;;;
rx04;sali retu;hl;+;;;
rx04;saxi caes;hl;r;;;
rx04;saxi pani;hl;r;;;
rx04;sesl caer;hl;+;;;
rx04;sile acau long;hl;+;;;
rx04;tham verm verm;ml;+;;;
