"plot";"abbr";"layer";"cov";"comment";"history"
"rm01";"scho nigr";"hl";5;;
"rm01";"moli caer";"hl";"2a";;
"rm01";"frax exce";"hl";"+";;
"rm01";"pice abie";"hl";"+";;
"rm01";"pice abie";"sl";"+";;
"rm01";"camp stel";"ml";1;;
"rm01";"bryu pseu pseu";"ml";1;;
"rm01";"dros angl";"hl";"+";;
"rm01";"palu comm slat";"ml";"2b";"cf.";
"rm01";"crat fili";"ml";"+";"cf.";
"rm01";"epip palu";"hl";"+";;
"rm01";"utri mino";"hl";"+";;
"rm01";"betu pend";"hl";"+";;
"rm01";"prim fari";"hl";1;;
"rm01";"unde bryo";"ml";"+";"cf.";
"rm01";"eupa cann";"hl";1;;
"rm01";"tofi caly";"hl";"+";;
"rm01";"parn palu";"hl";"+";;
"rm01";"pote erec";"hl";"+";;
"rm01";"phra aust";"hl";"+";;
"rm01";"ping vulg";"hl";"+";;
"rm01";"equi palu";"hl";"+";;
"rm01";"poly spec ies";"ml";"+";;
"rm01";"care dava";"hl";1;;
"rm01";"phil calc";"ml";"+";"cf.";
"rm01";"gent ascl";"hl";"+";;
"rm01";"alnu glut";"hl";"r";;
"rm01";"dros rotu";"hl";"+";;
"rm01";"care flav flav";"hl";"+";;
"rm01";"spha mage";"ml";1;"cf.";
"rm01";"gymn cono cono";"hl";"r";;
"rm01";"fran alnu";"hl";"+";;
"rm01";"succ prat";"hl";"+";;
