plot,plsx,plsy,slope,aspect,remarks,cov,hcov,mcov,bare,hhl1,hhl2,date,date1,date2,latitude,longitude,accuracy,elevation,alliance.code,alliance,association,comment,location,observer,remarks,biotope.type
rw01-2019,4,4,3,NE,0,100,100,85,3,300,35,2019-05-14,2019-05-14,2019-07-08,48.370421,12.973611,8,449,SCH-01A,Caricion davallianae Klika 1934,Parnassio-Caricetum fuscae,3 % bare soil,NE Willing,T. Windmaißer & T. Hermann,heights: 30-40/300 (Phragmites),GN00BK
rw02-2019,4,4,2,NNE,0,100,100,80,0,150,100,2019-05-14,2019-05-14,2019-07-08,48.369849,12.979980,8,408,SCH-01A,Caricion davallianae Klika 1934,Caricetum davallianae,,WSW Haidberg,T. Windmaißer & T. Hermann,heights: 80-120 (150),GN00BK
rw03-2019,4,4,10,NE,0,100,98,90,0,100,55,2019-05-14,2019-05-14,2019-07-08,48.369652,12.980014,8,431,MOL-05A,Molinion caeruleae Koch 1926,Molinietum coeruleae -caricetosum davallianae,litter layer,WSW Haidberg,T. Windmaißer & T. Hermann,heights: 50-60 (100 Cirsium),MF7230
rw04-2019,4,4,3,NNE,0,100,15,99,0,120,35,2019-05-14,2019-05-14,2019-08-22,48.373898,12.976668,8,430,MOL-05A,Molinion caeruleae Koch 1926,Molinietum coeruleae -caricetosum davallianae,bush encroachment,S Reslberg,T. Windmaißer & T. Hermann,heights: 35-120 (Frangula),MO7140
rw05-2019,4,4,2,NE,0,100,87,95,0,NA,35,2019-05-14,2019-05-14,2019-08-22,48.373379,12.977256,8,428,MOL-05A,Molinion caeruleae Koch 1926,Molinietum coeruleae,,S Reslberg,T. Windmaißer & T. Hermann,heights: 35,MF00BK
rw06-2019,4,4,2,NNE,0,100,93,80,0,120,65,2019-05-14,2019-05-14,2019-07-08,48.373842,12.976970,8,422,MOL-05A,Molinion caeruleae Koch 1926,Molinietum coeruleae,,S Reslberg,T. Windmaißer & T. Hermann,"heights: 65 (Juncus), 120 (Molinia)",MF7230
rw07-2019,4,4,3,NE,35,100,35,87,0,175,20,2019-05-14,2019-05-14,2019-08-22,48.375051,12.976005,8,426,OXY-02B,Sphagnion medii Kästner et Flössner 1933,unclassified,,S Reslberg,T. Windmaißer & T. Hermann,heights: 20/175 (Phragmites),MO/GC
rw08-2019,4,4,0,F,0,100,98,50,0,200,30,2019-05-14,2019-05-14,2019-08-22,48.375357,12.975533,8,427,OXY-02B,Sphagnion medii Kästner et Flössner 1933,unclassified,,S Reslberg,T. Windmaißer & T. Hermann,heights: 30/200 (Phragmites),MF00BK
rw09-2019,4,4,2,SSE,0,100,95,75,0,170,40,2019-05-14,2019-05-14,2019-08-22,48.374577,12.977978,8,418,ULI-02B,Calluno-Genistion pilosae P. Duvigneaud 1945,Vaccinio-Callunetum,,S Reslberg,T. Windmaißer & T. Hermann,heights: 40/170 (Phragmites),MF00BK
rw10-2019,4,4,2,NE,0,100,100,90,3,240,NA,2019-06-03,2019-06-03,2019-08-22,48.374874,12.977060,8,,MOL-05A,Molinion caeruleae Koch 1926,unclassified,"Phargmites stage, 3 % bare soil (peat)",S Reslberg,T. Windmaißer & T. Hermann,heights: 240,MF00BK
rw11-2019,4,4,2,NE,0,100,98,85,0,230,110,2019-06-03,2019-06-03,2019-08-22,48.374377,12.977780,8,,MOL-05A,Molinion caeruleae Koch 1926,unclassified,Phargmites stage,S Reslberg,T. Windmaißer & T. Hermann,heights: 110 (Molinia); 230 (Phragmites),MF7230
