taxon,abbr,layer,rw01-2019,rw02-2019,rw03-2019,rw04-2019,rw05-2019,rw06-2019,rw07-2019,rw08-2019,rw09-2019,rw10-2019,rw11-2019
Carex davalliana,care dava,hl,2b,1a,+,,,,r,,,,
Carex lepidocarpa ,care lepi,hl,+,3,1b,1b,,+,,,,,
Epipactis palustris ,epip palu,hl,1a,1a,1a,1a,,,,,,,
Eriophorum latifolium ,erio lati,hl,2a,1a,,,,,,,,,
Carex demissa ,care tumi,hl,1a,,,,,,,,,,
Parnassia palustris ,parn palu,hl,1b,+,,r,,,,,,,1b
Pinguicula vulgaris ,ping vulg,hl,r,r,,,,,,,,,
Carex flava s. str. ,care flav flav,hl,,+,,,+,,,,,2a,
Trichophorum alpinum ,tric alpi,hl,2a,,,,,,,,,,
Drosera rotundifolia,dros rotu,hl,1a,,,,,,,,,,+
Pedicularis sylvatica,pedi sylv sylv,hl,1a,,,,,,,,,,
Eriophorum angustifolium ,erio angu,hl,+,,,,,+,,,,,
Viola palustris ,viol palu,hl,,+,,r,,,,1a,,+,
Carex nigra ,care nigr,hl,,,,r,,,,,1a,,
Carex canescens ,care cane cane,hl,r,,,,,,,,,,
Menyanthes trifoliata ,meny trif,hl,,,,r,,,,,,,
Carex echinata ,care echi,hl,,,,,,,,,,+,
Betonica officinalis ,beto offi offi,hl,,,+,,1b,2b,,,,,
Gentiana pneumonanthe,gent pneu,hl,,,,r,,,,,,,
Molinia coerulea ,moli caer,hl,2a,2a,2b,1b,2a,1b,2a,1a,2b,+,
Juncus acutiflorus ,junc acut,hl,2a,,1b,3,1b,2b,,+,+,1a,
Selinum carvifolia ,seli carv,hl,,,2a,2a,+,2a,,,,,
Cirsium palustre,cirs palu,hl,,r,1b,1a,+,2b,2a,+,,1b,r
Succisa pratensis,succ prat,hl,+,1a,+,1a,,,,,,,
Galium uliginosum ,gali ulig,hl,+,+,+,+,,+,+,,,,
Angelica sylvestris,ange sylv sylv,hl,,,r,,r,1a,,,,r,
Valeriana dioica,vale dioi dioi,hl,,+,,1b ,,,,,,,
Dactylorhiza majalis agg. ,dact maja slat,hl,,,,r,+,r,,,,,
Scorzonera humilis ,scor humi,hl,,,+,,,,,,,,
Sanguisorba officinalis ,sang offi,hl,,,,,+,,,,,,
Scirpus sylvaticus ,scir sylv,hl,,,r,,+,1b,,,,,+
Crepis paludosa ,crep palu,hl,,,,1a,,,,,,,
Myosotis scorpioides,myos scor scor,hl,,,,,+,,,,,r,1b
Filipendula ulmaria ,fili ulma,hl,,r,1b,r,1b,2a,+,,,+,2a
Lythrum salicaria,lyth sali,hl,,r,,+,,+,,r,,+,r
Hypericum tetrapterum,hype tetr,hl,,,,,,,,,,+,
Eupatorium cannabinum,eupa cann,hl,,+,,,,,1a,,,1a,
Holcus lanatus,holc lana,hl,,,,,1a,,,,,,
Lathyrus pratensis,lath prat prat,hl,,,,,1a,,,,,,
Galium album,gali albu,hl,,,,,r,1b,,,,,
Cardamine pratensis,card prat,hl,,,,,,r,,,,,1a
Poa trivialis,poa triv,hl,,,,,,+,,,,,1b
Festuca pratensis,fest prat prat,hl,,,,,,+,,,,,
Prunella vulgaris,prun vulg,hl,,,,,,,,,,+,
Potentilla erecta,pote erec,hl,1a,1b,1a,+,+,+,+,+,1a,+,
