plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;location;observer;soil.comment;comment;altitude;latitude;longitude;accuracy;alliance;soil;bedrock
rk00;98;0;0;0;98;2;0;0;0;0,4;0,25;4;4;W;7;0;0;0;2014-05-06;Rettenkogel, Wiese am Weg zur Laimeralm;R. Kaiser & T. Eberl;;;;47.704092;13.498651;10;Polygono-Trisetion;;
rk01;97;65;50;10;85;2;25;18;6;0,7;0,2;16;16;W;30;0;0;0;2014-07-16;Kammersbachtachtal, Tal zur Wilden Kammer;R. Kaiser & T. Eberl;;;;47.644051;13.473336;10;Fagion sylvaticae;;
rk02;95;80;10;15;85;1;18;12;6;0,6;0,2;16;16;W;35;0;0;0;2014-07-16;Kammersbachtachtal, Tal zur Wilden Kammer;R. Kaiser & T. Eberl;;;;47.635379;13.476813;10;Fagion sylvaticae;;
rk03;90;40;45;15;60;3;20;12;6;0,5;0,1;10;25;W;30;0;0;0;2014-07-16;Gamsfeld, am Rande der Wilden Kammer;R. Kaiser & T. Eberl;Rücken mit oberflächig versauerter Rohhumus-Auflage;;;47.634773;13.479725;10;Fagion sylvaticae;;
rk04;97;50;45;35;95;2;20;16;6;0,8;0,25;16;16;W;25;0;0;0;2014-07-16;Kammersbachtachtal, Tal zur Wilden Kammer;R. Kaiser & T. Eberl;;;;47.641553;13.473929;10;Fagion sylvaticae;;
rk05;95;80;15;5;25;1;25;12;2;0,3;0,15;16;16;S;25;0;0;0;2014-07-17;Rinnkogel, Südabfall des Rinnkogel zum hinteren Werkstattgraben;R. Kaiser;tiefgründige (Moder-)Rendzina;im oberen Randbereich;;47.655152;13.485170;10;Fagion sylvaticae;;
rk06;93;75;25;15;65;2;20;15;6;0,5;0,1;16;16;SE;35;0;0;0;2014-07-17;Rinnkogel, Südabfall des Rinnkogel zum hinteren Werkstattgraben;R. Kaiser;mit Rohhumus-Lagern;;;47.657993;13.493336;10;Fagion sylvaticae;;
rk07;90;40;60;5;55;2;18;15;5;0,5;0,1;16;16;S;3;0;0;0;2014-07-18;Rinnkogel, Südabfall des Rinnkogel zum hinteren Werkstattgraben;R. Kaiser;flachgründige (Moder-)Rendzina über Dolomit;bewegtes Mikrorelief, alter Windwurf;;47.663877;13.500604;10;Fagion sylvaticae;;
rk08;98;60;35;10;70;2;25;18;2;0,7;0,3;16;16;SE;35;0;0;0;2014-07-18;Rinnkogel, Südabfall des Rinnkogel zum hinteren Werkstattgraben;R. Kaiser;flachgründige, verbraunte Rendzina über Dolomit;;;47.663422;13.497440;10;Fagion sylvaticae;;
rk09;95;40;30;50;35;5;8;6;3;0,6;0,2;16;16;S;40;0;0;0;2014-07-18;Rinnkogel, Südabfall des Rinnkogel zum hinteren Werkstattgraben;R. Kaiser;Rohhumus-Renzina über Dolomit;;;47.663630;13.494368;10;Fagion sylvaticae;;
rk10;95;40;65;5;3;15;27;20;6;0,4;0,05;16;16;NE;20;0;0;0;2014-07-18;Rinnkogel, Südabfall des Rinnkogel zum hinteren Werkstattgraben;R. Kaiser;mächtige Rohumus-Renzina an Kuppe;;;47.662074;13.492923;10;Fagion sylvaticae;;
rk11;95;40;60;10;55;2;18;16;2;0,5;0,25;16;16;S;20;0;0;0;2014-07-18;Rinnkogel, Rinnstübl Jhtt.;T. Eberl;Rendzina;nahe des Felsabbruchs am Rande des Krummholz;;47.657435;13.483622;10;Fagion sylvaticae;;
rk12;99;0;0;3;97;5;0;0;1;0,25;0,15;4;4;F;0;0;0;0;2014-07-24;Weißenbachtal, rechtsufrige Alluvionen des Weißenbaches;R. Kaiser;;;;47.678810;13.467464;10;Erico-Pinion sylvestris;;
