plot;locality;longitude;latitude;accuracy;ss;hss;zss;hzss;m
1;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;10
2;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;3
3;Taubenkar-Alm;13.636522;47.505229;300;1;20;0;0;3
4;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;1
5;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;15
6;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;10
7;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;10
8;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;1
9;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;15
10;Taubenkar-Alm;13.636522;47.505229;300;0;0;25;20;0
11;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;3
13;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;80
15;Taubenkar-Alm;13.636522;47.505229;300;20;100;30;15;1
16;Taubenkar-Alm;13.636522;47.505229;300;5;50;70;20;15
17;Taubenkar-Alm;13.636522;47.505229;300;90;200;40;70;40
18;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;2
19;Taubenkar-Alm;13.636522;47.505229;300;0;0;50;45;1
20;Taubenkar-Alm;13.636522;47.505229;300;5;100;90;50;3
21;Taubenkar-Alm;13.636522;47.505229;300;0;0;5;25;1
22;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;2
23;Taubenkar-Alm;13.636522;47.505229;300;0;0;0;0;10
24;Taubenkar-Alm;13.636522;47.505229;300;10;70;60;20;5
25;Taubenkar-Alm;13.636522;47.505229;300;0;0;30;10;5
26;Taubenkar-Alm;13.636522;47.505229;300;2;25;8;15;25
27;Ochsenwies-Alm;13.62927;47.51731;200;70;200;50;40;15
28;Ochsenwies-Alm;13.62927;47.51731;200;0;0;10;15;5
29;Ochsenwies-Alm;13.62927;47.51731;200;0;0;70;0;3
30;Ochsenwies-Alm;13.62927;47.51731;200;0;0;80;30;10
31;Ochsenwies-Alm;13.62927;47.51731;200;80;200;70;30;10
32;Ochsenwies-Alm;13.62927;47.51731;200;0;0;0;0;5
33;Ochsenwies-Alm;13.62927;47.51731;200;0;0;0;0;3
34;Ochsenwies-Alm;13.62927;47.51731;200;0;0;0;0;3
35;Ochsenwies-Alm;13.62927;47.51731;200;0;0;0;0;1
36;Ochsenwies-Alm;13.62927;47.51731;200;0;0;0;0;5
