taxon;matched.taxon;abbr
Geum rivale;Geum rivale;geum riva
Agrostis gigantea;Agrostis gigantea;agro giga
Alchemilla fissa;Alchemilla fissa s.str.;alch fiss
Helianthemum alpestre;Helianthemum alpestre;heli alpe
Ligusticum mutellinoides;Pachypleurum mutellinoides;pach mute
Luzula campestris;Luzula campestris s.str.;luzu camp
Gnaphalium hoppeanum;Gnaphalium hoppeanum;gnap hopp
Minuartia austriaca;Minuartia austriaca;minu aust
Alchemilla fissa;Alchemilla fissa s.str.;alch fiss
Cerastium fontanum;Cerastium fontanum s.str.;cera font
Agrostis gigantea;Agrostis gigantea;agro giga
Epilobium alsinifolium;Epilobium alsinifolium;epil alsi
Gnaphalium hoppeanum;Gnaphalium hoppeanum;gnap hopp
Carex omithopodoides;Carex ornithopodoides;care orni
Pinguicula alpina;Pinguicula alpina;ping alpi
Helianthemum alpestre;Helianthemum alpestre;heli alpe
Carduus defioratus;Carduus defloratus ssp. viridis;card defl viri
Alchemilla fissa;Alchemilla fissa s.str.;alch fiss
Pinguicula alpina;Pinguicula alpina;ping alpi
Epilobium alsinifolium;Epilobium alsinifolium;epil alsi
Juncus jacquinii;Juncus jacquinii;junc jacq
Gnaphalium hoppeanum;Gnaphalium hoppeanum;gnap hopp
Luzula campestris;Luzula campestris s.str.;luzu camp
Pyrola minor;Pyrola minor;pyro mino
Cerastium fontanum;Cerastium fontanum s.str.;cera font
Hieracium sylvaticum;Hieracium murorum;hier muro
Campanula barbata;Campanula barbata ssp. barbata;camp barb barb
Pyrola minor;Pyrola minor;pyro mino
Lonicera caerulea;Lonicera caerulea ssp. caerulea;loni caer caer
Picea abies;Picea abies;pice abie
Empetrum nigrum ssp. hermaphroditum;Empetrum nigrum s.str.;empe nigr
Sagina saginoides;Sagina saginoides;sagi sagi ides
Cerastium cerastoides;Cerastium cerastoides;cera cera
Taraxacum officinale agg.;Taraxacum sect. Ruderalia;tara sect rude
Alchemilla fissa;Alchemilla fissa s.str.;alch fiss
Sorbus chamaemespilus;Sorbus chamaemespilus;sorb cham
Rubus saxatilis;Rubus saxatilis;rubu saxa
Saxifraga rotundifolia;Saxifraga rotundifolia ssp. rotundifolia;saxi rotu
Knautia dipsacifolia;Knautia maxima ssp. maxima;knau maxi
Oxalis acetosella;Oxalis acetosella;oxal acet
Silene pusilla;Heliosperma pusillum ssp. pusillum;heli pusi pusi
Solidago virgaurea;Solidago virgaurea ssp. virgaurea;soli virg virg
Valeriana tripteris ssp. austriaca;Valeriana tripteris;vale trip
Luzula campestris;Luzula campestris s.str.;luzu camp
Heracleum austriacum;Heracleum austriacum ssp. austriacum;hera aust aust
Alchemilla fissa;Alchemilla fissa s.str.;alch fiss
Luzula campestris;Luzula campestris s.str.;luzu camp
Salix reticulata;Salix reticulata;sali reti
Ligusticum mutellinoides;Pachypleurum mutellinoides;pach mute
Pyrola minor;Pyrola minor;pyro mino
Potentilla crantzii;Potentilla crantzii;pote cran
Hieracium sylvaticum;Hieracium murorum;hier muro
Melampyrum sylvaticum;Melampyrum sylvaticum s.str.;mela sylv
Sagina saginoides;Sagina saginoides;sagi sagi ides
Empetrum nigrum ssp. hermaphroditum;Empetrum nigrum s.str.;empe nigr
Arabis ciliata;Arabis ciliata;arab cili
Luzula campestris;Luzula campestris s.str.;luzu camp
Helianthemum alpestre;Helianthemum alpestre;heli alpe
Botrychium lunaria;Botrychium lunaria;botr luna
Luzula campestris;Luzula campestris s.str.;luzu camp
Primula elatior agg.;Primula elatior s.str.;prim elat
Botrychium lunaria;Botrychium lunaria;botr luna
Luzula campestris;Luzula campestris s.str.;luzu camp
Saxifraga rotundifolia;Saxifraga rotundifolia ssp. rotundifolia;saxi rotu
Cerastium fontanum;Cerastium fontanum s.str.;cera font
Primula elatior agg.;Primula elatior s.str.;prim elat
Lathyrus pratensis;Lathyrus pratensis ssp. pratensis;lath prat prat
Epilobium alsinifolium;Epilobium alsinifolium;epil alsi
Ajuga pyramidalis;Ajuga pyramidalis;ajug pyra
Picea abies;Picea abies;pice abie
Carduus defloratus;Carduus defloratus ssp. viridis;card defl viri
Hieracium sylvaticum;Hieracium murorum;hier muro
Luzula campestris;Luzula campestris s.str.;luzu camp
Ranunculus nemorosus;Ranunculus nemorosus;ranu nemo
Knautia dipsacifolia;Knautia maxima ssp. maxima;knau maxi
Botrychium lunaria;Botrychium lunaria;botr luna
Pyrola minor;Pyrola minor;pyro mino
Helianthemum alpestre;Helianthemum alpestre;heli alpe
Sagina saginoides;Sagina saginoides;sagi sagi ides
Epilobium alpestre;Epilobium alpestre;epil alpe
Geum rivale;Geum rivale;geum riva
Epilobium alsinifolium;Epilobium alsinifolium;epil alsi
Taraxacum officinale agg.;Taraxacum sect. Ruderalia;tara sect rude
Primula elatior agg.;Primula elatior s.str.;prim elat
Sagina saginoides;Sagina saginoides;sagi sagi ides
Epilobium alsinifolium;Epilobium alsinifolium;epil alsi
Arabis ciliata;Arabis ciliata;arab cili
Draba aizoides ssp. aizoides;Draba aizoides ssp. aizoides;drab aizo aizo
Epilobium alpestre;Epilobium alpestre;epil alpe
Epilobium alsinifolium;Epilobium alsinifolium;epil alsi
Geum rivale;Geum rivale;geum riva
Plantago media;Plantago media;plan medi
Poa pratensis;Poa pratensis;poa prat
Geum rivale;Geum rivale;geum riva
Silene nutans;Silene nutans ssp. nutans;sile nuta nuta
Arabis ciliata;Arabis ciliata;arab cili
Luzula campestris;Luzula campestris s.str.;luzu camp
Carex aterrima;Carex aterrima;care ater
Botrychium lunaria;Botrychium lunaria;botr luna
Carduus defloratus;Carduus defloratus ssp. viridis;card defl viri
Sagina saginoides;Sagina saginoides;sagi sagi ides
Gymnadenia conopsea;Gymnadenia conopsea ssp. conopsea;gymn cono cono
Carex digitata;Carex digitata;care digi
Arabis ciliata;Arabis ciliata;arab cili
Leucanthemum ircutianum;Leucanthemum ircutianum;leuc ircu
Plantago media;Plantago media;plan medi
