"taxon";"matched.taxon";"abbr"
"Pinus cembra";"Pinus cembra";"pinu cemb"
"Larix decidua";"Larix decidua";"lari deci deci"
"Pinus mugo";"Pinus mugo s.str.";"pinu mugo"
"Pinus mugo";"Pinus mugo s.str.";"pinu mugo"
"Juniperus com. ssp. alpina";"Juniperus communis ssp. nana";"juni comm nana"
"Salix waldsteiniana";"Salix waldsteiniana";"sali wald"
"Daphne mezereum";"Daphne mezereum";"daph meze"
"Rhododendron hirsutum";"Rhododendron hirsutum";"rhod hirs"
"Vaccinium myrtillus";"Vaccinium myrtillus";"vacc myrt"
"Vaccinium gaultherioides";"Vaccinium gaultherioides";"vacc gaul"
"Vaccinium vitis-idaea";"Vaccinium vitis-idaea";"vacc viti"
"Erica herbacea";"Erica carnea";"eric carn"
"Huperzia selogo";"Huperzia selago ssp. selago";"hupe sela"
"Asplenium viride";"Asplenium viride";"aspl viri"
"Avenella flexuosa";"Avenella flexuosa";"aven flex flex"
"Polystichum lonchitis";"Polystichum lonchitis";"poly lonc"
"Luzula sylvatica";"Luzula sylvatica s.lat.";"luzu sylv slat"
"Poa alpina";"Poa alpina";"poa alpi"
"Alchemilla vulgaris agg.";"Alchemilla Sect. Alchemilla";"alch sect alch"
"Ranunculus montanus";"Ranunculus montanus s.str.";"ranu mont"
"Campanula scheuchzeri";"Campanula scheuchzeri";"camp sche"
"Potentilla aurea";"Potentilla aurea";"pote aure"
"Galium anisophyllum";"Galium anisophyllon";"gali anis"
"Soldanella alpina";"Soldanella alpina";"sold alpi"
"Crepis aurea";"Crepis aurea ssp. aurea";"crep aure aure"
"Homogyne discolor";"Homogyne discolor";"homo disc"
"Cerastium holosteoides";"Cerastium holosteoides";"cera holo"
"Polygonum viviparum";"Persicaria vivipara";"pers vivi"
"Alchemilla anisiaca";"Alchemilla anisiaca";"alch anis"
"Myosotis alpestris";"Myosotis alpestris";"myos alpe"
"Selaginella selaginoides";"Selaginella selaginoides";"sela sela"
"Luzula multiflora";"Luzula multiflora s.str.";"luzu mult"
"Anthoxanthum alpinum";"Anthoxanthum alpinum";"anth alpi"
"Leontodon helvelicus";"Scorzoneroides helvetica";"scor helv"
"Leontodon hlspidus";"Leontodon hispidus s.lat.";"leon hisp slat"
"Parnassia palustris";"Parnassia palustris";"parn palu"
"Aster bellidiastrum";"Bellidiastrum michelii";"bell mich"
"Carex ornithopoda";"Carex ornithopoda ssp. elongata";"care orni elon"
"Salix retusa";"Salix retusa s.str.";"sali retu"
"Helianthemum grandiflora";"Helianthemum nummularium ssp. grandiflorum";"heli numm gran"
"Phyteuma orbiculare";"Phyteuma orbiculare s.str.";"phyt orbi"
"Juncus monanthos";"Juncus monanthos";"junc mona"
"Carex ferruginea";"Carex ferruginea s.str.";"care ferr"
"Gentiana verna";"Gentiana verna ssp. verna";"gent vern vern"
"Gentianella aspera";"Gentianella aspera";"gent aspe"
"Agrostis rupestris";"Agrostis rupestris";"agro rupe rupe"
"Carex capillaris";"Carex capillaris";"care capi"
"Biscutella laevigata";"Biscutella laevigata ssp. laevigata";"bisc laev laev"
"Luzula glabrata";"Luzula glabrata";"luzu glab"
"Phleum alpinum";"Phleum rhaeticum";"phle rhae"
"Achillea millefolium agg";"Achillea millefolium agg.";"achi mill aggr"
"Trifolium pratense ssp. pratense";"Trifolium pratense ssp. pratense";"trif prat prat"
"Agrostis tenuis";"Agrostis capillaris";"agro capi"
"Potentilla erecta";"Potentilla erecta";"pote erec"
"Lotus comiculatus ssp. alpinus";"Lotus corniculatus var. alpicola s.lat.";"lotu corn alpi"
"Nardus stricta";"Nardus stricta";"nard stri"
