plot,abbr,layer,cover,voucher,intern,comment,history
rmr01,trit aest slat,cl,d,,,Deckfrucht,
rmr01,anag arve,fl,l,,,,
rmr01,anth arve arve,fl,x,,,,
rmr01,aper spic vent,fl,x,,,,
rmr01,cera glom,fl,l,,,,
rmr01,chen albu slat,fl,x,,,,
rmr01,cyan sege,fl,l,,,,
rmr01,elyt repe,fl,l,,,,
rmr01,fall conv,fl,x,,,,
rmr01,gali apar,fl,x,,,,
rmr01,loli mult,fl,l,,,,
rmr01,loli pere,fl,l,,,,
rmr01,matr cham,fl,x,,,,
rmr01,medi vari,fl,l,,,,
rmr01,myos arve arve,fl,l,,,,
rmr01,papa rhoe,fl,l,,,,
rmr01,pers lapa slat,fl,l,,,,
rmr01,poa triv,fl,l,,,,
rmr01,rume cris,fl,l,,,,
rmr01,sonc aspe aspe,fl,l,,,,
rmr01,stel medi,fl,x,,,,
rmr01,vero hede hede,fl,l,,,,
rmr01,vero pers,fl,x,,,,
rmr01,vici angu sege,fl,l,,,,
rmr01,vici hirs,fl,l,,,,
rmr02,seca cere,cl,d,,,Deckfrucht,
rmr02,anag arve,fl,l,,,,
rmr02,anth arve arve,fl,l,,,,
rmr02,aper spic vent,fl,x,,,,
rmr02,apha arve,fl,d,,,,
rmr02,cirs arve,fl,l,,,,
rmr02,conv arve,fl,x,,,,
rmr02,cyan sege,fl,x,,,,
rmr02,fall conv,fl,l,,,,
rmr02,gale tetr,fl,l,,,,
rmr02,gera diss,fl,l,,,,
rmr02,laps comm comm,fl,l,,,,
rmr02,matr cham,fl,d,,,,
rmr02,myos arve arve,fl,x,,,,
rmr02,odon vern,fl,l,2022-0000,,,
rmr02,papa rhoe,fl,l,,,,
rmr02,poa triv,fl,l,,,,
rmr02,sher arve,fl,l,,,,
rmr02,sonc aspe aspe,fl,l,,,,
rmr02,trif prat prat,fl,l,,,,
rmr02,vale rimo,fl,l,,,,
rmr02,vero arve,fl,l,,,,
rmr02,vero pers,fl,l,,,,
rmr02,vici glab,fl,l,,,,
rmr02,vici hirs,fl,d,,,,
rmr02,vici tetr,fl,l,,,,
rmr03,trit aest slat,cl,d,,,Deckfrucht,
rmr03,aper spic vent,fl,l,,,,
rmr03,chen albu slat,fl,l,,,,
rmr03,cirs arve,fl,l,,,,
rmr03,conv arve,fl,x,,,,
rmr03,cyan sege,fl,d,,,,
rmr03,elyt repe,fl,l,,,,
rmr03,fall conv,fl,l,,,,
rmr03,fuma offi slat,fl,x,2022-0000,,,
rmr03,gali apar,fl,l,,,,
rmr03,gera diss,fl,l,,,,
rmr03,laps comm comm,fl,x,,,,
rmr03,matr cham,fl,l,,,,
rmr03,myos arve arve,fl,l,,,,
rmr03,papa rhoe,fl,x,2022-0000,,,
rmr03,pers lapa slat,fl,l,,,,
rmr03,poa triv,fl,l,,,,
rmr03,pote anse anse,fl,x,,,,
rmr03,ranu repe,fl,l,,,,
rmr03,sina arve,fl,l,,,,
rmr03,stel medi,fl,l,,,,
rmr03,trif prat prat,fl,l,,,,
rmr03,vero pers,fl,l,,,,
rmr03,vici hirs,fl,x,,,,
rmr03,vici tetr,fl,l,,,,
rmr04,trit aest slat,cl,d,,,Deckfrucht,
rmr04,alop myos,fl,l,,,,
rmr04,anth arve arve,fl,l,,,,
rmr04,aper spic vent,fl,l,,,,
rmr04,apha arve,fl,x,,,,
rmr04,aren serp,fl,l,,,,
rmr04,cirs arve,fl,l,,,,
rmr04,conv arve,fl,l,,,,
rmr04,cyan sege,fl,x,,,,
rmr04,fall bohe,fl,l,,,,
rmr04,gale tetr,fl,l,,,,
