taxon,matched.taxon
Acer pseudoplatanus,Acer pseudoplatanus
Achillea millefolium agg.,Achillea millefolium agg.
Aegopodium podagraria,Aegopodium podagraria
Agrostis capillaris,Agrostis capillaris
Agrostis gigantea,Agrostis gigantea
Agrostis stolonifera s.str.,Agrostis stolonifera
Alopecurus myosuroides,Alopecurus myosuroides
Alopecurus pratensis,Alopecurus pratensis
Anagallis arvensis,Anagallis arvensis
Anthemis arvensis ssp. arvensis,Anthemis arvensis subsp. arvensis
Anthoxanthum odoratum s.str.,Anthoxanthum odoratum
Apera spica-venti,Apera spica-venti
Aphanes arvensis,Aphanes arvensis
Arabidopsis thaliana,Arabidopsis thaliana
Arenaria serpyllifolia s.str.,Arenaria serpyllifolia
Arrhenatherum elatius,Arrhenatherum elatius
Avena fatua,Avena fatua
Avena sativa ssp. sativa,Avena sativa subsp. sativa
Borago officinalis,Borago officinalis
Brassica napus,Brassica napus
Calystegia sepium s.str.,Calystegia sepium
Camelina sativa s.lat.,Camelina sativa
Capsella bursa-pastoris s.str.,Capsella bursa-pastoris
Carex hirta,Carex hirta
Cerastium glomeratum,Cerastium glomeratum
Cerastium holosteoides,Cerastium holosteoides
Chaerophyllum aureum,Chaerophyllum aureum
Chenopodium album s.lat.,Chenopodium album
Chenopodium polyspermum,Chenopodium polyspermum
Cichorium intybus,Cichorium intybus
Cirsium arvense,Cirsium arvense
Convolvulus arvensis,Convolvulus arvensis
Cyanus segetum,Cyanus segetum
Dactylis glomerata ssp. glomerata,Dactylis glomerata subsp. glomerata
Digitaria sanguinalis s.lat.,Digitaria sanguinalis
Draba verna s.str.,Draba verna
Echinochloa crus-galli ssp. crus-galli,Echinochloa crus-galli subsp. crus-galli
Elytrigia repens,Elymus repens
Epilobium sp.,Epilobium spec.
Equisetum arvense,Equisetum arvense
Erigeron annuus ssp. annuus,Erigeron annuus subsp. annuus
Erigeron canadensis,Erigeron canadensis
Euphorbia helioscopia,Euphorbia helioscopia
Fagopyrum esculentum,Fagopyrum esculentum
Fallopia × bohemica,Fallopia japonica x sachalinensis
Fallopia convolvulus,Fallopia convolvulus
Festuca pratensis s.str.,Festuca pratensis
Festuca rubra ssp. rubra,Festuca rubra subsp. rubra
Fumaria officinalis s.lat.,Fumaria officinalis
Galeopsis pubescens ssp. murriniana,Galeopsis pubescens subsp. murriana
Galeopsis speciosa,Galeopsis speciosa
Galeopsis tetrahit s.str.,Galeopsis tetrahit
Galium album s.str.,Galium album
Galium aparine s.str.,Galium aparine
Galinsoga ciliata,Galinsoga quadriradiata
Galium sp.,Galium spec.
Geranium columbinum,Geranium columbinum
Geranium dissectum,Geranium dissectum
Glechoma hederacea,Glechoma hederacea
Holcus lanatus,Holcus lanatus
Holcus mollis,Holcus mollis
Hordeum vulgare s.lat.,Hordeum vulgare
Hylotelephium maximum,Hylotelephium maximum
Hypochaeris radicata,Hypochaeris radicata
Juglans regia,Juglans regia
Knautia arvensis ssp. arvensis,Knautia arvensis subsp. arvensis
Lactuca serriola,Lactuca serriola
Lamium purpureum,Lamium purpureum
Lapsana communis ssp. communis,Lapsana communis subsp. communis
Lathyrus pratensis ssp. pratensis,Lathyrus pratensis subsp. pratensis
Legousia speculum-veneris,Legousia speculum-veneris
Linum usitatissimum,Linum usitatissimum
Lolium multiflorum,Lolium multiflorum
Lolium perenne,Lolium perenne
Lotus corniculatus s.str.,Lotus corniculatus
Matricaria chamomilla,Matricaria chamomilla
Matricaria discoidea,Matricaria discoidea
Medicago lupulina,Medicago lupulina
Medicago sativa s.lat.,Medicago sativa
Medicago falcata × varia,Medicago falcata x sativa
Melilotus albus,Melilotus albus
Mentha longifolia,Mentha longifolia
Microrrhinum minus s.str.,Chaenorhinum minus subsp. minus
Myosotis arvensis ssp. arvensis,Myosotis arvensis subsp. arvensis
Myosotis discolor,Myosotis discolor
