plot,abbr,layer,cover,voucher,comment,history
hb01-2021,agro giga,hl,2a,cf.,not rediscovered 2021-07-03,
hb01-2021,alop prat,hl,2b,,,
hb01-2021,anth odor,hl,+,,,
hb01-2021,call cusp,ml,1a,,,
hb01-2021,care acut a,hl,1a,,,
hb01-2021,care briz,hl,+,,,
hb01-2021,care dist dist,hl,2a,,,
hb01-2021,care hirt,hl,+,,,
hb01-2021,care vulp ina,hl,3,,,
hb01-2021,cyno cris,hl,1a,,,
hb01-2021,desc cesp,hl,+,,added 2021-07-03,
hb01-2021,fest prat prat,hl,1a,,,
hb01-2021,holc lana,hl,2a,,,
hb01-2021,junc effu,hl,+,,,
hb01-2021,lotu pedu,hl,+,,,
hb01-2021,lysi numm,hl,+,,,
hb01-2021,phle prat,hl,1a,,,
hb01-2021,poa triv,hl,2b,,,
hb01-2021,ranu acri acri,hl,+,,,
hb01-2021,ranu auri aggr,hl,+,,,
hb01-2021,scir sylv,hl,1a,,,
hb02-2021,achi mill aggr,hl,+,,,
hb02-2021,agro capi,hl,1b,,added 2021-07-03,
hb02-2021,alop prat,hl,+,,,
hb02-2021,anth odor,hl,1a,,,
hb02-2021,arrh elat,hl,+,,,
hb02-2021,beto offi offi,hl,4,,,
hb02-2021,briz medi,hl,1a,,,
hb02-2021,camp patu patu,hl,+,,,
hb02-2021,care hirt,hl,+,,,
hb02-2021,cent jace angu,hl,+,,tested 2021-07-03,
hb02-2021,cera glom,hl,+,,,
hb02-2021,cera holo,hl,+,,,
hb02-2021,conv arve,hl,+,,,
hb02-2021,cyno cris,hl,+,,,
hb02-2021,dact glom glom,hl,+,,,
hb02-2021,dauc caro caro,hl,+,,,
hb02-2021,dian delt,hl,+,,,
hb02-2021,equi arve,hl,+,,,
hb02-2021,euph offi rost,hl,1b,,,
hb02-2021,fest nigr cens,hl,3,,,
hb02-2021,fest prat prat,hl,+,,,
hb02-2021,gali veru,hl,1b,,,
hb02-2021,hera spho spho,hl,+,,,
hb02-2021,holc lana,hl,1a,,,
hb02-2021,homa pube pube,hl,1a,,,
hb02-2021,knau arve arve,hl,+,,,
hb02-2021,lath prat prat,hl,+,,,
hb02-2021,leuc ircu,hl,+,,,
hb02-2021,lotu corn,hl,1a,,,
hb02-2021,luzu camp,hl,+,,,
hb02-2021,lysi vulg,hl,+,,,
hb02-2021,moli caer,hl,+,,,
hb02-2021,pimp majo majo,hl,+,,,
hb02-2021,plan lanc,hl,+,,,
hb02-2021,poa angu,hl,1a,,,
hb02-2021,poly vulg vulg,hl,+,,,
hb02-2021,pote erec,hl,+,,,
hb02-2021,ranu acri acri,hl,2a,,,
hb02-2021,ranu bulb,hl,1a,,,
hb02-2021,rhin mino,hl,+,,,
hb02-2021,rume acet osa,hl,+,,,
hb02-2021,sang offi,hl,+,,,
hb02-2021,saxi gran gran,hl,+,,,
hb02-2021,trag orie,hl,+,,,
