Aufnahmenummer;191;188;192;182;23;135;184;1;24;28;136;179;141;185;183;19;178;180;51;143;130;177;202;150;138;140;151;132;131;153;149;152;148;139;121;133;180;134;126;186;181;128;108;129;142
Höhe in 10m;124;90;120;163;92;150;110;84;163;154;142;166;183;110;163;154;116;120;164;160;55;54;164;165;162;186;162;143;144;160;110;160;152;116;154;51;153;156;166;68;152;160;151;155;138
Hangneigung in Grad;0;50;90;10;40;30;20;0;30;30;45;90;15;50;10;90;10;15;20;35;30;10;15;40;30;15;30;5;40;30;40;5;50;25;10;15;5;0;0;0;5;0;5;5;5
Exposition;SW;SW;N;SW;SW;S;S;F;NW;W;N;N;N;NE;N;SE;W;W;S;E;S;S;S;SSW;S;E;E;F;NE;S;S;SSW;N;N;S;S;SE;E;S;S;W;E;SW;NW;SE
Aufnahmefläche in m^2;4;1;4;1;32;30;1;3;6;12;15;1;25;2;1;25;9;25;35;35;15;25;6;25;30;10;25;30;25;25;25;25;25;40;15;30;9;30;6;6;9;25;50;15;35
Baumschicht in %;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Strauchschicht in %;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;5;0;0;0;5;0;0;0;0
Krautschicht in %;50;30;50;60;35;30;40;30;50;50;10;30;80;60;10;35;40;95;95;90;80;80;50;40;80;90;80;95;90;80;90;95;80;80;90;95;80;100;100;100;100;100;100;100;100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amelanchier ovalis;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asplenium ruta-muraria;1;;;;+;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hieracium piloselloides;1;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;
Potentilla caulescens;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valeriana saxatilis;+;;;+;;;;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Globularia cordifolia agg;+;+;;+;+;;;;1;;;;;;;;;;1;1;;;+;;;;1;;;;;;;;;;1;;;;;;;;
Campanula cochleariifolia;+;+;+;;1;1;1;2;;;;+;;;;;;;;;;;;+;;;;;;;;;;;;;+;;;;;;;;
Carex mucronata;2;1;1;2;2;1;2;2;2;3;;;;;;;;;;;+;+;;+;;;;;;;;;;;;;;+;;;;;;+;
Athaaantha cretensis;+;;+;;+;+;;;;;+;+;;;;;;;;;;;+;;;;;;;;;;+;;;;;;;;;;;;
Kernera saxatilis;;;;;;+;+;;+;;;;;;;2;;;;;;;+;+;;;;;;;;;;;;;+;;;;;;;;
Oryas octopetala;;1;;1;2;;1;1;1;2;3;1;3;2;1;2;1;;;;;;;;;;;;;;1;;;+;;;;;;;;;;;
Carex firma;;+;2;1;+;1;1;1;1;2;3;1;+;2;2;3;1;;;+;;+;;;;;;;;;;;;;;;+;;;;;;;;
Rhodothamnus chamaecistus;;;+;;+;;;1;1;;1;1;1;1;+;1;+;;;;;;;+;;;;;+;;+;;;;;;;;;;;;;;
Potentilla clusiana;;;;;;+;;;1;+;;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedicularis rostrato-capitata;;;;+;;;;;1;1;;;+;+;;+;;;;;;;;;;;+;;;;+;;+;;;;;;;;;;;;
Silene acaulis agg;;;;;;*;;;;1;;;1;+;1;+;+;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;
Festuca alpina;;;;+;;;;;;;;;;;1;1;1;;;;;;;;1;;;;;;;;;;;;+;;;;;;;;
Tofieldia calyculata;;;;;;;;;;+;+;;+;+;;;;+;;+;;;;;;;;+;+;;;;1;;;;;;;;;;;;
Pinus mugo;;;;;;;;;+;+;+;;;;+;+;+;;;;;;+;;+;;+;;;;;+;;+;;;+;;;;;;;;
Rhododendron hirsutum;;;+;;;;;;;;+;1;+;1;;;;;;;;;+;+;;;1;;;;;;+;+;;;;;;;;;;;
Festuca rupicaprina;;;+;;;+;;;;;;+;1;+;;;;;+;;;;;;;;+;;;;;;;+;;1;;;;;;;;;
Primula clusiana;;+;+;;+;;;;+;1;;+;1;;+;;;+;;1;;;;;;;;;;;+;;+;;;;+;;;;;;;;
Euphrasia salisburgensis;+;+;+;;;1;+;;;;1;;1;;+;;+;;;+;+;;1;;;;;;;1;;;1;+;;;+;;;;;;;;
Carex sempervirens;;;;;;;;;;;;;;;;;;3;5;+;+;2;2;;;;;;;;;;;;;;+;;;;;;;;1
Anthyllis vulneraria;;;;;+;;;;;;;;;;;;;;2;2;;1;;;;;1;;;+;+;;;;+;;+;;;;;;;;
Polygala amara agg;;;;;+;;;;;;;;;;;;;;+;+;;+;;+;;;;;;;;;;;;;+;;;;;;;;
