plot,abbr,layer,cover,voucher,comment,history
saet01-2023,aego poda,hl,2a,,,
saet01-2023,agro giga,hl,+,,"cf., Nachtrag 2023-06-19",
saet01-2023,ajug rept,hl,1,,,
saet01-2023,arrh elat,hl,3,,,
saet01-2023,beto offi offi,hl,r,,,
saet01-2023,brac pinn,hl,1,,,
saet01-2023,brac sylv,hl,1,,,
saet01-2023,caly sepi,hl,1,,,
saet01-2023,care pani,hl,r,,,
saet01-2023,cera holo,hl,+,,,
saet01-2023,crep bien,hl,+,,,
saet01-2023,dact glom glom,hl,2a,,,
saet01-2023,elyt repe,hl,+,,,
saet01-2023,fest arun arun,hl,2a,,,
saet01-2023,fest rubr rubr,hl,1,,,
saet01-2023,fili ulma,hl,+,,,
saet01-2023,frax exce,hl,r,,,
saet01-2023,gali albu,hl,+,,,
saet01-2023,holc lana,hl,2a,,,
saet01-2023,lotu corn,hl,+,,,
saet01-2023,poa angu,hl,1,,,
saet01-2023,poa prat,hl,+,,ev. P. angu,
saet01-2023,poa triv,hl,1,,,
saet01-2023,pote rept,hl,+,,,
saet01-2023,ranu acri acri,hl,r,,,
saet01-2023,rhin mino,hl,r,,,
saet01-2023,rubu caes,hl,+,,,
saet01-2023,rume acet osa,hl,r,,,
saet01-2023,scro nodo,hl,r,,,
saet01-2023,symp offi,hl,1,,,
saet01-2023,tara sect rude,hl,r,,,
saet01-2023,thal luci,hl,+,,,
saet01-2023,trif medi medi,hl,2a,,,
saet01-2023,vale offi aggr,hl,r,,,
saet01-2023,vero cham cham,hl,r,,,
saet01-2023,vici crac,hl,1,,,
saet02-2023,acer pseu,hl,r,,,
saet02-2023,agro capi,hl,+,,,
saet02-2023,agro giga,hl,2a,,"cf., Nachtrag 2023-06-19",
saet02-2023,ajug rept,hl,1,,,
saet02-2023,ange sylv sylv,hl,+,,,
saet02-2023,arrh elat,hl,2a,,,
saet02-2023,caly sepi,hl,+,,,
saet02-2023,care flac,hl,1,,,
saet02-2023,care flav flav,hl,r,,,
saet02-2023,care hirt,hl,1,,,
saet02-2023,care orni orni,hl,+,,,
saet02-2023,cera holo,hl,+,,,
saet02-2023,dact glom glom,hl,1,,,
saet02-2023,desc cesp,hl,+,,,
saet02-2023,fest arun arun,hl,+,,,
saet02-2023,fest rubr rubr,hl,2a,,,
saet02-2023,fili ulma,hl,+,,,
saet02-2023,frax exce,hl,r,,,
saet02-2023,gali albu,hl,+,,,
saet02-2023,gali veru,hl,r,,,
saet02-2023,holc lana,hl,2a,,,
saet02-2023,hype macu,hl,r,,,
saet02-2023,knau arve arve,hl,+,,,
saet02-2023,lath prat prat,hl,+,,,
saet02-2023,leon hisp hisp,hl,r,,,
saet02-2023,linu cath,hl,r,,,
saet02-2023,lotu corn,hl,+,,,
saet02-2023,lysi vulg,hl,+,,,
saet02-2023,lyth sali,hl,+,,,
saet02-2023,medi lupu,hl,r,,,
saet02-2023,moli caer aggr,hl,2b,,,
saet02-2023,orig vulg,hl,+,,,
saet02-2023,plan lanc,hl,r,,,
saet02-2023,poa angu,hl,+,,,
saet02-2023,poa prat,hl,1,,ev. P. angu,
saet02-2023,pote rept,hl,+,,,
saet02-2023,quer robu,hl,r,,,
saet02-2023,ranu acri acri,hl,+,,,
saet02-2023,ranu nemo,hl,+,,,
saet02-2023,rhin alec alec,hl,+,,,
saet02-2023,rubu caes,hl,1,,,
saet02-2023,sang mino mino,hl,r,,,
saet02-2023,scro nodo,hl,r,,,
saet02-2023,trif prat prat,hl,+,,,
saet02-2023,tris flav flav,hl,1,,,
saet02-2023,vici crac,hl,1,,,
saet02-2023,viol hirt,hl,r,,,
saet03-2023,acer pseu,hl,r,,,
saet03-2023,aego poda,hl,+,,,
saet03-2023,agro capi,hl,+,,,
saet03-2023,agro giga,hl,+,,"cf., Nachtrag 2023-06-19",
saet03-2023,ajug rept,hl,1,,,
saet03-2023,ange sylv sylv,hl,+,,,
saet03-2023,arrh elat,hl,3,,,
saet03-2023,brac pinn,hl,2a,,,
saet03-2023,brac sylv,hl,2a,,,
saet03-2023,caly sepi,hl,1,,,
saet03-2023,care flac,hl,+,,,
saet03-2023,care hirt,hl,+,,,
saet03-2023,care orni orni,hl,+,,,
saet03-2023,care sylv,hl,+,,,
saet03-2023,cirs oler,hl,r,,,
saet03-2023,colc autu,hl,+,,,
saet03-2023,corn sang sang,hl,r,,,
saet03-2023,dact glom glom,hl,2a,,,
saet03-2023,desc cesp,hl,+,,,
saet03-2023,elyt repe,hl,+,,,
saet03-2023,euon euro,hl,r,,,
saet03-2023,fest rubr rubr,hl,1,,,
saet03-2023,fili ulma,hl,+,,,
saet03-2023,gali albu,hl,+,,,
saet03-2023,holc lana,hl,2a,,,
saet03-2023,lath prat prat,hl,+,,,
saet03-2023,lysi vulg,hl,+,,,
saet03-2023,ment long,hl,+,,,
saet03-2023,moli caer aggr,hl,+,,,
saet03-2023,orig vulg,hl,+,,,
saet03-2023,poa prat,hl,1,,ev. P. angu,
saet03-2023,ranu acri acri,hl,+,,,
saet03-2023,rhin alec alec,hl,r,,,
saet03-2023,rubu caes,hl,+,,,
saet03-2023,thal luci,hl,r,,,
saet03-2023,trif medi medi,hl,+,,,
saet03-2023,vale offi aggr,hl,+,,,
saet03-2023,vici crac,hl,+,,,
saet03-2023,vici sepi,hl,1,,,
saet03-2023,viol hirt,hl,r,,,
saet04-2023,acer pseu,hl,+,,,
saet04-2023,achi mill aggr,hl,+,,,
saet04-2023,aego poda,hl,1,,,
saet04-2023,agro capi,hl,+,,,
saet04-2023,agro giga,hl,2a,,"cf., Nachtrag 2023-06-19",
saet04-2023,ajug rept,hl,1,,,
saet04-2023,arrh elat,hl,2b,,,
saet04-2023,astr glyc,hl,1,,,
saet04-2023,brac pinn,hl,1,,,
saet04-2023,brac sylv,hl,+,,,
saet04-2023,caly sepi,hl,+,,,
saet04-2023,care flac,hl,1,,,
saet04-2023,care sylv,hl,+,,,
saet04-2023,cent jace jace,hl,r,,,
saet04-2023,cera holo,hl,+,,,
saet04-2023,cera luco,hl,r,,,
saet04-2023,cirs oler,hl,+,,,
saet04-2023,elyt repe,hl,+,,,
saet04-2023,erig annu annu,hl,1,,,
saet04-2023,fest arun arun,hl,+,,,
saet04-2023,fest rubr rubr,hl,1,,,
saet04-2023,fili ulma,hl,+,,,
saet04-2023,gali albu,hl,+,,,
saet04-2023,hera spho spho,hl,+,,,
saet04-2023,holc lana,hl,2b,,,
saet04-2023,lath prat prat,hl,+,,,
saet04-2023,lotu corn,hl,+,,,
saet04-2023,lysi vulg,hl,+,,,
saet04-2023,moli caer aggr,hl,+,,,
saet04-2023,orig vulg,hl,+,,,
