plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location;observer
sd01;96;92;8;2;55;25;29;19;4;0,8;0,1;16;16;NW;30;0;0;0;2015-08-04;46.739436;14.408345;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd02;97;0;60;25;10;90;0;6;3;0,8;0,1;10;26;NE;8;0;0;0;2015-08-04;46.739426;14.409114;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd03;99;8;7;5;95;10;31;25;3;0,8;0,1;16;16;N;15;0;0;0;2015-08-04;46.739040;14.409797;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd04;99;95;0;0;2;98;27;0;0;0,4;0,1;16;16;N;15;0;0;0;2015-08-04;46.738604;14.409221;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd05;99;73;20;1;60;98;24;18;2;0,5;0,1;16;16;NW;7;0;0;0;2015-08-04;46.737503;14.407798;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd06;97;90;20;1;12;85;24;18;3;0,6;0,1;16;16;NW;15;0;0;0;2015-08-04;46.737378;14.406864;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd07;99;0;0;10;98;5;0;0;3;0,8;0,1;8;8;N;20;0;0;0;2015-08-04;46.737791;14.405096;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd08;99;0;0;5;98;2;0;0;2;0,8;0,1;8;8;NW;30;0;0;0;2015-08-04;46.738565;14.406643;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd09;100;0;0;0;100;0;0;0;0;0,9;0,3;8;8;NW;10;0;0;0;2015-08-04;46.739202;14.407217;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd10;99;0;85;20;70;2;0;7;1,5;0,9;0,1;16;16;NW;35;0;0;0;2015-08-04;46.740107;14.408647;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd11;98;0;90;15;90;10;0;12;3;1;0,1;16;16;N;35;0;0;0;2015-08-04;46.740464;14.410560;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd12;98;93;0;1;15;35;21;0;4;0,4;0,1;16;16;N;7;0;0;0;2015-08-04;46.739997;14.411383;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd13;100;80;25;50;50;5;31;25;6;0,6;0,1;16;16;N;25;0;0;0;2015-08-04;46.740341;14.411272;10;;;;;Sankt Donat;R Kaiser & T Eberl
sd14;97;0;93;20;70;15;0;8;3;0,8;0,1;16;16;W;40;0;0;0;2015-08-04;46.740130;14.410419;10;;;;;Sankt Donat;R Kaiser & T Eberl
