plot,abbr,layer,cover,voucher,comment,history
skso01,abie alba,hl,r,,,
skso01,acer pseu,hl,+,,,
skso01,athy fili,hl,+,,,
skso01,atro bell,hl,1,,,
skso01,brac sylv,hl,2b,,,
skso01,cala vari,hl,3,,,
skso01,camp trac,hl,r,,,
skso01,card trif,hl,+,,,
skso01,care sylv,hl,1,,,
skso01,cirs arve,hl,1,,,
skso01,cirs palu,hl,+,,,
skso01,clem vita,hl,+,,,
skso01,clin vulg vulg,hl,+,,,
skso01,cory avel,hl,r,,,
skso01,desc cesp,hl,+,,,
skso01,dryo borr,hl,r,,,
skso01,dryo dila,hl,1,,,
skso01,dryo fili,hl,+,,,
skso01,epil mont,hl,r,,,
skso01,eupa cann,hl,+,,,
skso01,fagu sylv,hl,r,,,
skso01,frag vesc,hl,+,,,
skso01,frax exce,hl,r,,,
skso01,gale flav,hl,r,,,
skso01,gale psis spec ies,hl,r,,,
skso01,gali albu,hl,+,,,
skso01,gali rotu,hl,r,,,
skso01,gera robe,hl,+,,,
skso01,gymn dryo,hl,+,,,
skso01,hype hirs,hl,+,,,
skso01,hype perf,hl,+,,,
skso01,lact mura,hl,+,,,
skso01,lysi nemo,hl,+,,,
skso01,merc pere,hl,+,,,
skso01,oxal acet,hl,1,,,
skso01,peta albu,hl,r,,,
skso01,pheg conn,hl,+,,,
skso01,pice abie,hl,r,,,
skso01,poly acul,hl,+,,,
skso01,rubu idae,hl,2a,,,
skso01,rubu sect rubu,hl,1,,,
skso01,salv glut,hl,2a,,,
skso01,sani euro,hl,+,,,
skso01,scro nodo,hl,r,,,
skso01,sene nemo slat,hl,+,,,
skso01,sene ovat ovat,hl,1,,,
skso01,sorb aucu aucu,hl,r,,,
skso01,thel limb,hl,+,,,
skso01,urti dioi dioi,hl,+,,,
skso01,vero cham cham,hl,r,,,
skso02,abie alba,hl,r,,,
skso02,abie alba,tl1,2b,,,
skso02,abie alba,tl2,2a,,,
skso02,acer pseu,hl,+,,,
skso02,aden alpi,hl,1,,,
skso02,ajug rept,hl,r,,,
skso02,brac sylv,hl,1,,,
skso02,cala vari,hl,1,,,
skso02,camp coch,hl,r,,,
skso02,card enne,hl,r,,,
skso02,card trif,hl,1,,,
skso02,care sylv,hl,+,,,
skso02,clem vita,hl,r,,,
skso02,daph meze,hl,r,,,
skso02,dryo borr,hl,+,,,
skso02,dryo dila,hl,r,,,
skso02,dryo fili,hl,+,,,
skso02,epil mont,hl,r,,,
skso02,eupa cann,hl,+,,,
skso02,euph amyg amyg,hl,r,,,
skso02,fagu sylv,hl,1,,,
skso02,fagu sylv,sl,1,,,
skso02,fagu sylv,tl1,2a,,,
skso02,fagu sylv,tl2,4,,,
skso02,gali rotu,hl,+,,,
skso02,hier muro,hl,r,,,
skso02,hype hirs,hl,r,,,
