plot;abbr;layer;cover;comment;history
sg01;berb vulg;sl;+;;
sg01;bisc laev laev;hl;+;;
sg01;buph sali;hl;+;;
sg01;cala vari;hl;2;;
sg01;call vulg;hl;1;;
sg01;care alba;hl;1;;
sg01;care ferr;hl;+;;
sg01;care flac;hl;1;;
sg01;conv maja maja;hl;2;;
sg01;dact macu slat;hl;+;;
sg01;drya octo;hl;+;;
sg01;epip atro;hl;+;;
sg01;eric carn;hl;3;;
sg01;fran alnu;sl;2;;
sg01;gali anis;sl;+;;
sg01;gymn cono cono;hl;1;;
sg01;hipp como;hl;+;;
sg01;juni comm comm;sl;3;;
sg01;lase lati lati;sl;1;;
sg01;leon inca;hl;+;;
sg01;mela prat;hl;+;;
sg01;meli nuta;hl;1;;
sg01;peta para;hl;+;;
sg01;phyt orbi;hl;+;;
sg01;pice abie;sl;2;;
sg01;ping vulg;hl;+;;
sg01;pinu mugo;sl;2;;
sg01;pinu sylv;sl;+;;
sg01;plat bifo;hl;+;;
sg01;poly cham;hl;+;;
sg01;pote erec;hl;1;;
sg01;prun gran;hl;+;;
sg01;pyro rotu;hl;+;;
sg01;rosa pend;sl;+;;
sg01;rubu saxa;hl;1;;
sg01;sali elea elea;sl;+;;
sg01;sesl caer;hl;1;;
sg01;sorb aria;sl;+;;
sg01;sorb aucu aucu;sl;+;;
sg01;thes alpi;hl;+;;
sg01;thym prae slat;hl;1;;
sg01;vacc myrt;hl;1;;
sg01;vacc viti;hl;+;;
sg01;vibu lant;sl;+;;
sg01;vibu opul;sl;+;;
sg01;lotu corn;hl;+;;
sg01;vale offi slat;hl;+;;
sg02;acer pseu;sl;+;;
sg02;acer pseu;hl;+;;
sg02;amel oval;hl;+;;
sg02;ante dioi;hl;+;;
sg02;apos foet;hl;+;;
sg02;bisc laev laev;hl;+;;
sg02;briz medi;hl;1;;
sg02;cala vari;hl;2;;
sg02;care alba;hl;+;;
sg02;care firm;hl;+;;
sg02;care flac;hl;1;;
sg02;carl acau acau;hl;+;;
sg02;dant decu slat;hl;+;;
sg02;drya octo;hl;+;;
sg02;eric carn;hl;2;;
sg02;gent utri;hl;+;;
sg02;gymn cono cono;hl;+;;
sg02;juni comm comm;sl;3;;
sg02;lase lati lati;hl;+;;
sg02;leon inca;hl;1;;
sg02;linu cath;hl;1;;
sg02;mela sylv;hl;+;;
sg02;parn palu;hl;+;;
sg02;peta para;hl;+;;
sg02;pice abie;sl;+;;
sg02;pice abie;tl;1;;
sg02;pimp majo slat;hl;+;;
sg02;ping vulg;hl;1;;
sg02;pinu mugo;sl;1;;
sg02;pinu sylv;sl;+;;
sg02;pinu sylv;tl;1;;
sg02;plan medi;hl;+;;
sg02;poly cham;hl;1;;
sg02;pote erec;hl;1;;
sg02;prun gran;hl;+;;
sg02;rhin glac;hl;1;;
sg02;rubu saxa;hl;+;;
sg02;sali elea elea;sl;+;;
sg02;scab luci luci;hl;+;;
sg02;sela sela;hl;+;;
sg02;sesl caer;hl;2;;
sg02;sorb aucu aucu;sl;+;;
sg02;teuc mont;hl;1;;
sg02;thes alpi;hl;1;;
sg02;thym prae slat;hl;+;;
sg02;tofi caly;hl;1;;
sg02;vale saxa;hl;1;;
sg02;vibu lant;sl;+;;
sg02;viol hirt;hl;+;;
sg02;euph offi slat;hl;+;;
sg02;card defl viri;hl;1;;
sg02;carl vulg slat;hl;+;;
sg02;lotu corn;hl;1;;
sg02;ranu mont;hl;+;;
