plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,alliance,association,soil,comment,location,observer
ssx01,,,,,,,,,,,,,,,,,,,2017-03-28,47.91263,14.47406,20,Seslerion caeruleae,,,"planned, easy",Schieferstein,R. Kaiser
ssx02,,,,,,,,,,,,,,,,,,,2017-03-28,47.91263,14.47456,20,Cephalanthero-Fagenion,,,"planned, easy",Schieferstein,R. Kaiser
ssx03,,,,,,,,,,,,,,,,,,,2017-03-28,47.91256,14.47698,20,Cephalanthero-Fagenion,,,"planned, easy",Schieferstein,R. Kaiser
ssx04,,,,,,,,,,,,,,,,,,,2017-03-28,47.91248,14.47878,20,Cephalanthero-Fagenion,,,"planned, easy",Schieferstein,R. Kaiser
ssx05,,,,,,,,,,,,,,,,,,,2017-03-28,47.91240,14.47933,20,Cephalanthero-Fagenion,,,"planned, easy",Schieferstein,R. Kaiser
ssx06,,,,,,,,,,,,,,,,,,,2017-03-28,47.91326,14.46728,20,Cephalanthero-Fagenion,,,"planned, easy",Pfenningstein,R. Kaiser
ssx07,,,,,,,,,,,,,,,,,,,2017-03-28,47.91360,14.46433,20,Cephalanthero-Fagenion,,,"planned, easy",Pfenningstein,R. Kaiser
ssx08,,,,,,,,,,,,,,,,,,,2017-03-28,47.91398,14.46246,20,Tilenion platyphylli,,,"planned, easy",Pfenningstein,R. Kaiser
ssx09,,,,,,,,,,,,,,,,,,,2017-03-28,47.91407,14.46156,20,Tilenion platyphylli,,,"planned, easy",Pfenningstein,R. Kaiser
ssx10,,,,,,,,,,,,,,,,,,,2017-03-28,47.91458,14.45952,20,Tilenion platyphylli,,,"planned, easy",Pfenningstein,R. Kaiser
ssx11,,,,,,,,,,,,,,,,,,,2017-03-28,47.91562,14.45699,20,Tilenion platyphylli,,,"planned, easy",Pfenningstein,R. Kaiser
ssx12,,,,,,,,,,,,,,,,,,,2017-03-28,47.91681,14.45373,20,Cephalanthero-Fagenion,,,"planned, easy",Pfenningstein,R. Kaiser
