plot;abbr;layer;cov;comment;determined;history
Schmiederer2002:Tab1:ME03;leuc alpi;hl;+;;;
Schmiederer2002:Tab1:ME03;phyt conf;hl;1;;;
Schmiederer2002:Tab1:ME03;care curv curv;hl;1;;;
Schmiederer2002:Tab1:ME03;phyt glob;hl;+;;;
Schmiederer2002:Tab1:ME03;tham verm verm;ml;1;;;
Schmiederer2002:Tab1:ME03;flav niva;ml;+;;;
Schmiederer2002:Tab1:ME03;fest vari;hl;2b;;;
Schmiederer2002:Tab1:ME03;junc trif;hl;1;;;
Schmiederer2002:Tab1:ME03;agro rupe rupe;hl;1;;;
Schmiederer2002:Tab1:ME03;pach mute;hl;2a;;;
Schmiederer2002:Tab1:ME03;ante carp;hl;+;;;
Schmiederer2002:Tab1:ME03;luzu alpi losa;hl;+;;;
Schmiederer2002:Tab1:ME03;vale celt nori;hl;1;;;
Schmiederer2002:Tab1:ME03;cetr isla isla;ml;1;;;
Schmiederer2002:Tab1:ME03;prim mini;hl;1;;;
Schmiederer2002:Tab1:ME03;sile acau exsc;hl;1;;;
Schmiederer2002:Tab1:ME03;sali retu;hl;3;;;
Schmiederer2002:Tab1:ME03;pedi vert;hl;2a;;;
Schmiederer2002:Tab1:ME03;pers vivi;hl;2b;;;
Schmiederer2002:Tab1:ME03;euph mini;hl;2m;;;
Schmiederer2002:Tab1:ME03;camp sche;hl;1;;;
Schmiederer2002:Tab1:ME03;anth alpi;hl;+;;;
Schmiederer2002:Tab1:ME03;care atra;hl;+;;;
Schmiederer2002:Tab1:ME03;coel viri;hl;+;;;
Schmiederer2002:Tab1:ME03;fest pict;hl;+;;;
Schmiederer2002:Tab1:ME03;homo disc;hl;2a;;;
Schmiederer2002:Tab1:ME03;junc jacq;hl;2m;;;
Schmiederer2002:Tab1:ME03;kobr myos;hl;+;;;
Schmiederer2002:Tab1:ME03;leon hisp slat;hl;+;;;
Schmiederer2002:Tab1:ME03;myos alpe;hl;1;;;
Schmiederer2002:Tab1:ME03;poa alpi;hl;+;;;
Schmiederer2002:Tab1:ME03;pote aure;hl;+;;;
Schmiederer2002:Tab1:ME03;vero aphy;hl;+;;;
